Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
320490605000081;1;2;639878;637878;2000;0;5;20;76;85;36;24;10;0;2;
320490605000082;1;0;233489;233489;0;1;15;36;74;30;6;3;0;0;5;
320490605000083;1;0;192741;192741;0;1;3;22;38;31;6;3;0;1;4;
320490605000084;2;0;40230;40230;0;0;1;4;9;10;1;0;0;0;0;
320490605000085;1;0;241645;241645;0;6;31;47;62;39;6;4;1;0;5;
320490605000086;1;0;220589;220589;0;6;21;62;54;22;3;3;1;1;10;
320490605000087;1;1;346970;345570;1400;9;32;65;109;61;9;2;2;1;11;
320490605000088;1;0;135824;135824;0;2;4;42;38;20;4;3;0;0;0;
320490605000089;1;0;217764;217764;0;6;26;49;77;35;2;5;0;0;12;
320490605000090;1;0;414546;414546;0;0;3;14;41;41;22;20;8;3;8;
320490605000091;1;3;246690;243380;3310;5;6;41;71;37;8;4;0;0;5;
320490605000092;1;0;541054;541054;0;0;1;13;43;33;14;11;4;2;10;
320490605000093;1;1;123835;122635;1200;4;9;29;27;17;6;1;0;0;3;
320490605000094;1;0;318289;318289;0;2;6;25;71;49;15;10;1;0;10;
320490605000095;1;0;187069;187069;0;4;21;73;53;24;5;2;0;0;7;
320490605000096;1;0;466164;466164;0;4;12;36;75;80;22;12;5;0;12;
320490605000097;1;1;374801;372559;2242;1;2;32;62;63;16;11;3;0;6;
320490605000098;1;1;170304;169604;700;11;24;63;51;26;4;0;0;0;5;
320490605000099;1;0;720350;720350;0;13;49;136;192;111;17;9;5;0;31;
320490605000100;1;0;29188;29188;0;1;7;17;10;1;0;0;0;0;5;
320490605000101;1;0;699262;699262;0;7;38;98;171;134;20;9;4;0;20;
320490605000102;1;0;302988;302988;0;3;17;58;83;50;7;6;0;0;9;
320490605000103;1;0;226904;226904;0;7;14;45;50;33;13;1;3;0;5;
320490605000104;1;0;116386;116386;0;4;12;40;41;15;2;1;0;0;6;
