Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
320390805000005;1;617;0;2;6;4;9;8;4;10;9;13;4;11;13;9;9;11;6;9;9;10;9;9;8;14;13;15;14;15;10;9;14;8;13;8;9;8;9;16;5;11;12;11;11;8;8;10;11;16;5;4;8;9;9;5;7;4;5;4;6;9;5;1;7;4;6;7;6;3;4;5;3;6;5;1;2;17;242;154;157;6;10;4;11;11;
320390805000006;1;548;2;0;3;6;9;6;1;6;7;9;7;7;14;7;15;13;15;3;18;6;16;9;11;16;9;11;7;13;5;6;7;4;9;6;8;13;9;14;6;11;5;8;9;9;13;7;8;11;8;5;11;13;4;8;8;6;0;6;1;0;8;1;5;0;3;6;2;3;3;2;1;4;2;5;4;15;204;134;143;8;11;4;8;3;
320390805000007;1;528;4;7;14;5;16;12;14;13;15;13;16;14;16;8;19;17;12;14;11;9;11;13;12;15;13;16;6;11;15;9;12;9;7;5;4;6;5;6;8;5;5;9;7;5;8;5;4;9;1;2;5;1;2;4;2;3;0;1;0;0;2;1;3;2;0;1;0;2;0;1;1;0;0;0;4;1;157;102;175;6;15;14;12;0;
320390805000008;1;423;5;3;11;12;12;17;11;13;14;10;17;8;17;12;10;11;7;12;10;12;9;10;8;11;9;6;14;6;9;10;9;4;4;3;4;4;6;3;5;6;2;1;3;4;5;3;3;2;3;1;4;4;4;0;3;1;3;1;2;0;0;1;0;1;0;2;0;2;0;1;0;1;0;0;0;2;119;84;132;10;17;4;13;0;
320390805000009;1;467;2;4;6;9;13;7;13;14;13;20;9;10;20;13;17;9;11;7;11;12;10;18;9;7;6;8;11;9;9;10;6;7;6;7;7;7;7;7;7;5;9;6;3;7;6;6;6;5;3;3;2;1;2;1;4;4;2;0;1;1;1;1;0;1;1;3;0;2;0;1;0;0;0;0;1;1;146;94;161;4;4;10;11;1;
320390805000010;1;465;0;5;10;5;12;10;14;8;11;12;12;12;5;11;15;11;11;12;16;11;11;6;8;10;6;6;11;8;12;15;5;10;8;8;8;3;4;10;6;3;6;6;8;9;2;8;7;5;3;4;1;8;4;5;0;2;3;3;0;3;2;0;1;1;1;0;0;3;1;3;0;0;2;0;0;3;155;97;137;7;13;7;12;4;
320390805000011;1;469;1;6;13;5;8;10;10;5;11;12;10;7;16;11;10;6;12;15;10;11;9;9;5;7;8;9;8;8;9;11;15;13;10;12;5;5;6;7;5;13;6;9;10;4;6;6;5;6;3;7;2;5;1;4;4;2;1;2;1;2;1;1;4;2;0;0;3;0;1;0;2;1;2;0;0;3;149;111;141;4;24;0;5;1;
320390805000012;1;528;1;8;10;12;7;11;12;11;9;11;14;14;14;10;14;15;9;2;9;13;9;8;10;13;12;7;16;8;19;12;9;10;11;7;11;4;13;5;6;7;11;7;8;13;4;8;5;8;4;6;4;4;3;4;5;0;7;1;3;1;4;3;1;2;1;2;2;0;0;1;0;0;0;0;0;3;173;116;158;8;11;10;10;0;
320390805000013;1;396;0;3;5;3;9;2;6;7;4;4;9;8;8;7;7;9;6;4;11;4;4;11;10;7;7;7;18;5;11;8;3;8;11;13;11;8;6;6;6;4;4;6;3;9;5;6;8;9;5;4;5;2;9;5;1;1;3;3;1;0;4;1;3;0;4;1;0;3;0;2;0;1;1;1;1;5;151;100;93;6;4;7;11;4;
320390805000014;1;559;1;1;7;5;7;8;10;10;7;10;10;7;12;13;10;12;19;13;15;6;8;14;18;11;6;10;14;11;13;8;11;7;5;7;10;9;5;14;8;10;10;9;10;7;6;17;9;5;6;5;8;9;17;1;6;3;5;2;6;1;1;3;1;1;2;2;2;1;4;0;3;2;2;2;2;7;215;128;148;3;15;9;9;7;
320390805000015;1;300;0;3;2;2;3;6;4;5;5;7;3;3;9;5;4;7;6;8;4;8;6;7;3;9;7;7;3;4;8;8;4;1;3;5;3;5;3;9;6;6;5;2;2;5;5;6;6;5;4;2;4;2;5;4;6;3;6;1;2;2;2;1;2;2;0;0;2;2;1;0;1;0;0;1;0;8;107;66;96;4;1;6;5;3;
