"Cod_bairro","Nome_do_bairro","IPC"
3201209047,"Nossa Senhora da Penha",0.620685791183963
3201209048,"Nova Brasília",0.659582193030469
3201209049,"Novo Parque",0.678701068088523
3201209050,"Otton Marins",0.661791379689782
3201209051,"Paraíso",0.698425318531571
3201209052,"Parque das Laranjeiras",0.653615827980699
3201209053,"Presidente Arthur Costa e Silva",0.38143281838934
3201209054,"Recanto",0.641642911552242
3201209055,"Rubem Braga",0.480597383199333
3201209056,"Rui Pinto Bandeira",0.700938542008473
3201209057,"Sta. Cecília",0.581876194755983
3201209058,"Sta. Helena",0.632365852498783
3201209059,"Santo Antônio",0.683756779935686
3201209060,"São Francisco de Assis",0.587507559722221
3201209061,"São Geraldo",0.680776671526726
3201209062,"São Lucas",0.555432148429028
3201209063,"São luiz Gonzaga",0.640093314336619
3201209064,"Sumaré",0.715291697691234
3201209065,"Teixeira Leite",0.700048886424301
3201209066,"Vila Rica",0.673797274707208
3201209067,"Village da Luz",0.55241589628053
3201209068,"Waldir Furtado Amorim (BNH de Baixo)",0.679373375988609
3201209069,"Zumbi",0.459714921697543
3201308000,"CARIACICA (demais setores)",0.369665815080658
3201308001,"Cruzeiro do Sul",0.631810686840287
3201308002,"Vasco da Gama",0.629598369062465
3201308003,"São Francisco",0.606872713165271
3201308004,"Vila Palestina",0.684597931175702
3201308005,"Rosa da Penha",0.668394880820596
3201308006,"Itapemirim",0.592920325130847
3201308007,"Jardim Botanico",0.49261877881047
3201308008,"Santa Barbara",0.57560884292985
3201308009,"Morada de Santa Fé",0.641391392993407
3201308010,"Santa Paula",0.508035533155199
3201308011,"Santa Catarina",0.542528527531713
3201308012,"Vista Linda",0.519495380957131
3201308013,"Vila Isabel",0.491042184720437
3201308014,"Bandeirantes",0.575993040213382
3201308015,"Caçaroca",0.373852829331168
3201308016,"Alzira Ramos",0.476370351856456
3201308017,"Jardim de Alah",0.55435058229772
3201308018,"Padre Gabriel",0.443988522629209
3201308019,"Jardim Campo Grande",0.480921225660916
3201308020,"Campo Belo",0.497354093470897
3201308021,"São Benedito",0.56568855705911
3201308022,"Castelo Branco",0.564453201127767
3201308023,"Vista Mar",0.550463032992411
3201308024,"Sotelandia",0.55426843612963
3201308025,"Bela Aurora",0.618043275608927
3201308026,"Maracanã",0.586012992851062
