Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012
320010205000015;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;167;539;3,23;1,9;629,2;547340,1;750,54;561927,93;443,23;427127,95;643,53;491460,64
320010205000016;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;88;266;3,02;1,88;546,28;334301,54;616,32;333991,86;294,88;208965,82;544,04;250301,24
320010205000017;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;190;615;3,24;2,48;811,94;3634427,47;871,57;3850609,13;479,68;1486439,2;699,26;2014774,94
320010205000018;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;112;345;3,08;2,36;1644,28;35958125,79;1860,19;40322339,26;748,87;14487175,75;1324,23;24919279,83
320010205000019;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;232;738;3,18;2,31;598,33;425117,54;654,78;428277,99;415,32;266301,06;584,04;275965,08
320010205000020;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;170;503;2,96;1,78;985,85;1390993,82;1028,19;1407299,04;595,01;744212,16;810,54;839385,7
320010205000021;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;181;590;3,26;2,89;506,1;129547,35;561,99;112339,09;331,34;125903,78;514,26;101264,53
320010205000022;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;162;520;3,21;1,91;545,22;133647;548,6;132612,88;312,28;125131,06;490,58;109050,08
320010205000023;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;85;258;3,04;1,82;2116,11;8384361,5;2167,1;8477009,21;1109,38;4095729,65;1607,18;5140200,11
320010205000024;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;73;214;2,93;1,2;1455,32;3681968,22;1634,43;3844887,78;957,24;2559932,83;1366,5;3099054,75
