Cod_setor;Situacao_setor;V001;V002;V003
270030005000184;1;342;4;1
270030005000185;1;379;10;1
270030005000186;1;134;0;0
270030005000187;1;283;2;0
270030005000188;1;215;0;0
270030005000189;1;219;1;0
270030005000190;1;265;1;0
270030005000191;1;163;2;0
270030005000192;1;206;3;0
270030005000193;1;130;0;0
270030005000194;1;224;4;0
270030005000195;1;203;4;0
270030005000196;1;222;1;0
270030005000197;1;180;0;0
270030005000198;1;239;0;1
270030005000199;1;154;1;0
270030005000200;1;196;2;0
270030005000201;1;129;5;1
270030005000202;1;659;0;0
270030005000203;1;330;1;0
270030005000204;1;256;2;0
270030005000205;1;217;2;0
270030005000206;1;380;0;0
270030005000207;1;265;0;0
270030005000208;1;12;0;0
270030005000209;3;135;0;0
270030005000210;3;177;0;0
270030005000211;1;202;1;1
270030005000212;1;22;0;0
270030005000213;1;40;1;0
270030005000215;1;325;1;0
270030005000216;1;165;1;0
270030005000217;1;55;0;0
270030005000218;3;233;1;0
270030005000219;5;181;2;0
270030005000220;5;67;0;0
270030005000221;5;73;0;0
270030005000222;5;202;2;0
270030005000223;4;19;0;0
270030005000224;4;84;0;0
270030005000225;4;79;0;0
270030005000226;5;93;0;0
270030005000227;5;8;0;0
270030005000228;8;32;0;0
270030005000229;1;220;1;0
270030005000230;1;16;0;0
270030005000231;1;62;0;1
270030005000232;3;151;1;0
270030005000234;5;50;0;0
270040905000001;1;217;5;0
270040905000002;1;206;0;0
270040905000003;1;187;0;0
270040905000004;1;243;2;0
270040905000005;1;405;5;1
270040905000006;1;227;6;0
270040905000007;1;279;0;0
270040905000008;1;312;1;0
270040905000009;1;140;1;1
270040905000010;1;404;3;0
270040905000011;1;287;2;0
270040905000012;1;282;0;0
270040905000013;1;437;0;0
270040905000014;1;247;0;0
270040905000015;8;259;10;1
270040905000016;5;186;0;0
270040905000017;5;230;1;0
270040905000018;8;72;7;0
270040905000019;8;101;0;0
270040905000020;5;188;2;1
270040905000021;4;251;1;0
270040905000022;8;2;0;0
270040905000023;8;172;9;0
270040905000024;5;108;2;0
270040905000025;4;277;3;0
270040905000026;5;296;6;1
270040905000027;5;130;2;0
270040905000028;1;278;0;0
270040905000029;1;252;3;0
270040905000030;1;287;5;0
270040905000031;1;159;2;0
270040905000032;1;143;1;0
270040910000001;1;60;1;0
270040910000002;8;277;0;0
270040910000003;5;224;3;1
