Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134
270040910000013;5;117;117;40;7;28;29;3;0;0;1;3;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;2;2;2;3;4;2;0;0;5;2;3;4;3;1;1;1;1;4;0;0;2;2;2;4;2;2;2;0;0;3;2;1;2;1;0;1;2;0;0;2;2;0;0;0;1;1;3;2;2;0;0;0;3;1;2;0;1;3;4;0;1;3;2;0;0;0;2;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
270040910000014;5;209;180;62;11;77;20;5;2;2;0;26;0;2;0;1;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;1;1;1;3;6;8;8;5;8;3;4;11;5;2;5;5;7;1;10;8;5;4;3;4;3;2;4;1;3;3;3;2;3;1;1;3;3;2;1;0;1;6;2;6;2;1;1;1;1;3;2;3;0;2;2;0;1;3;2;0;1;1;0;0;0;0;0;2;0;0;2;2;1;0;3;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270040910000015;5;248;248;83;10;110;18;1;0;3;1;15;2;3;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;2;3;3;5;4;9;7;6;5;7;3;6;6;7;7;8;4;11;5;3;0;7;7;2;5;5;7;3;5;2;6;4;4;4;4;3;3;4;4;1;1;1;2;0;0;1;2;4;0;3;1;4;1;1;4;1;5;1;1;2;1;1;2;3;3;0;2;1;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
270040910000016;5;576;576;185;34;197;59;21;3;0;2;44;0;12;0;17;1;1;0;0;0;0;14;0;0;2;1;4;0;0;1;0;2;3;1;20;11;15;16;10;16;11;19;10;18;16;15;9;12;11;15;5;10;10;5;13;15;8;10;14;9;8;7;16;9;11;5;7;8;8;9;6;9;9;6;6;11;8;7;6;1;4;7;5;4;2;1;4;1;4;2;2;4;5;1;2;2;3;2;5;2;4;4;2;1;0;3;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
270040910000017;5;333;333;108;17;113;41;6;5;0;0;32;0;4;0;7;0;0;0;0;0;0;9;1;1;1;2;1;1;0;0;0;1;1;0;12;7;6;6;14;9;9;6;8;8;11;11;3;10;8;8;7;7;5;7;4;5;7;4;3;11;6;9;9;3;5;6;3;4;3;4;6;2;2;4;1;4;2;0;1;6;7;4;3;3;2;3;3;0;2;0;2;1;2;3;1;1;2;1;1;0;0;0;0;1;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
270050805000001;1;935;921;265;84;225;104;25;20;5;1;124;5;24;0;45;3;2;0;1;2;0;21;4;1;0;2;4;4;1;0;3;0;1;1;16;28;14;13;20;26;10;13;29;20;20;20;16;21;20;17;10;15;22;13;13;15;19;13;19;15;19;15;14;18;13;15;17;9;15;12;18;17;13;14;7;15;12;10;15;10;12;5;12;9;4;5;6;8;11;5;5;5;9;12;6;7;5;2;3;4;7;5;2;3;2;3;3;2;2;4;1;4;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
270050805000002;1;658;631;251;34;167;83;23;6;3;0;53;2;11;0;20;1;2;0;1;1;0;7;0;1;1;1;0;0;2;0;0;0;1;1;13;8;16;11;13;15;15;13;8;18;16;11;16;18;15;15;19;18;11;14;10;15;17;13;8;11;15;7;13;5;14;11;8;6;12;4;11;6;3;7;11;6;10;8;7;3;5;12;6;6;4;6;8;4;6;2;5;4;5;5;6;2;4;1;4;4;4;2;3;2;1;3;3;1;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0
270050805000003;1;434;411;116;60;101;71;18;5;2;1;38;2;13;0;6;0;1;0;0;0;0;10;1;1;0;1;1;0;0;0;1;2;1;2;11;8;11;8;9;12;11;3;7;7;13;8;16;18;18;15;8;8;7;2;7;7;9;9;9;7;7;8;7;9;2;7;9;4;5;6;7;2;4;8;5;3;5;2;2;3;8;1;3;2;1;5;2;3;3;3;1;4;2;0;1;1;5;4;2;2;4;1;1;1;2;3;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
270050805000004;1;724;724;170;141;188;89;3;11;9;1;74;4;12;1;11;5;5;0;0;0;0;15;1;0;2;0;1;3;1;1;4;0;2;0;16;7;20;16;16;13;11;16;11;15;17;26;17;17;20;17;6;14;13;9;16;15;12;17;17;11;16;13;12;10;12;13;7;8;15;4;9;14;6;8;6;6;7;7;9;12;6;8;4;7;5;7;6;8;4;3;4;6;4;5;2;1;3;3;2;4;4;3;2;4;3;0;3;3;1;2;1;2;4;3;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
270050805000005;1;500;500;79;104;128;70;2;11;13;2;46;0;13;0;32;0;0;0;0;0;0;9;2;0;2;1;1;0;2;0;0;1;0;0;4;11;6;9;7;15;14;11;14;12;2;8;11;16;14;8;13;10;10;11;10;16;7;8;7;8;14;9;10;9;7;9;8;11;6;10;13;6;4;4;2;6;6;5;4;9;5;4;3;1;4;5;2;5;4;3;1;3;0;1;4;2;2;3;3;5;2;1;3;1;0;0;2;1;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
270050805000006;1;637;637;112;152;172;85;12;7;15;3;32;5;21;1;18;2;0;0;0;0;0;9;2;1;2;0;0;1;0;0;3;0;0;0;22;14;18;20;12;8;9;17;15;20;13;22;14;13;18;18;9;8;11;17;8;9;12;10;15;11;9;9;8;11;8;11;16;8;15;15;10;6;9;11;11;4;6;6;5;0;9;7;2;4;5;4;3;5;4;2;2;5;3;3;1;2;2;1;2;3;2;0;1;0;3;2;0;1;2;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
270050805000007;1;470;470;158;32;112;65;15;8;1;1;59;2;7;0;8;2;0;0;0;0;0;7;2;1;0;0;0;0;1;1;0;0;2;0;11;7;14;5;8;3;9;11;15;13;11;13;9;8;17;15;13;8;10;9;13;5;7;6;6;14;9;4;5;12;7;7;5;7;8;1;8;6;5;3;3;8;3;3;4;6;4;5;5;6;3;3;2;4;1;3;7;6;5;5;4;0;0;3;1;1;2;1;3;2;0;2;1;0;2;2;1;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270050805000009;8;257;257;63;33;86;31;6;0;8;0;12;1;14;0;3;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;1;0;0;2;5;5;2;5;7;6;10;5;7;7;7;10;9;7;10;5;6;3;6;2;4;11;4;5;4;4;4;5;4;1;3;3;3;1;4;3;2;5;5;5;2;3;2;2;2;3;3;1;2;3;2;1;0;2;1;0;2;0;0;2;2;1;0;2;1;1;1;2;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270050805000010;8;273;269;83;11;105;28;15;1;2;0;20;0;2;0;6;0;0;0;0;0;0;5;0;0;1;0;1;0;1;1;0;0;0;1;2;6;5;4;2;10;5;11;12;11;12;8;11;8;7;8;7;8;6;8;2;4;2;9;3;5;4;2;4;0;3;2;6;2;5;2;0;1;2;4;3;4;2;1;2;3;3;2;0;2;4;0;1;4;1;4;1;0;1;0;0;2;1;0;3;0;0;0;3;0;0;1;0;0;1;0;2;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270050805000011;1;486;486;135;53;121;85;16;3;2;0;46;0;7;0;17;1;0;0;0;0;0;9;0;0;2;0;1;1;1;1;0;0;2;1;12;8;6;12;8;19;11;9;9;17;9;9;15;12;16;8;13;12;15;8;11;7;7;7;9;5;10;8;7;9;7;8;2;5;8;12;8;8;5;8;6;5;8;4;2;4;3;2;3;4;5;4;9;2;2;3;2;0;2;1;1;1;2;2;2;2;1;0;2;2;0;0;1;0;0;1;1;0;0;2;1;0;0;0;1;0;3;0;0;0;0;1;0;0;0;1;0;0;0;0
270050805000012;1;796;796;253;65;217;96;32;7;6;4;79;1;7;0;22;7;0;0;0;0;0;19;0;2;3;2;4;3;0;0;1;2;1;1;17;14;11;29;19;16;26;16;22;26;28;14;16;17;25;14;16;19;18;15;9;16;17;15;13;13;14;22;20;11;11;14;18;7;10;14;13;9;6;7;7;8;9;1;8;10;4;4;3;6;8;7;1;4;6;3;1;5;5;4;3;5;2;3;2;1;0;1;2;0;2;1;2;2;2;2;0;0;0;0;0;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
270050805000013;1;493;493;148;37;129;66;15;14;0;0;55;1;9;1;16;2;0;0;0;0;0;7;0;1;0;3;0;0;1;0;2;0;0;0;15;8;9;10;9;5;11;12;9;11;9;8;9;17;6;12;10;12;8;10;13;12;7;5;16;12;10;12;10;4;5;7;10;5;8;8;10;4;8;2;3;2;10;4;6;5;6;3;6;5;4;6;5;2;4;4;5;4;2;5;2;2;2;1;3;2;2;2;1;0;2;0;2;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
270050805000014;1;288;288;101;10;79;44;12;3;0;0;28;0;2;0;4;5;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;1;2;5;4;5;8;2;9;9;8;4;8;8;12;12;7;6;9;7;10;7;6;5;3;3;1;5;7;6;6;3;8;7;5;2;2;5;2;6;1;3;2;2;4;7;0;2;3;0;3;3;5;4;2;4;0;1;0;4;0;1;0;0;1;0;0;1;1;1;0;1;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
