Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
521180005000026;1;1;536509;535499;1010;0;5;49;120;96;19;14;0;0;3;
521180005000027;1;0;328298;328298;0;4;15;55;86;44;8;5;4;0;8;
521180005000028;8;0;81580;81580;0;0;0;10;32;21;1;0;0;0;2;
521180005000029;5;0;60043;60043;0;3;3;16;30;5;0;1;0;0;1;
521180005000030;5;0;36715;36715;0;3;1;15;18;5;0;0;0;0;1;
521180005000031;8;0;64213;64213;0;0;3;14;22;10;1;2;0;0;1;
521180005000032;8;0;45386;45386;0;0;1;7;15;7;1;1;1;0;1;
521180005000033;8;0;51010;51010;0;0;9;6;20;10;0;0;0;0;3;
521180005000034;8;0;98210;98210;0;2;17;36;47;17;1;0;0;0;2;
521180005000035;8;0;108233;108233;0;1;6;32;28;24;4;2;0;0;5;
521180005000036;8;0;22895;22895;0;0;0;4;5;4;2;0;0;0;0;
521180005000037;8;0;94830;94830;0;0;1;17;33;26;3;2;0;0;1;
521180005000038;8;0;110903;110903;0;3;6;31;32;21;3;1;2;0;7;
521180005000039;8;0;48250;48250;0;0;0;8;18;14;1;0;0;0;1;
521180005000040;8;0;101521;101521;0;2;11;23;43;18;2;2;0;0;8;
521180005000041;8;0;147993;147993;0;0;4;16;56;45;7;2;0;0;0;
521180005000042;8;0;231348;231348;0;1;5;29;51;27;7;5;1;4;3;
521180005000043;5;1;238328;237768;560;2;9;43;86;39;7;2;1;0;0;
521180005000044;8;0;213328;213328;0;1;6;19;28;11;1;2;0;2;3;
521180005000045;8;0;53794;53794;0;0;2;7;23;17;2;0;0;0;2;
521180005000046;8;0;72776;72776;0;0;8;19;26;8;2;2;0;1;3;
521180005000047;8;0;60916;60916;0;0;9;14;29;5;2;0;0;1;0;
521180005000048;5;0;68780;68780;0;2;8;24;28;6;4;1;0;0;2;
521180005000049;8;2;113514;112414;1100;1;6;21;29;6;1;3;3;2;8;
521180005000050;8;0;100000;100000;0;3;11;22;32;18;0;4;0;1;3;
521180005000051;8;0;62985;62985;0;1;5;17;29;6;2;0;1;0;8;
521180005000052;8;0;45604;45604;0;1;5;8;5;5;1;0;1;1;2;
521180005000053;8;0;138675;138675;0;10;23;32;47;16;7;3;1;0;13;
521180005000054;8;1;122144;121634;510;5;14;18;43;18;4;2;0;0;5;
521180005000055;8;0;68680;68680;0;0;1;10;23;22;0;2;0;0;0;
521180005000056;5;0;33876;33876;0;3;2;9;20;5;0;0;0;0;0;
521180005000057;1;0;299553;299553;0;3;7;31;66;66;10;5;2;0;3;
521180005000058;1;1;432481;431069;1412;4;15;73;132;73;7;6;0;1;6;
521180005000059;1;0;601775;601775;0;0;9;36;91;63;20;17;9;4;8;
521180005000060;1;1;474394;473444;950;1;8;72;127;70;11;5;6;0;0;
521180005000061;1;0;450662;450662;0;1;7;75;147;69;6;5;0;0;4;
521180005000062;1;0;331169;331169;0;0;4;47;91;62;7;5;1;0;1;
521180005000063;1;0;346822;346822;0;0;7;31;78;55;7;3;2;0;1;
521180005000064;1;0;505057;505057;0;2;11;36;97;92;18;8;4;0;0;
521180005000065;1;0;585204;585204;0;1;6;43;107;100;22;21;5;3;25;
521180005000066;1;1;250815;250315;500;2;11;55;104;27;7;1;1;0;6;
521180005000067;8;0;25814;25814;0;0;0;1;2;3;0;0;0;1;0;
521190905000001;1;0;756462;756462;0;0;2;8;60;65;29;32;22;3;4;
521190905000002;1;0;707191;707191;0;0;1;4;43;50;18;13;15;8;5;
521190905000003;1;0;552925;552925;0;2;2;10;49;61;20;16;15;3;38;
521190905000004;1;3;585331;583111;2220;1;4;37;100;106;23;11;9;0;6;
521190905000005;1;1;798570;797550;1020;1;5;30;77;96;34;20;4;6;34;
521190905000006;1;0;676612;676612;0;1;1;12;71;57;40;32;11;2;0;
521190905000007;1;0;426995;426995;0;0;1;18;47;62;19;15;8;1;0;
521190905000008;1;0;406857;406857;0;0;4;20;75;71;20;6;4;1;2;
521190905000009;1;0;989080;989080;0;0;2;24;82;71;25;26;20;12;22;
521190905000010;1;0;1252334;1252334;0;1;4;18;65;45;27;23;30;19;4;
521190905000011;1;0;434326;434326;0;0;5;12;49;64;28;18;7;0;1;
521190905000012;1;1;858590;854380;4210;0;1;11;47;56;34;18;17;9;17;
521190905000013;1;0;523945;523945;0;0;2;29;79;100;22;8;4;0;5;
521190905000014;1;2;853813;853303;510;0;2;16;61;62;29;25;23;7;1;
521190905000015;1;0;1171650;1171650;0;0;6;17;57;80;39;34;17;9;5;
521190905000016;1;0;948288;948288;0;0;3;35;98;81;32;31;21;6;5;
521190905000017;1;0;577050;577050;0;0;5;34;138;86;11;15;4;1;2;
521190905000018;1;0;904688;904688;0;0;3;22;90;76;28;20;21;8;2;
521190905000019;1;1;831762;830762;1000;1;4;30;76;67;28;17;11;3;10;
521190905000020;1;0;660327;660327;0;0;1;13;58;69;24;21;12;4;2;
521190905000021;1;0;551056;551056;0;0;0;18;74;54;26;16;11;3;4;
521190905000022;1;2;550480;547980;2500;0;5;21;52;57;18;19;5;6;36;
521190905000023;1;0;408460;408460;0;0;3;15;57;69;15;9;4;2;4;
521190905000024;1;0;744752;744752;0;2;5;22;84;76;19;9;2;3;33;
521190905000025;1;1;578867;577997;870;0;6;37;99;97;30;13;5;0;3;
521190905000026;1;1;442071;440041;2030;0;7;39;95;92;11;10;1;0;3;
521190905000027;1;0;259811;259811;0;1;10;39;61;42;9;1;0;0;11;
521190905000028;1;0;339952;339952;0;0;4;16;58;49;10;9;6;1;30;
521190905000029;1;0;325973;325973;0;1;6;40;98;63;7;2;0;0;3;
521190905000030;1;1;472271;471251;1020;2;15;51;151;79;16;5;2;0;15;
521190905000031;1;0;336103;336103;0;4;18;60;83;59;10;2;1;0;10;
521190905000032;1;0;525457;525457;0;1;7;62;142;96;20;9;0;0;2;
521190905000033;1;0;366061;366061;0;0;4;26;82;62;16;4;1;0;2;
521190905000034;1;0;439639;439639;0;0;8;56;136;74;9;4;3;0;3;
521190905000035;1;0;402931;402931;0;1;7;44;126;81;10;3;1;0;4;
521190905000036;1;0;466385;466385;0;5;11;42;131;88;13;9;2;0;5;
521190905000037;1;0;303400;303400;0;2;16;46;86;52;7;2;1;0;6;
521190905000038;1;0;284462;284462;0;5;18;53;91;49;5;2;0;0;8;
521190905000039;1;0;403887;403887;0;2;30;80;139;64;13;3;1;0;16;
521190905000040;1;0;522080;522080;0;2;5;55;134;87;13;8;2;1;9;
521190905000041;1;0;435445;435445;0;0;2;31;87;79;16;6;0;2;2;
521190905000042;1;0;264853;264853;0;0;1;14;28;31;5;6;5;5;0;
521190905000043;1;0;418777;418777;0;2;9;50;90;64;18;14;3;0;5;
521190905000044;1;2;396965;395455;1510;0;5;40;79;60;9;7;2;2;1;
521190905000045;1;3;337289;335159;2130;1;7;41;100;74;8;4;0;0;7;
521190905000046;1;0;660918;660918;0;2;3;40;99;94;23;10;12;2;5;
521190905000047;1;0;593767;593767;0;1;20;61;117;93;16;9;9;1;27;
521190905000049;1;0;434478;434478;0;2;17;53;99;81;18;7;2;0;5;
521190905000050;1;0;409056;409056;0;3;11;73;109;71;9;4;2;1;12;
521190905000051;1;0;313217;313217;0;7;21;57;112;54;9;2;0;0;5;
521190905000052;1;1;524724;523524;1200;4;15;66;133;78;19;10;2;0;1;
521190905000053;1;0;322525;322525;0;0;1;10;36;50;19;11;0;1;2;
521190905000054;1;0;727604;727604;0;0;0;12;74;95;36;28;19;1;5;
521190905000055;1;1;652630;652120;510;0;3;23;110;98;30;17;8;3;2;
521190905000056;1;1;524054;523454;600;0;1;32;72;84;34;12;0;1;2;
521190905000057;1;0;616214;616214;0;1;9;48;108;81;22;19;6;2;7;
521190905000058;1;0;470068;470068;0;0;11;56;119;89;10;6;4;0;12;
521190905000059;1;1;1142108;1141108;1000;0;6;28;88;65;21;24;19;13;0;
521190905000060;1;1;945008;944208;800;0;6;29;84;94;18;26;8;10;3;
521190905000061;1;1;1058266;1056776;1490;1;1;22;93;98;38;27;15;7;9;
521190905000062;1;0;572483;572483;0;0;1;10;38;49;12;19;4;5;15;
521190905000063;1;0;1394706;1394706;0;1;7;37;109;85;48;38;31;12;6;
521190905000064;1;0;862645;862645;0;0;0;14;37;55;28;18;19;3;5;
521190905000065;1;0;1776052;1776052;0;1;0;15;50;57;38;29;38;23;9;
521190905000066;1;0;1343776;1343776;0;1;5;17;72;63;28;20;12;6;7;
521190905000067;1;0;2423192;2423192;0;0;0;5;38;64;35;73;60;31;2;
521190905000068;1;1;1187032;1185832;1200;0;7;28;115;125;54;35;25;10;4;
521190905000069;1;1;676546;675046;1500;0;1;10;52;76;39;22;8;3;2;
521190905000070;1;0;793439;793439;0;0;1;12;83;112;33;27;13;1;2;
521190905000071;1;0;667197;667197;0;0;1;18;61;66;41;26;12;2;3;
521190905000072;1;1;542497;542097;400;2;18;67;138;110;18;3;1;1;8;
521190905000073;1;0;515851;515851;0;2;3;52;156;102;11;10;0;0;0;
521190905000074;1;1;821763;820963;800;0;4;10;54;94;35;23;17;3;3;
521190905000075;1;1;1224539;1223729;810;0;3;6;41;67;26;39;20;20;2;
521190905000076;1;1;561121;556101;5020;0;7;29;82;86;21;14;5;2;6;
521190905000077;1;1;1175719;1175719;0;3;5;44;76;92;27;30;26;13;37;
521190905000078;1;4;666804;661459;5345;6;5;41;124;103;34;12;2;2;4;
521190905000079;1;0;614325;614325;0;2;8;29;65;92;21;21;8;2;2;
521190905000080;1;0;520948;520948;0;4;20;69;166;90;11;5;0;0;14;
521190905000081;1;0;304681;304681;0;4;13;53;79;53;12;2;0;0;9;
521190905000082;1;0;452374;452374;0;6;20;69;103;78;18;3;1;1;7;
521190905000083;1;0;697078;697078;0;0;2;4;22;49;42;32;14;3;3;
521190905000084;1;0;704532;704532;0;0;0;8;33;69;34;30;16;6;8;
521190905000085;1;0;1044080;1044080;0;1;0;8;72;89;58;44;19;6;2;
521190905000086;1;0;109054;109054;0;0;2;5;21;17;2;1;1;1;1;
521190905000087;1;0;632533;632533;0;0;1;15;37;68;33;29;12;1;1;
521190905000088;1;0;409944;409944;0;2;22;61;109;68;9;4;1;0;12;
521190905000089;8;0;69335;69335;0;0;0;7;20;18;1;1;0;0;1;
521190905000090;8;0;168177;168177;0;1;1;12;32;18;10;1;5;1;7;
521190905000091;8;0;126875;126875;0;0;0;8;19;22;4;8;3;0;0;
521190905000092;8;1;293840;291840;2000;0;2;21;63;40;13;9;2;1;1;
521190905000093;8;16;165505;154715;10790;2;3;22;33;25;9;6;0;1;4;
521190905000094;8;0;151220;151220;0;0;2;14;38;20;4;7;2;0;0;
521190905000095;8;0;201983;201983;0;0;3;27;39;21;2;2;2;3;2;
521190905000096;8;0;145824;145824;0;0;1;4;20;30;6;5;0;2;0;
521190905000097;8;1;175685;175175;510;0;0;3;27;29;4;4;1;2;0;
521190905000098;8;0;189386;189386;0;0;1;9;28;18;3;2;0;5;0;
521190905000099;8;0;66210;66210;0;0;0;9;13;15;1;0;0;1;0;
521190905000100;8;0;111086;111086;0;3;13;42;38;15;5;0;1;0;2;
521190905000101;8;0;89139;89139;0;0;5;14;29;18;4;0;0;0;1;
521190905000102;8;0;53882;53882;0;0;5;15;29;8;0;0;0;0;3;
521190905000103;8;0;174740;174740;0;0;1;11;22;40;12;5;3;1;0;
521190905000104;5;0;73713;73713;0;1;6;16;21;12;3;1;0;0;10;
521190905000105;8;0;94050;94050;0;0;2;17;22;12;6;2;0;0;2;
521190905000106;8;0;86772;86772;0;0;0;3;23;17;2;4;0;0;0;
521190905000107;8;0;187002;187002;0;0;4;8;29;35;4;7;4;2;0;
521190905000108;8;91;205046;153664;51382;6;17;47;70;27;6;5;1;0;23;
521190905000109;8;0;10813;10813;0;0;0;1;4;2;0;0;0;0;0;
521190905000110;8;0;130093;130093;0;0;1;23;32;22;5;0;2;0;3;
521190905000111;8;0;34536;34536;0;0;0;3;5;8;1;0;0;0;0;
521190905000112;8;26;87230;74370;12860;2;6;17;22;21;3;2;0;0;2;
521190905000113;8;0;42939;42939;0;0;0;5;20;8;1;0;0;0;0;
521190905000114;8;1;60300;59700;600;0;0;8;26;9;0;0;0;0;0;
521190905000115;8;0;243865;243865;0;0;3;21;48;38;3;5;1;2;1;
521190905000116;5;1;137211;136711;500;0;4;17;33;27;6;3;0;0;1;
521190905000117;8;10;342015;333715;8300;2;5;22;52;62;11;13;6;0;4;
521190905000118;1;2;367132;364492;2640;2;15;68;114;58;9;4;0;0;6;
521190905000119;1;0;369738;369738;0;0;9;50;81;63;10;8;2;0;7;
521190905000120;1;0;412290;412290;0;3;14;74;114;61;11;5;0;0;14;
521190905000121;2;0;138295;138295;0;0;1;5;10;12;4;1;0;2;0;
521190905000122;1;0;262958;262958;0;1;7;27;63;49;9;8;1;0;5;
521190905000123;1;0;198191;198191;0;0;15;35;73;24;4;1;3;0;12;
521190905000125;1;0;382555;382555;0;1;4;25;72;48;19;8;3;1;8;
521190905000126;1;0;500898;500898;0;3;8;19;44;48;7;5;3;2;5;
521190905000127;1;0;106944;106944;0;0;1;7;31;15;5;2;1;1;4;
521190905000128;1;0;166575;166575;0;2;7;33;43;35;1;3;0;0;10;
521190905000129;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
521190905000130;1;0;172740;172740;0;0;0;3;14;13;8;4;6;1;0;
521190905000131;1;0;300018;300018;0;1;8;24;67;56;6;5;3;1;4;
521190905000132;1;0;502444;502444;0;2;5;18;52;38;13;9;3;2;3;
521190905000133;1;1;217825;216805;1020;2;12;49;74;32;2;1;1;0;6;
521190905000134;1;0;386620;386620;0;0;5;19;60;52;20;12;5;0;9;
521190905000135;1;0;1028903;1028903;0;0;2;7;40;45;25;27;29;6;0;
521190905000136;2;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
521190905000137;1;2;562792;561282;1510;0;1;16;49;54;19;18;11;3;2;
