Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;
130002905000001;1;8;0;0;35;1;11;1;0;47;0
130002905000002;1;6;1;0;57;1;8;0;0;86;0
130002905000003;1;2;1;0;36;0;2;1;0;39;0
130002905000004;8;0;2;0;2;4;0;2;0;4;3
130002905000006;8;4;0;0;30;11;3;1;0;24;6
130002905000007;8;0;0;0;0;3;0;0;0;0;3
130002905000008;8;0;0;0;0;5;0;0;0;0;6
130002905000009;8;7;0;0;9;7;5;0;0;5;8
130002905000010;8;1;0;0;5;0;0;0;0;13;0
130002905000011;5;0;0;0;27;0;1;0;0;34;0
130002905000012;8;7;0;0;41;5;10;0;0;40;8
130002905000013;8;3;0;0;81;0;6;0;0;72;0
130002905000014;8;0;0;0;29;0;0;0;0;11;0
130002905000016;8;8;0;0;78;0;6;0;0;51;0
130002905000018;8;0;0;0;19;0;2;0;0;26;0
130002905000019;8;0;0;1;126;0;1;0;0;92;0
130002905000020;1;4;0;0;83;0;5;0;0;78;0
130002905000021;1;18;1;0;38;4;18;5;0;51;1
130002905000022;1;7;30;0;22;0;1;28;0;25;0
130002905000023;1;16;0;0;49;0;8;0;0;30;1
130002905000024;1;34;0;0;22;0;36;0;0;24;0
130002905000025;8;18;0;0;84;0;15;0;0;55;0
130002905000026;5;0;0;0;0;41;0;0;0;0;39
130006005000001;1;1;0;0;33;4;2;0;0;41;5
130006005000002;1;2;2;0;41;7;3;1;0;40;8
130006005000003;8;0;0;0;3;0;0;0;0;3;0
130006005000004;8;0;0;0;0;1;0;0;0;0;2
130006005000006;8;2;0;0;55;1;2;0;0;80;0
130006005000007;8;4;0;0;17;0;3;0;0;23;0
130006005000008;8;0;0;0;0;1;0;0;0;0;2
130006005000009;8;0;0;0;4;0;0;0;0;4;0
130006005000010;8;2;0;0;14;0;0;0;0;13;0
130006005000011;5;0;0;0;0;98;0;0;0;0;78
130006005000012;8;0;0;0;1;1;0;0;0;4;2
130006005000014;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
130006005000015;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
130006005000016;8;0;0;0;0;12;0;0;0;0;15
130006005000017;8;0;0;0;0;2;0;0;0;0;0
130006005000018;8;0;0;0;0;5;0;0;0;0;1
130006005000019;1;3;0;0;71;6;2;0;0;44;9
130006005000020;1;4;1;1;52;5;4;1;0;48;4
130006005000021;1;2;0;0;61;9;6;0;0;45;11
130006005000022;8;0;0;0;1;25;0;0;0;0;32
130006005000023;8;0;0;0;0;32;0;0;0;0;27
130006005000024;8;0;0;0;0;8;0;0;0;0;6
130006005000025;8;0;0;0;0;4;0;0;0;0;4
130006005000026;8;0;0;0;0;2;0;0;0;0;3
130006005000027;8;0;0;0;0;16;1;0;0;0;11
130006005000028;8;0;0;0;5;12;0;0;0;2;17
130006005000029;8;0;0;0;1;13;0;0;0;0;10
130006005000031;8;0;0;0;0;3;0;0;0;0;3
130006005000032;8;0;0;0;0;3;0;0;0;0;3
130008605000001;1;2;0;0;40;0;6;0;0;35;1
130008605000002;1;8;0;0;55;0;9;0;0;53;0
130008605000003;1;10;3;0;130;0;8;0;0;116;0
130008605000004;8;19;0;0;75;7;10;0;2;83;8
130008605000005;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
130008605000006;8;1;0;1;13;0;3;0;1;11;0
130008605000007;8;10;0;0;21;0;11;0;1;21;0
130008605000008;8;0;0;0;0;0;0;0;0;0;0
130008605000009;8;0;1;0;7;0;1;0;0;6;0
130008605000010;8;2;1;0;39;0;1;0;1;28;0
130008605000011;5;3;0;0;24;0;3;0;0;24;0
130008605000012;8;6;1;0;73;1;10;0;0;64;0
130008605000013;5;1;0;0;17;0;1;0;0;17;0
130008605000014;8;0;0;0;19;0;0;0;0;16;0
130008605000015;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
130008605000016;8;0;0;0;16;0;0;0;0;11;0
130010205000001;1;31;0;1;49;0;23;0;0;59;0
