Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
240325105000085;1;109;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0;2;1;3;2;5;3;3;1;5;5;3;1;3;1;2;2;1;2;0;5;2;7;6;4;1;0;2;3;1;1;3;1;1;1;3;7;1;1;1;1;0;0;0;2;0;0;2;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;1;4;13;17;9;9;18;7;8;7;1;0;1;1
240325105000086;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;3;2;1;0;0;1;0
240325105000087;1;119;0;0;0;0;0;0;1;1;0;1;1;1;1;3;2;2;2;2;2;1;3;2;3;2;3;4;1;3;3;4;4;1;6;2;4;4;5;1;4;3;5;2;3;2;4;4;1;1;2;1;1;1;0;0;1;4;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;3;8;9;13;15;17;17;16;9;3;5;2;1;0
240325105000088;1;69;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;1;1;0;0;1;1;2;2;2;3;4;1;1;1;4;6;1;1;2;1;2;1;1;2;0;2;5;3;0;3;2;0;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;5;3;9;11;7;4;9;4;1;0;0;1;0
240325105000089;1;20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;5;3;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;1;2;0;2;1;9;1;1;0;0;0;0;0
240325105000090;1;141;0;0;0;0;0;0;0;0;1;2;1;2;2;0;0;2;2;2;5;4;3;4;1;1;1;4;4;5;4;4;3;3;5;7;4;7;4;5;2;3;2;2;3;3;3;2;3;2;3;3;1;0;1;0;1;1;0;0;2;3;0;0;0;2;0;0;2;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;3;5;15;10;21;22;21;13;13;3;6;2;3;3
240325105000091;1;161;0;0;0;0;1;1;0;0;0;2;0;3;3;7;5;3;4;5;9;6;4;8;3;1;4;3;4;4;4;8;9;4;1;3;3;3;3;2;6;3;3;1;3;3;1;4;1;1;1;0;1;1;0;1;0;3;1;1;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;1;3;18;27;20;23;20;17;11;7;3;7;2;1;1
240325105000092;1;117;0;0;0;0;0;0;0;0;1;0;1;1;2;2;3;3;3;4;2;3;5;5;6;3;2;2;1;2;3;2;4;1;7;4;4;0;2;2;2;4;4;4;1;1;1;1;1;1;3;0;1;1;2;0;1;1;3;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;1;9;15;21;10;19;10;11;6;5;6;3;0;0
240325105000093;1;129;0;0;0;0;0;0;0;0;1;0;4;4;1;3;2;1;3;6;4;1;4;3;4;1;2;3;2;6;1;3;8;3;2;4;4;6;1;3;3;6;4;1;5;3;3;0;1;1;0;3;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;127;0;1;14;15;14;15;21;18;16;5;1;1;1;3;2
240325105000094;1;107;0;0;0;0;0;1;0;0;0;0;2;1;1;2;1;1;3;3;3;1;6;0;4;2;2;1;1;1;1;5;0;2;3;3;5;2;2;2;3;4;2;1;0;6;5;3;0;2;3;1;1;4;1;2;0;0;0;1;2;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;1;7;11;14;9;13;13;14;9;8;4;3;1;0
