Cod_setor;Situacao_setor;V001;V002;V003
510050807000003;8;28;0;0
510050807000004;5;21;0;0
510050807000005;8;70;0;0
510050807000006;8;10;0;0
510050810000001;8;385;0;0
510050810000002;8;3;0;0
510060705000001;1;173;0;0
510060705000002;1;244;1;0
510060705000003;1;127;0;0
510060705000004;1;182;0;0
510060705000005;8;26;0;0
510060705000006;8;69;0;0
510060705000007;8;40;0;0
510060705000008;1;109;0;0
510060705000009;1;289;1;0
510060705000010;1;233;1;0
510060705000011;1;102;0;0
510080505000001;1;143;4;0
510080505000002;1;79;0;0
510080505000003;1;140;0;0
510080505000004;2;238;2;0
510080505000005;2;111;1;0
510080505000006;1;159;0;0
510080505000007;1;132;0;0
510080505000008;1;200;0;0
510080505000009;1;55;1;0
510080505000010;5;23;0;0
510080505000011;8;26;0;0
510080505000012;8;42;0;0
510080505000013;8;9;0;0
510080505000014;8;0;"X";"X"
510080505000015;8;76;9;0
510080505000016;8;2;"X";"X"
510080505000018;8;179;1;0
510080505000019;8;72;0;0
510080505000020;8;6;0;0
510100105000001;1;93;0;0
510100105000002;1;82;0;0
510100105000003;2;66;0;0
510100105000004;8;63;0;0
510100105000005;8;59;1;0
510100105000006;8;38;0;0
510100105000007;8;9;1;0
510100105000008;8;16;1;0
510100105000009;2;89;1;0
510120905000001;1;75;1;0
510120905000002;1;76;0;0
510120905000003;8;10;0;0
510120905000004;8;6;0;0
510125805000001;1;59;0;0
510125805000002;1;73;0;0
510125805000003;1;69;0;0
510125805000004;1;117;0;0
510125805000005;1;87;0;0
510125805000006;1;217;0;0
510125805000007;1;145;0;0
510125805000008;1;154;0;0
510125805000009;1;183;1;0
510125805000010;1;124;0;0
510125805000011;1;100;0;0
510125805000012;1;65;0;0
510125805000013;1;156;1;0
510125805000014;5;27;0;0
510125805000015;8;37;0;0
510125805000016;8;104;0;0
510125805000017;8;35;0;0
510125805000018;8;45;0;0
510125805000019;5;31;0;0
510125805000020;8;58;0;0
510125805000021;1;91;0;0
510125805000022;1;147;0;0
510125805000023;1;253;1;0
510125805000024;1;115;0;0
510125805000025;8;41;0;0
510125805000026;8;85;0;0
510125805000027;8;87;0;0
510125805000028;5;17;0;0
510130805000001;1;47;0;0
510130805000002;1;66;0;1
510130805000003;1;2;"X";"X"
510130805000004;2;0;0;0
510130805000005;2;13;0;0
510130805000006;1;96;1;0
510130805000007;1;71;"X";"X"
510130805000008;1;110;1;0
510130805000009;1;115;0;0
510130805000010;1;109;0;0
510130805000011;2;28;0;0
510130805000012;1;80;1;0
510130805000013;1;29;0;0
510130805000014;1;53;"X";"X"
510130805000015;2;7;0;0
510130805000016;8;48;0;0
510130805000017;8;24;0;0
510130805000018;8;29;0;0
510130805000019;1;50;0;0
510130805000020;1;39;1;0
510130805000021;1;29;0;0
510130805000022;1;87;1;0
510130805000023;1;13;0;0
510130805000024;1;1;"X";"X"
510130805000025;1;91;0;0
510130805000026;1;48;0;0
510130805000027;1;52;0;0
510130805000028;1;178;0;0
510130805000029;1;0;"X";"X"
510130805000030;1;1;"X";"X"
510130805000031;1;64;0;0
510130805000032;1;39;1;0
510130805000033;1;133;0;0
510130805000034;2;3;"X";"X"
510130805000036;1;19;"X";"X"
510130805000037;2;1;"X";"X"
510130805000038;1;11;"X";"X"
510130805000039;1;18;1;0
510130805000040;2;5;"X";"X"
510130805000042;2;0;"X";"X"
510140705000001;1;124;1;0
510140705000002;1;102;1;0
510140705000003;1;192;0;1
510140705000004;1;244;3;0
510140705000005;1;135;0;0
510140705000006;1;72;0;0
510140705000007;1;134;1;0
510140705000008;2;1;0;0
510140705000009;2;62;0;0
510140705000010;2;4;0;0
510140705000011;2;1;"X";"X"
510140705000012;1;113;0;0
510140705000013;1;127;0;0
510140705000014;1;174;1;0
510140705000015;8;86;13;0
510140705000019;8;5;"X";"X"
510140705000020;8;13;1;0
510140705000025;8;2;"X";"X"
510140705000029;8;87;1;0
510140705000030;8;182;1;0
510140705000032;8;70;0;0
510140705000033;8;13;0;0
510140705000034;8;110;2;0
510140705000035;8;220;0;0
510140705000036;8;37;0;0
510140705000037;8;26;4;0
510140705000038;1;88;0;0
510140705000039;1;73;1;0
510140705000040;2;100;0;0
510140705000041;1;402;1;0
510140705000042;1;353;0;0
510140705000043;5;88;0;0
510140705000044;5;141;1;0
510140705000045;5;91;0;0
510140705000046;5;108;0;0
510140705000047;8;92;1;0
510140705000048;8;10;0;0
510140705000049;8;0;0;6
510160505000001;1;85;0;0
510160505000002;1;135;0;0
510160505000003;1;138;0;0
510160505000004;1;188;0;0
510160505000005;8;76;0;0
510160505000006;8;21;0;0
510160505000007;1;50;0;0
510160505000008;8;120;0;0
510160505000009;8;99;1;0
510160510000001;1;53;0;0
510160510000002;8;12;0;0
510160510000003;8;80;1;2
510160510000004;8;14;1;0
510160510000005;8;17;0;1
510160510000006;8;25;0;0
510160510000007;8;21;0;0
510160510000008;8;10;0;0
510160510000009;8;6;0;0
510160510000010;8;26;0;0
510160510000011;8;2;0;0
510160510000012;8;118;0;0
510160510000013;8;0;"X";"X"
510160510000014;8;63;0;0
510160510000015;8;0;"X";"X"
510160510000016;8;3;"X";"X"
510160510000017;8;8;0;0
510170405000001;1;63;1;0
510170405000002;1;8;0;0
510170405000003;1;89;0;0
510170405000004;1;81;1;0
510170405000005;1;56;0;0
510170405000006;1;85;0;1
510170405000007;1;71;0;0
510170405000008;1;60;0;0
510170405000009;1;110;1;1
510170405000010;1;100;0;0
510170405000011;1;199;0;0
510170405000012;1;250;1;0
510170405000013;1;203;2;0
510170405000014;1;272;0;0
510170405000015;1;219;0;0
510170405000016;1;92;0;0
510170405000017;1;263;3;0
510170405000018;1;183;1;0
510170405000019;1;122;0;0
510170405000020;1;99;0;0
510170405000021;1;124;0;0
510170405000022;1;115;2;0
510170405000023;1;54;0;0
510170405000024;1;12;0;0
510170405000025;1;100;0;0
510170405000026;1;22;0;0
510170405000027;8;41;0;0
510170405000029;8;107;2;0
510170405000030;8;153;2;0
510170405000031;5;69;0;0
510170405000032;5;19;0;0
510170405000033;8;13;0;0
510170405000034;8;45;0;0
510170405000035;8;28;0;0
510170405000036;8;14;7;0
510170405000037;5;58;4;0
510170405000038;8;55;0;0
510170405000039;8;43;0;0
510170405000040;8;71;0;1
510170405000041;1;85;1;0
510170405000042;1;42;0;0
510170405000043;1;59;0;0
510170405000044;1;42;0;0
510170405000045;1;7;0;0
510170405000046;1;40;0;0
510170405000047;1;58;0;0
510170405000048;1;62;0;0
510170405000049;1;165;2;0
510170405000050;1;258;1;3
510170405000051;1;146;0;0
510170405000052;1;257;1;0
510170405000053;1;10;0;0
510170405000054;1;38;0;0
510170405000055;1;15;1;0
510170405000056;1;79;0;0
510170405000057;1;75;1;0
510170405000058;1;43;0;0
510170405000059;1;8;0;0
510170405000060;1;219;2;0
510170405000061;8;143;2;0
510170406000001;1;123;0;0
510170406000002;1;187;0;0
510170406000003;8;12;0;0
510170422000001;8;29;0;0
510170422000002;8;132;0;0
510170422000004;8;117;0;0
510180305000001;1;94;0;0
510180305000002;1;31;0;0
510180305000003;1;31;0;0
510180305000004;1;72;0;0
510180305000005;1;85;0;0
510180305000006;1;37;0;0
510180305000007;1;52;0;0
510180305000008;1;60;0;0
510180305000009;1;75;0;0
510180305000010;1;95;0;0
510180305000011;1;88;0;0
510180305000012;1;149;0;0
510180305000013;1;169;1;0
510180305000014;1;150;0;0
510180305000015;1;67;0;0
510180305000016;1;106;0;0
510180305000017;1;84;0;0
510180305000018;1;96;0;0
510180305000019;1;62;1;0
510180305000020;1;178;1;0
510180305000021;1;126;0;0
510180305000022;1;111;0;0
510180305000023;1;140;0;0
510180305000024;1;89;1;0
510180305000025;1;170;0;0
510180305000026;2;147;0;0
510180305000027;1;4;0;0
510180305000028;1;135;0;0
510180305000029;1;82;0;0
510180305000030;1;196;0;0
510180305000031;1;114;0;0
510180305000032;1;136;0;0
510180305000033;1;95;0;0
510180305000034;1;48;0;0
510180305000035;1;32;1;0
510180305000036;1;98;1;0
510180305000037;1;60;0;0
510180305000038;1;62;0;0
510180305000039;1;17;0;0
510180305000040;1;71;0;0
510180305000041;1;66;0;0
510180305000042;1;107;0;0
510180305000043;1;125;1;0
510180305000044;1;103;0;0
510180305000045;1;140;0;0
510180305000046;1;81;0;0
510180305000047;1;162;0;0
510180305000048;1;111;0;0
510180305000049;1;157;0;0
510180305000050;1;104;0;0
510180305000051;1;103;0;1
510180305000052;1;184;1;0
510180305000053;1;21;1;0
510180305000054;1;55;0;0
510180305000055;1;36;0;0
510180305000056;1;41;0;0
510180305000057;1;46;0;0
510180305000058;1;112;0;0
510180305000059;1;101;0;0
510180305000060;1;85;1;0
510180305000061;1;130;0;0
510180305000062;1;132;0;0
510180305000063;1;145;1;0
510180305000064;1;147;0;0
510180305000065;1;62;0;0
510180305000066;1;109;2;0
510180305000067;1;83;1;0
510180305000068;1;41;0;0
510180305000069;8;28;0;0
510180305000070;8;80;0;0
510180305000071;8;28;0;0
510180305000072;8;256;11;0
510180305000074;8;16;0;0
510180305000075;8;6;0;0
510180305000076;1;182;0;0
510180305000077;1;131;0;0
510180305000078;1;84;0;0
510180305000079;1;67;0;0
510180305000080;1;104;0;0
510180305000081;1;132;1;0
510180305000082;1;192;0;0
510180305000083;1;90;0;0
510180305000084;1;38;0;0
510180305000085;1;97;2;0
510180315000001;1;57;0;0
510180315000002;8;40;0;0
510180315000003;8;22;0;0
510180315000004;8;79;0;0
510180315000005;8;82;10;3
510180330000001;1;25;0;0
510180330000002;8;12;0;0
510180330000003;8;22;0;0
510180330000005;8;683;6;1
510180330000006;8;178;2;0
510180330000007;8;12;0;0
510180330000008;8;100;0;0
510180335000001;1;83;0;0
510180335000002;8;29;0;0
510185205000001;1;234;0;0
510185205000002;1;349;0;0
510185205000003;2;7;0;0
510185205000004;8;38;0;0
510185205000005;5;107;0;0
510185205000006;8;3;0;0
510185205000007;8;100;0;0
510185205000008;8;90;0;0
510185205000009;8;80;0;0
510185205000010;8;5;0;0
510185205000011;8;51;0;0
510185205000012;8;27;0;0
510190205000001;1;87;0;0
510190205000002;1;85;0;0
510190205000003;1;77;0;0
510190205000004;1;235;2;0
510190205000005;1;153;0;0
510190205000006;1;73;1;0
510190205000007;2;95;0;0
510190205000008;2;271;1;0
510190205000009;1;133;0;0
510190205000010;8;4;0;0
510190205000011;8;15;0;0
510190205000012;8;72;0;0
510190205000013;8;132;2;0
510190205000016;8;73;1;0
510190205000017;8;41;0;0
510190205000019;8;8;0;0
510190205000020;8;65;1;0
510190205000021;8;40;1;0
510190205000022;1;193;0;0
510190205000023;1;248;0;0
510190205000024;2;266;0;0
510190205000025;8;69;0;0
510190205000026;8;0;0;0
510190210000001;1;66;3;0
510190210000002;8;9;0;0
510190210000003;8;149;0;1
510190210000004;8;349;0;0
510190210000005;8;175;3;0
510250405000001;1;149;0;0
510250405000002;1;142;0;0
510250405000003;1;234;0;0
510250405000004;1;101;0;0
510250405000005;1;80;0;0
510250405000006;1;131;1;0
510250405000007;1;95;0;0
510250405000008;1;136;0;0
510250405000009;1;100;0;0
510250405000010;1;87;1;0
510250405000011;1;79;0;0
510250405000012;1;53;4;0
510250405000013;1;83;0;0
510250405000014;1;54;0;0
510250405000015;1;113;0;1
510250405000016;1;149;2;0
510250405000017;1;122;2;0
510250405000018;2;25;0;0
510250405000019;1;87;0;0
510250405000020;1;59;0;0
510250405000021;1;76;0;0
510250405000022;1;107;0;0
510250405000023;1;117;0;0
510250405000024;1;149;0;0
510250405000025;1;183;1;0
510250405000026;1;171;2;0
510250405000027;1;130;0;0
510250405000028;2;151;0;0
510250405000029;2;47;1;0
510250405000030;1;71;1;0
510250405000031;2;46;2;0
510250405000032;1;178;1;1
510250405000033;1;129;0;0
510250405000034;1;438;9;4
510250405000035;1;172;0;0
510250405000036;1;106;0;0
510250405000037;1;130;1;0
510250405000038;1;154;2;0
510250405000039;1;172;0;0
510250405000040;1;89;0;0
510250405000041;1;127;0;0
510250405000042;1;80;0;2
510250405000043;1;100;0;0
510250405000044;1;287;2;0
510250405000045;1;99;0;0
510250405000046;1;149;2;0
510250405000047;1;181;9;0
510250405000048;1;151;8;0
510250405000049;1;138;0;0
510250405000050;1;105;0;0
510250405000051;1;178;0;0
510250405000052;1;151;0;3
510250405000053;1;180;0;0
510250405000054;1;172;2;0
510250405000055;1;92;0;0
510250405000056;1;150;2;0
510250405000057;1;134;0;0
510250405000058;1;119;1;0
510250405000059;1;48;0;0
510250405000060;1;71;0;0
510250405000061;1;65;0;0
510250405000062;1;103;1;0
510250405000063;1;87;0;0
