Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;
510010205000001;1;7;5;1;28;0;6;1;0;21;0
510010205000002;1;13;1;5;19;0;13;2;4;15;0
510010205000003;1;4;0;2;6;0;3;1;0;8;0
510010205000004;8;1;1;0;3;0;0;0;0;4;0
510010205000005;8;3;1;0;9;0;5;1;0;14;0
510010205000006;8;1;0;0;11;0;3;0;1;9;0
510010205000007;8;2;1;0;12;0;3;1;0;18;0
510010207000001;1;5;0;0;5;0;4;0;0;5;0
510010207000002;8;2;0;0;6;0;3;0;0;5;0
510010207000003;8;2;1;0;6;0;1;0;0;3;0
510010210000001;1;6;0;0;4;0;0;0;0;3;0
510010210000002;8;0;0;0;16;0;0;0;0;16;0
510020105000001;1;19;0;1;4;0;11;0;0;6;0
510020105000002;1;18;0;1;11;0;17;1;1;9;0
510020105000003;1;17;0;0;17;0;16;1;0;15;0
510020105000004;1;12;0;0;24;0;20;1;0;19;0
510020105000005;1;16;0;0;26;0;13;1;0;15;0
510020105000006;1;27;0;1;18;0;24;1;1;14;0
510020105000007;1;7;1;0;23;0;5;1;0;16;0
510020105000008;1;23;0;0;9;0;18;1;0;16;0
510020105000009;1;6;0;0;0;0;3;0;1;3;0
510020105000010;1;5;0;0;2;0;0;0;0;4;0
510020105000011;1;1;4;0;6;0;2;0;0;4;0
510020105000012;1;9;1;0;2;0;6;0;0;1;0
510020105000013;1;10;0;0;6;0;2;0;0;8;0
510020105000014;1;8;0;0;4;0;10;0;0;3;0
510020105000015;1;22;0;0;6;0;12;0;0;6;0
510020105000016;1;15;0;1;19;0;23;0;5;26;0
510020105000017;1;5;0;0;4;0;3;1;0;11;0
510020105000018;1;9;2;0;18;0;8;1;0;25;0
510020105000019;8;6;0;0;8;0;6;0;0;9;0
510020105000020;8;1;0;0;2;0;0;0;0;0;0
510020105000021;8;5;0;0;3;1;6;1;0;5;0
510020105000022;8;7;0;0;6;0;7;0;1;14;0
510020105000023;8;0;0;0;2;0;5;0;0;2;0
510020105000024;8;3;0;0;2;0;3;0;0;2;0
510020105000025;8;1;0;0;4;0;1;0;0;2;0
510020105000026;8;2;0;0;0;0;4;0;0;4;0
510020105000027;1;9;0;0;3;0;12;0;0;2;0
510020105000028;1;17;0;1;26;0;14;0;0;18;0
510020105000029;1;7;0;3;19;0;17;2;1;25;0
510020105000030;1;13;0;1;7;0;10;0;0;11;0
510020105000031;1;11;3;1;18;0;12;2;1;23;0
510020105000032;1;15;0;0;18;0;17;0;1;16;0
510020105000033;1;30;0;0;19;0;17;0;0;17;0
510020105000034;1;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
510020105000035;2;7;1;0;7;0;2;0;0;10;0
510020105000036;1;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
510020105000037;1;0;0;0;0;0;1;0;0;1;0
510020105000038;8;0;0;0;0;7;0;0;0;0;5
510020105000039;8;0;0;0;0;4;0;0;0;0;4
510020105000040;8;0;0;0;0;13;0;0;0;0;10
510020105000041;8;0;0;0;0;0;0;0;0;0;0
510020115000001;1;1;"X";"X";"X";"X";"X";"X";"X";"X";"X"
510020115000002;8;5;1;0;8;0;1;0;0;6;0
510020115000003;8;3;"X";"X";"X";"X";"X";"X";"X";"X";"X"
510020115000005;8;4;0;0;6;0;4;0;0;6;0
510020125000001;1;3;0;0;5;0;6;0;0;3;1
510020125000002;8;10;1;0;6;0;9;1;0;9;0
510020125000003;8;2;0;0;4;0;2;0;0;6;0
510020125000004;8;2;0;0;2;0;7;0;0;6;0
510025005000001;1;12;0;0;5;0;7;1;0;5;0
510025005000002;1;10;0;0;8;0;11;0;0;4;0
510025005000003;1;11;0;0;14;0;23;1;1;8;0
510025005000004;1;13;0;0;9;0;9;1;0;10;0
510025005000005;1;7;0;0;5;0;10;0;3;9;0
510025005000006;1;14;2;0;17;0;10;0;0;12;0
510025005000007;1;9;1;0;9;0;14;0;0;12;0
510025005000008;1;14;0;0;6;0;14;1;0;9;1
510025005000009;1;7;0;0;4;2;10;0;0;9;1
510025005000010;1;14;1;0;3;0;12;0;0;7;0
510025005000011;1;10;0;0;3;0;7;0;0;1;0
510025005000012;1;3;1;1;1;0;7;0;0;1;0
510025005000013;1;17;1;0;7;0;18;0;0;6;0
510025005000014;1;17;4;0;8;0;16;1;0;7;0
510025005000015;1;10;1;0;6;0;14;0;0;3;0
510025005000016;1;17;0;0;17;0;21;4;1;17;0
510025005000017;1;14;3;1;20;0;19;1;0;8;0
510025005000018;1;10;0;1;5;0;6;1;0;6;0
510025005000019;1;12;0;0;6;0;9;0;0;13;0
510025005000020;1;18;2;0;14;0;22;3;1;15;0
510025005000021;1;12;3;0;13;0;9;0;0;19;0
510025005000022;1;3;0;0;12;0;7;0;0;6;0
510025005000023;1;10;1;1;25;0;17;1;1;21;0
510025005000024;1;15;0;0;16;0;14;0;0;11;0
510025005000025;1;8;1;0;5;0;16;2;0;10;0
510025005000026;1;8;1;0;5;0;9;3;0;6;0
510025005000027;1;10;1;0;9;0;14;0;0;11;0
510025005000028;1;16;0;0;22;0;19;0;0;14;0
510025005000029;1;11;2;0;7;0;18;0;0;10;0
510025005000030;1;17;1;0;8;0;18;0;0;9;0
510025005000031;2;19;1;0;32;0;17;1;0;34;0
510025005000032;2;4;0;0;4;0;6;0;0;2;0
510025005000033;1;15;2;2;25;0;9;1;0;20;0
510025005000034;2;5;0;0;1;0;4;0;0;1;0
510025005000035;1;27;3;2;22;0;26;1;2;23;0
