Cod_setor;Situacao_setor;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255
120040105000103;1;426;5;7;11;7;7;12;9;5;10;8;12;9;12;10;7;9;12;8;13;4;15;9;12;15;9;11;16;9;5;8;4;7;5;6;7;6;6;6;9;3;4;3;4;0;4;4;7;3;6;1;4;4;2;3;5;3;0;3;1;0;0;2;3;2;0;0;3;0;1;0;1;1;1;0;0;6;160;46;139;2;17;9;16;0;466;1;6;9;10;7;14;10;7;7;13;4;11;8;10;9;16;7;14;14;6;12;9;12;11;18;13;12;14;10;5;7;9;9;6;7;6;9;8;6;5;3;5;4;9;5;9;3;6;5;2;3;3;2;0;5;4;4;1;1;3;3;1;3;0;0;0;1;1;0;0;2;1;0;0;1;5;116;141;114;9;17;10;22;4
120040105000104;1;341;1;3;2;12;14;6;10;7;11;12;10;11;5;10;2;10;13;4;10;5;12;8;8;9;8;8;4;6;7;8;9;5;5;2;3;2;8;5;4;4;2;3;3;4;1;5;6;3;3;1;6;1;0;0;0;5;1;2;2;3;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1;145;5;120;0;15;3;19;2;359;1;5;4;5;6;5;6;6;8;11;7;9;4;9;12;10;12;4;8;13;12;8;4;10;9;11;6;13;6;7;2;5;5;7;2;6;11;3;5;4;4;0;10;5;5;3;3;3;2;4;4;5;3;0;1;6;2;1;1;1;0;0;1;0;3;0;0;0;1;1;2;2;1;1;0;3;69;119;103;3;16;3;20;4
120040105000105;1;462;0;3;6;7;11;7;12;6;10;12;7;13;7;11;11;8;20;14;14;15;10;6;11;14;9;6;15;12;12;8;6;11;5;6;7;4;10;7;6;9;7;2;4;5;7;6;2;1;4;2;3;3;2;6;2;3;1;3;1;2;6;2;1;1;2;1;2;2;3;0;1;0;1;1;2;3;166;28;163;4;32;16;17;8;529;4;3;9;6;9;10;17;8;4;12;19;10;11;12;17;14;6;10;9;12;10;9;14;18;7;7;12;11;12;10;11;10;11;4;8;9;13;7;4;8;8;8;4;2;7;8;2;6;5;8;5;4;4;6;6;3;4;7;3;3;4;3;3;0;2;1;1;2;1;1;2;1;0;1;0;7;131;128;136;8;35;10;43;3
120040105000106;1;368;3;2;6;8;6;8;9;2;5;7;9;5;8;11;7;9;11;8;7;8;9;10;8;10;11;8;3;8;5;5;9;6;2;3;14;4;8;7;3;7;3;4;8;4;3;1;1;3;6;11;2;3;1;4;7;3;2;3;3;3;1;2;1;1;1;2;1;0;0;0;0;0;0;0;0;5;140;51;92;12;18;9;16;4;450;4;4;7;6;8;6;8;4;13;8;5;5;9;9;13;9;12;11;8;7;10;7;10;10;10;13;12;9;5;8;14;8;8;6;3;7;9;8;7;8;4;10;3;4;9;6;3;7;9;8;5;6;4;3;7;4;7;3;4;2;1;2;0;1;0;0;0;3;0;0;0;0;0;1;1;5;144;97;116;19;11;14;17;1
120040105000107;1;415;3;4;11;5;10;7;6;10;3;4;14;14;9;7;10;9;8;13;11;10;11;7;12;12;9;14;10;12;7;8;6;4;6;7;5;4;3;4;9;7;3;6;4;6;1;4;4;5;7;6;3;4;3;3;2;2;2;4;3;3;4;0;2;1;1;1;0;0;1;0;0;0;1;1;0;3;183;19;134;1;22;10;11;2;439;3;4;3;7;7;9;9;6;10;12;11;10;10;13;6;6;9;13;9;11;8;10;17;9;11;9;5;12;8;3;6;8;7;3;11;12;3;5;9;7;5;5;6;2;9;5;4;4;7;4;6;3;5;4;7;5;4;3;1;4;1;1;3;0;0;0;3;0;1;0;0;2;0;0;1;3;83;157;107;5;24;10;28;0
120040105000108;1;228;0;1;4;3;5;8;3;5;4;7;8;3;6;13;6;4;7;7;9;2;10;5;4;7;6;3;4;4;5;2;4;11;3;1;1;5;1;4;0;2;5;2;2;0;2;2;0;3;2;3;3;1;3;1;0;1;0;1;0;4;0;0;3;0;0;0;0;1;0;0;1;0;0;0;0;1;44;47;86;9;5;14;10;0;244;2;2;3;3;3;4;6;4;10;8;7;4;8;6;3;9;1;7;10;6;4;9;5;9;6;5;5;5;4;2;1;6;4;9;3;5;1;2;4;4;5;1;1;3;1;4;1;3;2;3;2;3;0;2;0;0;3;2;0;0;4;0;1;0;0;1;0;0;1;2;0;0;0;0;0;0;95;29;63;13;5;10;12;2
120040105000109;1;189;2;1;4;12;5;3;7;3;7;3;3;3;7;5;2;5;1;3;4;10;3;2;5;3;5;2;6;6;0;3;1;3;3;3;3;1;4;4;2;6;6;1;1;3;1;1;2;3;2;2;1;1;0;0;2;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;58;18;69;2;6;1;6;5;233;4;4;5;7;2;3;6;10;8;7;11;7;4;6;5;4;6;4;2;4;4;4;8;1;0;9;6;6;2;4;3;7;4;5;3;3;3;3;5;4;3;3;4;1;3;4;1;2;1;0;1;2;1;1;2;1;1;2;0;0;1;0;0;0;2;0;0;0;1;0;0;1;0;0;0;2;51;48;81;6;8;2;14;1
120040105000110;1;354;6;4;3;9;6;10;5;3;8;4;9;4;3;5;7;12;5;9;5;7;10;6;9;8;16;3;8;5;8;2;8;8;11;1;8;6;5;5;4;4;5;9;3;4;3;7;7;1;6;2;5;11;4;3;5;3;1;2;3;1;2;0;1;0;2;1;0;0;0;0;0;0;0;1;0;3;163;22;111;4;8;8;5;5;406;5;7;10;5;5;5;6;10;8;8;2;9;7;8;2;10;9;8;13;7;6;9;6;9;5;15;5;6;9;11;12;5;11;3;6;10;4;6;8;8;4;9;7;5;8;8;6;5;3;8;5;6;5;5;3;2;1;2;2;1;1;1;0;0;1;1;0;0;3;1;1;0;0;0;1;3;88;134;94;14;2;6;16;11
120040105000111;1;381;3;9;3;6;4;7;4;11;15;6;7;7;5;9;4;8;7;8;8;10;6;5;12;13;11;7;2;9;6;3;6;6;5;7;7;6;2;4;7;6;9;9;5;3;7;7;2;8;7;7;5;7;1;5;4;7;3;0;2;3;1;0;0;0;1;2;1;1;0;1;0;0;0;0;0;2;97;100;100;26;2;12;15;2;465;3;4;5;6;8;9;3;4;12;7;8;15;15;6;10;9;10;8;8;16;13;11;4;16;8;7;6;5;10;7;11;6;11;3;6;11;10;13;7;6;12;6;10;5;7;8;7;4;10;12;2;6;2;3;0;4;2;3;0;1;2;2;3;1;0;2;3;0;1;1;1;4;0;0;1;3;183;64;88;39;8;24;19;9
120040105000112;1;564;3;7;8;10;8;16;6;11;13;12;10;16;16;11;15;12;13;13;8;10;16;11;16;6;13;14;16;14;14;5;11;9;12;8;8;14;6;10;3;11;6;12;8;5;6;7;4;2;8;9;2;7;4;4;4;4;4;5;1;5;2;0;3;4;1;3;1;1;0;0;0;1;0;0;0;6;200;71;169;4;19;13;28;1;598;4;8;7;14;9;10;13;12;7;5;16;12;10;11;15;8;16;11;10;11;15;10;15;10;16;8;20;12;15;12;13;5;5;17;11;12;9;10;4;9;11;12;11;7;3;3;8;9;12;2;10;8;6;7;3;4;6;2;2;3;1;6;5;0;0;4;1;2;1;2;3;1;2;0;0;4;157;170;144;17;16;10;25;5
