Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
120040105000186;1;967;966;932;0;31;843;9;61;12;41;0;923;42;0;1;938;292;432;23;73;0;118;28;817;663;131;19;4;149;953;947;6;0;0;7;4;2;966;966;0;0;845;12;109;484;483;464;0;16;421;6;30;7;19;0;459;24;0;0;470;140;221;14;38;0;57;13;410;328;69;11;2;73;478;474;4;0;0;2;2;1;483;483;0;0;426;7;50;483;483;468;0;15;422;3;31;5;22;0;464;18;0;1;468;152;211;9;35;0;61;15;407;335;62;8;2;76;475;473;2;0;0;5;2;1;483;483;0;0;419;5;59
120040105000187;1;1168;1168;1131;0;18;959;19;129;0;61;0;1020;130;5;13;1168;600;139;177;236;9;7;0;1068;864;195;9;0;100;1168;1168;0;0;0;0;0;0;1168;1164;4;0;1076;51;37;536;536;521;0;6;448;8;50;0;30;0;470;54;4;8;536;267;63;89;107;6;4;0;483;387;91;5;0;53;536;536;0;0;0;0;0;0;536;534;2;0;491;22;21;632;632;610;0;12;511;11;79;0;31;0;550;76;1;5;632;333;76;88;129;3;3;0;585;477;104;4;0;47;632;632;0;0;0;0;0;0;632;630;2;0;585;29;16
120040105000188;1;1195;1195;1170;0;25;1027;11;98;0;50;9;1059;85;0;51;1122;144;519;1;385;0;73;73;974;892;70;12;0;221;1184;1157;27;0;0;8;0;3;1157;1044;113;38;764;54;226;577;577;565;0;12;489;6;51;0;27;4;511;43;0;23;543;59;249;1;199;0;35;34;464;429;29;6;0;113;571;557;14;0;0;5;0;1;558;504;54;19;355;33;116;618;618;605;0;13;538;5;47;0;23;5;548;42;0;28;579;85;270;0;186;0;38;39;510;463;41;6;0;108;613;600;13;0;0;3;0;2;599;540;59;19;409;21;110
120040105000189;1;982;982;951;0;31;773;0;131;7;71;0;603;171;0;208;980;143;465;21;39;3;309;2;676;596;66;6;8;306;973;959;14;9;0;0;0;0;982;982;0;0;451;40;491;466;466;448;0;18;369;0;66;4;27;0;286;86;0;94;465;68;227;11;13;1;145;1;320;283;29;3;5;146;461;454;7;5;0;0;0;0;466;466;0;0;215;18;233;516;516;503;0;13;404;0;65;3;44;0;317;85;0;114;515;75;238;10;26;2;164;1;356;313;37;3;3;160;512;505;7;4;0;0;0;0;516;516;0;0;236;22;258
120040105000190;1;1319;1319;1297;0;22;1118;50;94;5;52;0;1249;55;0;15;1317;51;1037;31;198;0;0;2;1277;1116;151;10;0;42;1319;1319;0;0;0;0;0;0;1318;1318;0;1;820;0;498;615;615;603;0;12;531;16;45;1;22;0;583;24;0;8;614;20;494;20;80;0;0;1;599;519;74;6;0;16;615;615;0;0;0;0;0;0;614;614;0;1;373;0;241;704;704;694;0;10;587;34;49;4;30;0;666;31;0;7;703;31;543;11;118;0;0;1;678;597;77;4;0;26;704;704;0;0;0;0;0;0;704;704;0;0;447;0;257
120040105000191;1;2604;2604;2539;0;65;1561;607;176;4;182;74;2219;213;7;165;2572;550;189;1038;83;0;712;32;1444;1189;208;32;15;1160;2450;2413;37;83;16;47;0;8;2604;2531;73;0;1451;36;1044;1289;1289;1257;0;32;773;305;87;4;90;30;1101;115;1;72;1273;280;102;500;36;0;355;16;721;598;100;15;8;568;1218;1204;14;46;4;16;0;5;1289;1251;38;0;723;14;514;1315;1315;1282;0;33;788;302;89;0;92;44;1118;98;6;93;1299;270;87;538;47;0;357;16;723;591;108;17;7;592;1232;1209;23;37;12;31;0;3;1315;1280;35;0;728;22;530
120040105000192;1;1229;1227;1165;0;59;689;293;134;0;111;0;1221;6;0;0;1194;249;8;592;133;0;212;33;782;685;89;0;8;445;1227;1227;0;0;0;0;0;0;1227;1227;0;0;1014;103;110;613;612;580;0;30;329;157;69;0;57;0;608;4;0;0;593;129;3;284;65;0;112;19;384;337;42;0;5;228;612;612;0;0;0;0;0;0;612;612;0;0;502;51;59;616;615;585;0;29;360;136;65;0;54;0;613;2;0;0;601;120;5;308;68;0;100;14;398;348;47;0;3;217;615;615;0;0;0;0;0;0;615;615;0;0;512;52;51
120040105000193;1;1171;1171;1094;0;45;930;6;154;0;81;0;1159;12;0;0;1168;124;25;478;526;0;15;3;1099;865;185;25;24;72;1151;1139;12;0;0;2;0;18;1171;1171;0;0;852;64;255;561;561;523;0;24;440;3;81;0;37;0;555;6;0;0;560;59;10;224;259;0;8;1;527;426;83;8;10;34;550;544;6;0;0;1;0;10;561;561;0;0;403;31;127;610;610;571;0;21;490;3;73;0;44;0;604;6;0;0;608;65;15;254;267;0;7;2;572;439;102;17;14;38;601;595;6;0;0;1;0;8;610;610;0;0;449;33;128
120040105000194;1;1122;1039;1034;0;5;151;803;63;0;22;0;1029;5;0;5;1039;994;45;0;0;0;0;0;1039;859;155;25;0;0;1039;1039;0;0;0;0;0;0;1039;1039;0;0;1036;0;3;582;499;496;0;3;81;371;33;0;14;0;494;1;0;4;499;472;27;0;0;0;0;0;499;420;71;8;0;0;499;499;0;0;0;0;0;0;499;499;0;0;499;0;0;540;540;538;0;2;70;432;30;0;8;0;535;4;0;1;540;522;18;0;0;0;0;0;540;439;84;17;0;0;540;540;0;0;0;0;0;0;540;540;0;0;537;0;3
120040105000195;1;1132;1132;1112;0;20;175;885;59;0;13;0;1132;0;0;0;1132;1124;6;2;0;0;0;0;1130;362;524;198;46;2;1132;1132;0;0;0;0;0;0;1132;1132;0;0;1132;0;0;509;509;497;0;12;76;398;28;0;7;0;509;0;0;0;509;506;2;1;0;0;0;0;508;163;243;83;19;1;509;509;0;0;0;0;0;0;509;509;0;0;509;0;0;623;623;615;0;8;99;487;31;0;6;0;623;0;0;0;623;618;4;1;0;0;0;0;622;199;281;115;27;1;623;623;0;0;0;0;0;0;623;623;0;0;623;0;0
