Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;
110001505000001;1;968;956;303;207;247;109;16;8;9;4;29;0;8;0;6;2;6;2;0;0;12;11;1;1;1;0;0;0;0;3;1;1;2;1;14;12;17;15;11;12;11;23;21;13;16;16;27;17;18;17;17;24;24;16;29;19;19;13;18;19;14;16;23;8;18;10;22;20;18;11;21;7;9;19;12;11;12;14;17;11;10;11;5;10;11;15;7;10;10;4;3;7;4;11;5;3;8;3;4;4;9;7;4;5;4;3;2;7;3;3;2;4;2;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
110001505000002;1;859;859;264;176;220;108;12;1;7;2;45;0;8;0;13;2;0;0;1;0;0;12;3;1;0;1;2;1;1;1;1;0;0;1;12;7;13;6;23;14;10;17;13;23;13;12;14;23;19;21;19;32;15;15;17;18;15;7;20;9;14;16;10;8;18;18;17;16;13;13;9;16;11;13;12;8;11;17;13;10;7;9;5;14;8;10;9;4;7;12;9;7;5;4;1;5;4;3;9;4;1;5;4;4;2;3;3;1;5;1;3;1;0;2;1;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
110001505000003;1;661;661;201;130;149;116;1;1;7;3;33;0;9;1;8;0;1;1;0;0;0;9;1;1;0;0;2;1;0;2;0;2;0;0;11;9;10;9;13;13;7;10;14;14;18;11;14;11;19;11;17;14;17;13;13;16;13;14;7;5;8;10;16;14;13;12;10;12;13;7;9;9;10;6;9;16;7;4;13;8;5;6;7;4;2;6;5;4;7;6;4;0;5;4;3;1;4;10;1;3;3;2;2;2;3;2;3;4;1;2;4;2;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
110001505000004;1;266;266;84;57;57;26;4;4;2;0;14;0;5;0;8;0;5;0;0;0;0;5;0;0;1;1;0;0;0;1;1;0;0;1;6;2;2;6;0;5;6;4;2;4;5;4;4;10;11;3;7;5;6;7;6;4;2;4;5;6;3;3;3;5;5;3;2;3;1;7;1;3;7;5;2;7;4;4;3;0;4;2;7;2;5;3;5;4;0;1;2;2;1;3;0;1;1;1;1;0;1;2;3;2;1;1;2;0;1;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000005;1;1206;1206;356;231;288;151;52;14;19;3;59;1;10;0;14;8;0;0;0;0;0;23;0;2;2;1;2;2;2;1;5;4;1;1;28;30;39;28;24;26;28;30;23;19;29;21;16;18;29;24;23;22;25;30;22;25;17;22;19;24;13;20;21;22;12;22;16;13;16;13;9;19;15;16;15;12;8;15;13;12;13;13;14;10;5;7;6;7;6;7;5;13;6;8;8;7;11;8;7;8;8;9;5;2;3;5;4;3;6;8;3;1;3;4;2;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0
110001505000006;1;819;816;255;169;190;106;22;8;13;0;41;1;8;0;6;0;0;0;0;0;0;12;0;1;1;1;0;2;2;2;0;2;0;1;13;17;13;12;13;10;19;12;15;17;13;18;8;22;23;22;19;24;19;12;17;16;17;16;9;19;12;15;11;10;17;8;6;10;11;14;11;14;10;15;8;8;8;14;8;10;9;14;12;8;4;12;6;2;8;7;3;7;8;3;1;10;1;4;4;4;5;5;3;5;3;4;3;2;1;2;3;1;1;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
110001505000007;1;776;776;230;174;199;70;24;7;11;2;39;1;9;0;9;1;0;0;0;0;0;8;1;0;1;1;0;1;1;1;0;1;1;0;8;16;10;12;10;9;11;13;20;22;14;13;14;16;16;16;13;18;13;23;14;9;12;15;12;18;13;16;19;10;12;9;12;10;17;9;12;10;11;9;11;12;11;10;11;12;7;9;9;8;13;7;6;3;7;6;3;5;4;2;4;5;11;2;4;4;3;4;3;6;3;3;1;4;1;2;0;2;3;1;1;2;3;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000008;1;415;414;131;92;98;42;10;3;1;2;17;0;3;0;8;4;0;4;0;0;0;8;0;0;1;1;0;1;0;2;0;1;1;1;6;6;8;8;6;8;9;6;8;15;7;4;10;4;7;6;9;12;11;4;7;8;11;6;4;5;7;13;8;7;7;7;8;6;3;9;9;5;7;5;4;3;2;6;5;4;5;5;4;6;2;2;4;4;4;3;1;0;5;4;1;0;4;3;2;4;2;0;2;4;1;2;3;1;1;0;1;2;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
110001505000009;1;840;767;229;158;206;86;9;3;5;2;29;0;17;1;19;2;1;0;0;0;73;11;1;0;3;2;0;0;0;0;1;1;2;1;17;9;13;14;14;12;16;9;9;10;13;18;9;17;19;29;10;9;24;29;18;11;14;15;14;19;17;17;22;16;14;17;18;14;9;12;14;11;17;14;8;15;13;4;20;10;15;10;13;9;4;8;7;9;5;7;6;3;6;2;4;2;3;1;3;6;4;1;3;3;4;2;3;1;3;3;0;1;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000010;1;115;115;33;23;32;14;5;0;2;0;1;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;2;2;3;3;3;2;5;3;2;2;3;3;7;1;1;1;0;2;2;2;2;3;1;1;2;1;3;0;1;2;3;1;1;2;3;4;2;2;0;3;1;2;3;0;2;1;0;0;2;3;0;0;0;0;1;0;0;2;0;0;0;0;2;1;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000011;1;815;815;255;173;207;87;19;7;9;1;33;0;9;0;11;1;1;2;0;0;0;10;0;1;1;1;4;0;0;0;0;2;0;1;6;8;8;14;10;17;13;15;12;9;16;13;11;14;20;15;15;22;14;17;17;18;17;8;7;11;17;17;11;16;9;16;16;19;7;14;11;10;14;10;13;13;9;10;12;10;14;13;12;7;11;12;5;6;7;10;5;6;4;10;3;6;1;4;4;8;3;3;3;3;4;2;5;2;3;7;5;4;3;2;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000012;1;1063;1063;324;225;275;110;24;8;19;3;38;1;17;0;13;2;3;0;1;0;0;17;1;2;2;0;1;0;3;2;0;4;0;2;16;13;16;19;15;19;18;20;18;20;21;19;25;23;24;20;22;21;25;18;19;17;15;15;27;23;25;26;24;16;11;21;19;17;20;15;20;18;17;16;23;23;10;7;17;11;12;9;4;9;3;13;7;7;6;3;7;6;6;4;7;7;7;5;5;4;7;7;2;4;2;3;3;7;0;1;4;1;1;1;0;0;2;0;0;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0
110001505000013;1;1175;1170;382;252;280;135;22;5;1;2;58;1;6;0;14;9;1;1;1;0;5;15;2;1;1;0;2;0;2;0;0;1;3;3;16;15;23;16;22;17;13;18;21;24;19;21;21;30;30;22;20;18;21;26;19;26;21;21;16;17;24;31;21;26;19;26;26;12;27;22;20;15;17;24;18;16;11;12;14;14;13;9;9;8;17;9;11;5;7;10;8;11;13;4;5;4;4;4;7;6;9;7;3;5;3;5;3;5;6;6;4;3;0;2;0;0;0;2;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0
110001505000014;1;871;861;289;174;170;108;9;2;45;1;25;1;24;1;15;7;0;0;0;0;0;13;2;0;2;0;3;0;3;1;0;1;1;0;16;10;19;10;18;15;12;9;14;23;20;14;21;14;20;22;13;18;15;13;10;16;16;17;17;9;13;23;15;17;13;20;17;16;14;16;21;14;10;8;13;15;11;8;11;7;9;5;8;7;7;7;10;5;6;7;9;5;3;2;6;5;8;5;4;3;6;8;4;6;3;4;4;3;1;2;2;5;2;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000015;1;204;204;68;44;37;38;0;1;4;1;9;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;3;2;1;2;4;5;2;4;3;4;3;1;4;0;4;6;7;5;2;2;2;2;3;1;3;4;7;4;9;2;5;3;1;4;2;4;2;4;2;5;3;5;2;5;4;6;2;2;4;1;5;3;2;0;0;1;2;1;0;1;0;0;1;0;1;1;0;0;0;0;1;2;0;1;2;3;1;1;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000016;1;491;477;168;110;122;35;3;1;4;2;13;0;3;0;7;7;2;0;0;0;14;6;0;0;2;0;0;0;0;2;2;0;0;0;4;5;12;5;9;6;1;7;5;9;3;5;6;8;11;9;8;8;10;12;8;16;8;10;10;4;6;7;8;13;7;7;10;11;9;5;10;8;6;8;8;7;7;10;10;4;9;10;10;5;13;7;6;6;3;7;3;1;6;6;1;1;1;3;4;3;1;0;2;1;1;3;3;0;2;0;1;0;3;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
110001505000017;1;706;703;232;135;145;70;11;9;6;4;52;0;8;0;22;1;7;0;1;0;3;10;1;1;0;2;1;2;0;2;1;0;0;0;7;9;11;12;8;13;11;6;12;12;10;8;13;5;10;13;11;18;18;20;16;19;12;15;10;14;6;9;13;17;9;6;11;9;3;13;9;9;11;14;6;15;12;17;11;5;12;9;12;9;10;5;5;7;7;5;8;7;9;6;6;5;2;4;5;8;3;4;2;1;1;1;5;5;1;1;2;3;1;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000018;1;763;763;246;171;194;71;19;5;5;3;24;2;2;0;17;4;0;0;0;0;0;16;0;1;3;0;3;1;1;0;2;2;2;1;7;14;9;16;17;11;9;11;9;15;8;11;19;10;17;11;16;12;15;17;10;18;11;13;17;9;13;16;14;12;12;11;10;18;13;11;14;18;16;11;14;11;15;15;10;14;14;9;8;5;7;6;8;5;6;10;7;5;3;9;2;5;5;3;4;3;1;2;3;2;3;1;3;2;1;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000019;4;511;511;156;108;122;58;7;7;6;3;28;0;7;0;6;2;1;0;0;0;0;8;0;1;1;1;2;0;0;1;1;0;1;0;5;7;9;10;4;5;9;19;5;13;7;10;12;10;12;7;10;12;12;11;6;10;11;1;12;4;9;10;11;10;10;6;8;12;12;9;15;7;7;11;4;7;8;2;5;7;7;8;7;5;2;3;1;2;4;1;1;6;1;4;3;2;2;4;8;0;3;6;2;1;0;2;1;2;0;2;1;1;0;0;0;0;1;2;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0
