"Cod_bairro","Nome_do_bairro","ipc","compDomRenda","compEntorno","compDomiciliosMulher","comp5maisdomicilio","compbanheiro","compagua","compPessoas"
2304400001,"Alagadiço",0.712970481875148,0.253333333333333,0.816622399531211,0.271375062620621,0.168495565421885,0.199082303507844,0.185058547258838,0.516319296572331
2304400002,"Aldeota",0.794782420779822,0.365423728813559,0.847673330586336,0.296258181379621,0.176563157233515,0.199536244520737,0.187281075822723,0.607869725362597
2304400003,"Álvaro Weyne",0.659548786880513,0.158709677419355,0.855247214845748,0.251405186267128,0.159049156178492,0.199223721780673,0.176946325376635,0.429470265040637
2304400004,"Amadeo Furtado",0.667020607309907,0.19,0.767135030065543,0.295528423794516,0.153411569098192,0.199316229250029,0.18324659308918,0.507952400426777
2304400005,"Arraial Moura Brasil",0.498119302183429,0.12,0.416273853290255,0.271586724984846,0.150761568908717,0.197396184536949,0.190023553131534,0.419902746682831
2304400006,"Barra do Ceará",0.593728595798436,0.126117647058824,0.726218611205222,0.256633596946172,0.153785867636034,0.199196302040745,0.175882421110137,0.399984938344347
2304400007,"Benfica",0.724404533486524,0.230769230769231,0.877230222077527,0.251738590688679,0.172041574992461,0.196896437247508,0.191991283471433,0.504284851901413
2304400008,"Bom Futuro",0.66522875174293,0.2,0.803935569005379,0.195771916388453,0.164925596557905,0.199866034380713,0.199140554188491,0.427818501096303
2304400009,"Carlito Pamplona",0.604769480249934,0.136842105263158,0.738577772998312,0.24333322140761,0.157262161138267,0.199577341254193,0.182135085052164,0.399913975043708
2304400010,"Centro",0.709091363908378,0.231111111111111,0.865755924260677,0.265637634098525,0.170048704293045,0.197186510662175,0.171260356369533,0.491911485028593
2304400011,"Coco",0.818236774614182,0.382222222222222,0.861807393465407,0.32154135814433,0.176674598543547,0.199849844417103,0.194501386671963,0.639654878522305
2304400012,"Cristo Redentor",0.56908607479852,0.122352941176471,0.661164482935392,0.245268218733686,0.14779061137587,0.198368127145263,0.180120398469618,0.397461663292947
2304400013,"Damas",0.689814327731682,0.210666666666667,0.791120652139113,0.267443957095015,0.172210503569472,0.199715042485892,0.19397800972583,0.501752108608074
2304400014,"Estância (Dionísio Torres)",0.783778672738414,0.3552,0.83352041250699,0.285539014120236,0.173514688003395,0.199867929245306,0.194634057691404,0.594598930768147
2304400015,"Farias Brito",0.66349106433672,0.195555555555556,0.798986981689004,0.24797498788136,0.158834237912703,0.199226164023895,0.179989606817345,0.457880647011658
2304400016,"Fátima",0.765206559879458,0.289411764705882,0.859847566089809,0.297783676566019,0.172317323963073,0.198523161876465,0.192983012573993,0.582536850429151
2304400017,"Floresta",0.589032112908183,0.121111111111111,0.70426810271918,0.269962040112051,0.156646584321501,0.199289845059495,0.164947160076957,0.420833535436306
2304400018,"Jacarecanga",0.64072120295423,0.182222222222222,0.770466210362911,0.260537735787091,0.162577901551573,0.19532224643499,0.166158772901509,0.445416255389485
2304400019,"Jardim América",0.67778398542638,0.173333333333333,0.824585610233021,0.259259690068926,0.16260863968568,0.199456610190654,0.196340372437401,0.477027390399052
2304400020,"Jardim Guanabara",0.62312119663015,0.128888888888889,0.790346328711406,0.287421852783561,0.158339486433724,0.199760347140021,0.111390814458815,0.480637724257594
2304400021,"Jardim Iracema",0.61376223802493,0.12,0.763314082703163,0.275764148997223,0.156135181408588,0.199165896709287,0.161907047454866,0.440764505798887
2304400022,"Joaquim Távora",0.739182801619619,0.267428571428571,0.882388511126254,0.268377400941223,0.170197013254504,0.199189481791893,0.182636857065296,0.51570797019234
2304400023,"José Bonifácio",0.727183812927355,0.230769230769231,0.865946432929538,0.272317147462594,0.164767634606419,0.199153804649742,0.193595289255337,0.527319046571799
2304400024,"Meireles",0.815547489302273,0.37875,0.862301792347168,0.306888627015491,0.17735506052222,0.199738546329049,0.192312766115798,0.636184302592583
2304400025,"Monte Castelo",0.668516020249286,0.175,0.803493108541809,0.279852918997253,0.159218142038283,0.199716240175136,0.188828919852638,0.479291650139994
2304400026,"Mucuripe",0.755595280684674,0.333333333333333,0.813553831379426,0.298958566637158,0.173984874779072,0.198740186500695,0.17872717673416,0.568446439327336
2304400027,"Papicu",0.666295893558004,0.264615384615385,0.645281235846909,0.288958590821344,0.166007506462392,0.198996640710403,0.188449958080496,0.535536954958427
2304400028,"Parque Araxá",0.690531375357061,0.21,0.831698927628869,0.254743500490986,0.162186580485723,0.19929485213323,0.191435414482907,0.476978351340455
2304400029,"Parquelândia",0.70948970642942,0.235555555555556,0.830624730947352,0.280782966241641,0.16151843210449,0.197607598308095,0.188361385239489,0.514801417133279
2304400030,"Parreão",0.706410554575196,0.236666666666667,0.812432061465928,0.276333685332676,0.163926282397004,0.198795471540195,0.195529354129149,0.511881827526646
2304400031,"Pirambú",0.538174835437857,0.118260869565217,0.578328329289364,0.256870675464567,0.149036433407437,0.195937313596421,0.169088549388477,0.403873011066656
2304400032,"Praia de Iracema",0.756701355328234,0.331428571428571,0.835011162440773,0.275376892617341,0.171624920971185,0.199556042264776,0.194109954680545,0.538373414198852
2304400033,"Presidente Kennedy",0.653253190290335,0.183529411764706,0.759118091057165,0.264223196210035,0.162119471949551,0.199106961915741,0.184523068755078,0.471362565428765
2304400034,"Rodolfo Teófilo",0.685376884717664,0.2,0.841000897878069,0.270564643185179,0.159070100388269,0.199209718767758,0.183573145984856,0.47327679113404
2304400035,"São João do Tauapé",0.671137864506478,0.2,0.781551756092766,0.261627204887017,0.160925341354759,0.199540322043074,0.191317386155485,0.480078787873352
