Cod_setor;Situacao_setor;V001;V002;V003
160030305000109;1;227;9;0
160030305000110;1;231;3;0
160030305000111;1;151;0;0
160030305000112;1;335;0;1
160030305000113;1;246;2;0
160030305000114;1;155;1;0
160030305000115;1;108;0;0
160030305000116;1;91;2;0
160030305000117;1;458;7;1
160030305000118;1;577;7;0
160030305000119;1;223;0;0
160030305000120;1;242;2;5
160030305000121;1;136;1;0
160030305000122;1;164;1;0
160030305000123;1;417;4;0
160030305000124;1;193;2;0
160030305000125;1;352;9;1
160030305000126;1;184;5;0
160030305000127;1;299;7;1
160030305000128;1;129;0;0
160030305000129;1;27;2;0
160030305000130;1;114;0;0
160030305000131;1;616;5;0
160030305000132;1;284;1;0
160030305000133;1;3;0;0
160030305000134;1;252;1;0
160030305000135;1;155;1;0
160030305000136;1;441;1;1
160030305000137;1;111;1;0
160030305000138;1;267;0;1
160030305000139;1;169;0;2
160030305000140;1;272;5;2
160030305000141;1;170;4;0
160030305000142;1;219;1;0
160030305000143;1;248;0;2
160030305000144;1;364;1;0
160030305000145;1;207;0;0
160030305000146;1;200;0;0
160030305000147;1;219;2;0
160030305000148;1;222;4;1
160030305000149;1;190;1;0
160030305000150;1;266;7;1
160030305000151;1;259;6;0
160030305000152;1;133;0;0
160030305000153;1;190;1;0
160030305000154;1;181;1;0
160030305000155;1;165;6;0
160030305000156;1;171;1;0
160030305000157;1;240;0;0
160030305000158;1;209;4;0
160030305000159;1;281;0;0
160030305000160;1;234;2;0
160030305000161;1;144;0;0
160030305000162;1;158;0;0
160030305000163;1;249;4;0
160030305000164;1;146;0;0
160030305000165;1;186;1;0
160030305000166;1;330;5;0
160030305000167;1;232;0;0
160030305000168;1;306;2;0
160030305000169;1;242;5;2
160030305000170;1;199;3;0
160030305000171;1;183;5;0
160030305000172;1;56;1;0
160030305000173;1;147;1;0
160030305000174;1;103;0;0
160030305000175;1;312;7;1
160030305000176;1;540;2;0
160030305000177;1;282;0;0
160030305000178;1;134;2;0
160030305000179;1;194;2;1
160030305000180;1;217;7;0
160030305000181;1;237;7;0
160030305000182;1;186;0;0
160030305000183;1;335;2;0
160030305000184;1;145;1;0
160030305000185;1;222;2;0
160030305000186;1;135;0;4
160030305000187;1;164;0;0
160030305000188;1;102;1;0
160030305000189;1;293;1;0
160030305000190;1;326;6;0
160030305000191;1;6;0;0
160030305000192;1;248;1;0
160030305000193;1;180;1;0
160030305000194;1;89;0;0
160030305000195;1;161;1;0
160030305000196;1;217;7;2
160030305000197;1;278;6;0
160030305000198;1;33;0;0
160030305000199;1;29;0;0
160030305000200;1;235;7;0
160030305000201;1;61;1;0
160030305000202;1;169;1;0
160030305000203;1;109;3;0
160030305000204;1;63;0;0
160030305000205;1;339;1;0
160030305000206;1;367;6;1
160030305000207;1;74;0;0
160030305000208;1;155;3;2
160030305000209;1;137;0;0
160030305000210;1;46;0;0
160030305000211;1;239;1;0
160030305000212;1;470;5;0
160030305000213;1;202;7;0
160030305000214;1;258;3;0
160030305000215;1;234;5;1
160030305000216;1;350;7;0
160030305000217;1;222;4;0
160030305000218;2;271;8;0
160030305000219;1;248;0;0
160030305000220;1;199;1;0
160030305000221;1;188;0;0
160030305000222;1;216;3;0
160030305000223;1;266;1;0
160030305000224;1;276;10;0
160030305000225;1;128;3;0
160030305000226;1;155;0;0
160030305000227;1;118;4;0
160030305000228;1;247;6;0
160030305000229;1;242;0;0
160030305000230;1;202;0;0
160030305000231;1;164;1;0
160030305000232;1;266;4;0
160030305000233;1;191;1;0
160030305000234;1;362;1;0
160030305000235;1;292;0;0
160030305000236;1;257;2;0
160030305000237;1;396;5;5
160030305000238;1;279;2;0
160030305000239;1;333;10;3
160030305000240;1;585;20;0
160030305000241;1;384;21;1
160030305000242;1;141;2;0
160030305000243;1;147;4;0
160030305000244;1;167;0;0
160030305000245;1;179;10;0
160030305000246;1;149;0;0
160030305000247;1;207;2;1
160030305000248;1;152;1;0
160030305000249;1;78;0;0
160030305000250;1;393;0;0
160030305000251;1;81;0;0
160030305000252;1;214;2;0
160030305000253;1;118;0;0
160030305000254;1;269;0;0
160030305000255;1;209;2;0
160030305000256;1;182;5;0
160030305000257;1;209;2;0
160030305000258;1;267;7;0
160030305000259;1;299;3;2
160030305000260;1;261;3;0
160030305000261;1;164;3;0
160030305000262;1;274;5;1
160030305000263;1;235;4;0
160030305000264;1;155;9;0
160030305000265;1;237;0;3
160030305000266;1;149;5;0
160030305000267;1;200;0;0
160030305000268;1;241;1;1
160030305000269;1;270;2;0
160030305000270;1;254;11;1
160030305000271;1;214;3;1
160030305000272;1;300;6;0
160030305000273;1;162;2;1
160030305000274;1;191;6;0
160030305000275;1;234;4;0
160030305000276;1;333;0;1
160030305000277;1;199;5;0
160030305000278;1;276;7;0
160030305000279;1;205;6;0
160030305000280;1;140;3;0
160030305000281;2;110;0;0
160030305000282;1;137;1;0
160030305000283;1;233;0;0
160030305000284;2;116;0;0
160030305000285;2;247;11;1
160030305000286;2;229;1;1
160030305000287;5;471;4;0
160030305000288;5;69;1;0
160030305000289;5;57;2;0
160030305000290;8;81;0;0
160030305000291;8;102;1;1
160030305000292;8;284;1;0
160030305000293;8;124;7;0
160030305000294;8;45;1;0
160030305000295;1;365;2;0
160030305000296;8;66;0;0
160030305000297;1;98;0;0
160030305000298;1;65;1;0
160030305000299;1;112;1;1
160030305000300;1;100;0;0
160030305000301;1;109;0;0
160030305000302;1;143;0;0
160030305000303;1;118;0;0
160030305000304;1;110;1;0
160030305000305;1;123;0;0
160030305000306;1;115;1;0
160030305000307;1;256;1;0
160030305000308;1;167;5;0
160030305000309;1;118;0;0
