Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
160060005000045;1;69;76;38;11;3;0;0;0;0;69;12252;33614;27913;14700;5900;0;0;0;0;266;197;94379;8;30;24;9;2;0;0;0;0;19;1358;14010;18490;12400;4100;0;0;0;0;92;73;50358;61;46;14;2;1;0;0;0;0;50;10894;19604;9423;2300;1800;0;0;0;0;174;124;44021;69;76;38;11;3;0;0;0;0;69;12252;33614;27913;14700;5900;0;0;0;0;266;197;94379;8;30;24;9;2;0;0;0;0;19;1358;14010;18490;12400;4100;0;0;0;0;92;73;50358;61;46;14;2;1;0;0;0;0;50;10894;19604;9423;2300;1800;0;0;0;0;174;124;44021;
160060005000046;1;85;120;35;8;2;0;0;0;0;43;15154;52092;25021;10649;3589;0;0;0;0;293;250;106505;33;51;22;8;1;0;0;0;0;11;5442;22255;15515;10649;1600;0;0;0;0;126;115;55461;52;69;13;0;1;0;0;0;0;32;9712;29837;9506;0;1989;0;0;0;0;167;135;51044;85;120;35;8;2;0;0;0;0;43;15154;52092;25021;10649;3589;0;0;0;0;293;250;106505;33;51;22;8;1;0;0;0;0;11;5442;22255;15515;10649;1600;0;0;0;0;126;115;55461;52;69;13;0;1;0;0;0;0;32;9712;29837;9506;0;1989;0;0;0;0;167;135;51044;
160060005000047;1;25;66;16;4;2;2;0;1;0;21;4641;30012;11175;5500;4100;5600;0;10000;0;137;116;71028;9;41;13;4;1;2;0;1;0;10;1460;18600;9275;5500;1700;5600;0;10000;0;81;71;52135;16;25;3;0;1;0;0;0;0;11;3181;11412;1900;0;2400;0;0;0;0;56;45;18893;25;65;16;4;2;2;0;1;0;21;4641;29502;11175;5500;4100;5600;0;10000;0;136;115;70518;9;40;13;4;1;2;0;1;0;10;1460;18090;9275;5500;1700;5600;0;10000;0;80;70;51625;16;25;3;0;1;0;0;0;0;11;3181;11412;1900;0;2400;0;0;0;0;56;45;18893;
160060005000048;1;10;22;16;7;7;3;0;0;0;33;1880;9902;12795;9258;14100;10000;0;0;0;98;65;57935;3;9;11;5;4;2;0;0;0;5;580;4110;8795;6558;7600;6000;0;0;0;39;34;33643;7;13;5;2;3;1;0;0;0;28;1300;5792;4000;2700;6500;4000;0;0;0;59;31;24292;9;19;15;7;6;2;0;0;0;33;1680;8532;11895;9258;11900;6000;0;0;0;91;58;49265;2;6;10;5;3;2;0;0;0;5;380;2740;7895;6558;5400;6000;0;0;0;33;28;28973;7;13;5;2;3;0;0;0;0;28;1300;5792;4000;2700;6500;0;0;0;0;58;30;20292;
160060005000049;1;1;48;67;44;51;26;4;0;2;28;134;24350;54748;61779;110641;87168;24200;0;130000;271;243;493020;0;29;51;38;43;22;1;0;2;19;0;14780;41588;53589;93741;74968;6000;0;130000;205;186;414666;1;19;16;6;8;4;3;0;0;9;134;9570;13160;8190;16900;12200;18200;0;0;66;57;78354;1;48;67;44;51;26;4;0;2;28;134;24350;54748;61779;110641;87168;24200;0;130000;271;243;493020;0;29;51;38;43;22;1;0;2;19;0;14780;41588;53589;93741;74968;6000;0;130000;205;186;414666;1;19;16;6;8;4;3;0;0;9;134;9570;13160;8190;16900;12200;18200;0;0;66;57;78354;
160060005000050;1;3;33;31;20;18;11;1;0;1;17;655;16012;23566;26111;36532;38068;7000;0;12000;135;118;159944;1;10;20;11;10;8;1;0;0;6;200;5100;15996;14900;19632;26500;7000;0;0;67;61;89328;2;23;11;9;8;3;0;0;1;11;455;10912;7570;11211;16900;11568;0;0;12000;68;57;70616;3;33;30;20;18;11;1;0;1;17;655;16012;22766;26111;36532;38068;7000;0;12000;134;117;159144;1;10;20;11;10;8;1;0;0;6;200;5100;15996;14900;19632;26500;7000;0;0;67;61;89328;2;23;10;9;8;3;0;0;1;11;455;10912;6770;11211;16900;11568;0;0;12000;67;56;69816;
160060005000051;1;1;4;13;3;6;2;0;0;0;7;160;1830;10258;3930;12380;7280;0;0;0;36;29;35838;0;3;6;2;5;1;0;0;0;6;0;1530;5088;2400;10380;3980;0;0;0;23;17;23378;1;1;7;1;1;1;0;0;0;1;160;300;5170;1530;2000;3300;0;0;0;13;12;12460;1;4;13;3;6;2;0;0;0;7;160;1830;10258;3930;12380;7280;0;0;0;36;29;35838;0;3;6;2;5;1;0;0;0;6;0;1530;5088;2400;10380;3980;0;0;0;23;17;23378;1;1;7;1;1;1;0;0;0;1;160;300;5170;1530;2000;3300;0;0;0;13;12;12460;
160060005000052;1;12;55;42;9;9;8;0;0;0;28;2097;27368;33262;12334;18035;30944;0;0;0;163;135;124040;2;24;25;8;4;5;0;0;0;8;450;12180;20169;11129;8150;20244;0;0;0;76;68;72322;10;31;17;1;5;3;0;0;0;20;1647;15188;13093;1205;9885;10700;0;0;0;87;67;51718;12;55;42;9;9;8;0;0;0;28;2097;27368;33262;12334;18035;30944;0;0;0;163;135;124040;2;24;25;8;4;5;0;0;0;8;450;12180;20169;11129;8150;20244;0;0;0;76;68;72322;10;31;17;1;5;3;0;0;0;20;1647;15188;13093;1205;9885;10700;0;0;0;87;67;51718;
160060005000053;1;19;67;38;8;13;19;0;2;0;42;2629;31830;29676;10304;27671;65630;0;18265;0;208;166;186005;2;24;21;7;6;10;0;1;0;11;320;11320;16550;9240;12100;36050;0;8200;0;82;71;93780;17;43;17;1;7;9;0;1;0;31;2309;20510;13126;1064;15571;29580;0;10065;0;126;95;92225;19;67;38;8;13;19;0;2;0;42;2629;31830;29676;10304;27671;65630;0;18265;0;208;166;186005;2;24;21;7;6;10;0;1;0;11;320;11320;16550;9240;12100;36050;0;8200;0;82;71;93780;17;43;17;1;7;9;0;1;0;31;2309;20510;13126;1064;15571;29580;0;10065;0;126;95;92225;
160060005000054;1;70;106;66;18;22;15;1;0;0;121;10655;48681;51745;23730;44708;55820;6000;0;0;419;298;241339;5;40;35;14;12;9;0;0;0;30;605;18615;28286;18250;23808;33020;0;0;0;145;115;122584;65;66;31;4;10;6;1;0;0;91;10050;30066;23459;5480;20900;22800;6000;0;0;274;183;118755;70;106;66;18;22;15;1;0;0;121;10655;48681;51745;23730;44708;55820;6000;0;0;419;298;241339;5;40;35;14;12;9;0;0;0;30;605;18615;28286;18250;23808;33020;0;0;0;145;115;122584;65;66;31;4;10;6;1;0;0;91;10050;30066;23459;5480;20900;22800;6000;0;0;274;183;118755;
