Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
160010505000006;8;9;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
160010505000007;8;97;97;97;0;0;59;0;7;27;4;0;7;83;0;7;90;0;35;55;0;0;0;7;41;41;0;0;0;56;27;27;0;56;14;0;0;0;61;27;34;36;15;0;12;56;56;56;0;0;35;0;4;15;2;0;1;51;0;4;52;0;21;31;0;0;0;4;20;20;0;0;0;36;13;13;0;37;6;0;0;0;35;13;22;21;6;0;7;41;41;41;0;0;24;0;3;12;2;0;6;32;0;3;38;0;14;24;0;0;0;3;21;21;0;0;0;20;14;14;0;19;8;0;0;0;26;14;12;15;9;0;5
160010505000009;8;60;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;44;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;16;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
160010505000010;8;236;236;236;0;0;208;0;6;0;22;0;0;197;0;39;236;0;37;107;90;0;2;0;97;97;0;0;0;139;34;34;0;202;0;0;0;0;184;184;0;52;71;0;113;125;125;125;0;0;113;0;2;0;10;0;0;108;0;17;125;0;17;55;52;0;1;0;46;46;0;0;0;79;17;17;0;108;0;0;0;0;96;96;0;29;35;0;61;111;111;111;0;0;95;0;4;0;12;0;0;89;0;22;111;0;20;52;38;0;1;0;51;51;0;0;0;60;17;17;0;94;0;0;0;0;88;88;0;23;36;0;52
160010505000011;8;334;334;334;0;0;272;0;0;1;5;56;0;233;0;101;312;0;0;173;139;0;0;22;94;90;4;0;0;240;293;293;0;41;0;0;0;0;321;321;0;13;321;0;0;192;192;192;0;0;155;0;0;1;2;34;0;133;0;59;177;0;0;91;86;0;0;15;49;47;2;0;0;143;168;168;0;24;0;0;0;0;184;184;0;8;184;0;0;142;142;142;0;0;117;0;0;0;3;22;0;100;0;42;135;0;0;82;53;0;0;7;45;43;2;0;0;97;125;125;0;17;0;0;0;0;137;137;0;5;137;0;0
160010515000001;1;565;565;555;10;0;544;0;0;6;15;0;62;0;496;7;483;0;0;73;403;4;3;82;81;74;7;0;0;484;62;62;0;494;0;8;1;0;564;61;503;1;61;0;0;276;276;273;3;0;268;0;0;2;6;0;24;0;250;2;236;0;0;29;203;2;2;40;33;31;2;0;0;243;24;24;0;247;0;4;1;0;275;23;252;1;23;0;0;289;289;282;7;0;276;0;0;4;9;0;38;0;246;5;247;0;0;44;200;2;1;42;48;43;5;0;0;241;38;38;0;247;0;4;0;0;289;38;251;0;38;0;0
160010515000003;8;324;324;322;2;0;235;0;1;82;6;0;0;5;0;319;292;0;45;2;242;0;3;32;52;37;14;0;1;272;0;0;0;324;0;0;0;0;192;5;187;132;5;0;0;176;176;176;0;0;124;0;1;48;3;0;0;4;0;172;159;0;25;1;130;0;3;17;30;23;7;0;0;146;0;0;0;176;0;0;0;0;114;4;110;62;4;0;0;148;148;146;2;0;111;0;0;34;3;0;0;1;0;147;133;0;20;1;112;0;0;15;22;14;7;0;1;126;0;0;0;148;0;0;0;0;78;1;77;70;1;0;0
160010515000004;8;50;50;50;0;0;0;0;0;41;0;9;0;13;11;26;49;0;24;0;19;0;6;1;22;15;0;0;7;28;0;0;0;50;0;0;0;0;26;0;26;24;0;0;0;31;31;31;0;0;0;0;0;25;0;6;0;8;6;17;30;0;15;0;12;0;3;1;14;9;0;0;5;17;0;0;0;31;0;0;0;0;17;0;17;14;0;0;0;19;19;19;0;0;0;0;0;16;0;3;0;5;5;9;19;0;9;0;7;0;3;0;8;6;0;0;2;11;0;0;0;19;0;0;0;0;9;0;9;10;0;0;0
160015405000001;1;1417;1354;1242;96;13;975;12;204;18;145;0;293;808;0;253;1283;32;687;529;12;13;10;71;947;763;147;24;13;407;1322;1242;80;31;0;0;1;0;1354;1344;10;0;747;104;493;774;717;650;56;9;502;6;123;8;78;0;147;441;0;129;681;16;372;278;6;5;4;36;492;396;79;11;6;225;698;658;40;18;0;0;1;0;717;712;5;0;395;58;259;643;637;592;40;4;473;6;81;10;67;0;146;367;0;124;602;16;315;251;6;8;6;35;455;367;68;13;7;182;624;584;40;13;0;0;0;0;637;632;5;0;352;46;234
160015405000002;1;1263;1138;1129;0;0;940;0;146;1;48;3;867;225;0;46;1073;0;84;925;12;0;52;65;875;710;131;20;14;263;1060;1060;0;37;1;28;0;12;1117;1109;8;21;574;50;485;654;591;587;0;0;489;0;77;1;23;1;448;122;0;21;556;0;46;477;3;0;30;35;466;381;67;12;6;125;553;553;0;21;1;10;0;6;581;576;5;10;300;27;249;609;547;542;0;0;451;0;69;0;25;2;419;103;0;25;517;0;38;448;9;0;22;30;409;329;64;8;8;138;507;507;0;16;0;18;0;6;536;533;3;11;274;23;236
160015405000003;5;720;712;709;0;0;636;3;36;2;35;0;698;4;0;10;709;4;0;671;8;0;26;3;680;547;105;8;20;32;700;688;12;12;0;0;0;0;696;696;0;16;216;0;480;374;368;365;0;0;328;2;21;1;16;0;361;2;0;5;366;2;0;344;5;0;15;2;347;277;53;5;12;21;364;357;7;4;0;0;0;0;359;359;0;9;108;0;251;346;344;344;0;0;308;1;15;1;19;0;337;2;0;5;343;2;0;327;3;0;11;1;333;270;52;3;8;11;336;331;5;8;0;0;0;0;337;337;0;7;108;0;229
160015405000004;8;106;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;87;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;19;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
160015405000005;8;1794;1744;1721;0;23;1363;46;3;149;142;41;137;1248;0;359;1513;0;49;1443;10;0;11;231;509;496;8;0;5;1235;65;53;12;1540;21;38;0;80;1341;1291;50;403;204;36;1051;1114;1076;1054;0;22;810;29;2;120;85;30;83;761;0;232;930;0;36;878;9;0;7;146;326;319;5;0;2;750;45;37;8;934;14;21;0;62;829;799;30;247;131;31;637;680;668;667;0;1;553;17;1;29;57;11;54;487;0;127;583;0;13;565;1;0;4;85;183;177;3;0;3;485;20;16;4;606;7;17;0;18;512;492;20;156;73;5;414
160015405000006;8;261;261;261;0;0;202;0;8;1;44;6;36;167;0;58;235;0;0;206;1;0;28;26;46;40;6;0;0;215;0;0;0;229;26;1;0;5;259;252;7;2;56;4;192;146;146;146;0;0;114;0;4;1;24;3;21;94;0;31;131;0;0;114;1;0;16;15;22;17;5;0;0;124;0;0;0;128;15;1;0;2;144;142;2;2;29;1;112;115;115;115;0;0;88;0;4;0;20;3;15;73;0;27;104;0;0;92;0;0;12;11;24;23;1;0;0;91;0;0;0;101;11;0;0;3;115;110;5;0;27;3;80
160015405000008;5;33;33;0;0;0;33;0;0;0;0;0;0;33;0;0;33;0;0;0;0;0;33;0;0;0;0;0;0;33;0;0;0;0;0;0;0;33;7;0;7;26;0;0;0;20;20;0;0;0;20;0;0;0;0;0;0;20;0;0;20;0;0;0;0;0;20;0;0;0;0;0;0;20;0;0;0;0;0;0;0;20;5;0;5;15;0;0;0;13;13;0;0;0;13;0;0;0;0;0;0;13;0;0;13;0;0;0;0;0;13;0;0;0;0;0;0;13;0;0;0;0;0;0;0;13;2;0;2;11;0;0;0
160015405000009;5;18;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;10;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
160015405000010;5;228;228;0;0;0;228;0;0;0;0;0;0;228;0;0;228;0;0;0;0;0;228;0;14;14;0;0;0;214;0;0;0;0;0;0;0;228;25;0;25;203;0;0;0;116;116;0;0;0;116;0;0;0;0;0;0;116;0;0;116;0;0;0;0;0;116;0;5;5;0;0;0;111;0;0;0;0;0;0;0;116;14;0;14;102;0;0;0;112;112;0;0;0;112;0;0;0;0;0;0;112;0;0;112;0;0;0;0;0;112;0;9;9;0;0;0;103;0;0;0;0;0;0;0;112;11;0;11;101;0;0;0
160015405000011;5;52;52;2;0;0;52;0;0;0;0;0;5;47;0;0;52;0;0;0;0;0;52;0;0;0;0;0;0;52;52;52;0;0;0;0;0;0;2;0;2;50;0;0;0;22;22;1;0;0;22;0;0;0;0;0;1;21;0;0;22;0;0;0;0;0;22;0;0;0;0;0;0;22;22;22;0;0;0;0;0;0;1;0;1;21;0;0;0;30;30;1;0;0;30;0;0;0;0;0;4;26;0;0;30;0;0;0;0;0;30;0;0;0;0;0;0;30;30;30;0;0;0;0;0;0;1;0;1;29;0;0;0
160015405000012;5;70;70;0;0;0;70;0;0;0;0;0;0;70;0;0;70;0;0;0;0;0;70;0;0;0;0;0;0;70;70;70;0;0;0;0;0;0;0;0;0;70;0;0;0;33;33;0;0;0;33;0;0;0;0;0;0;33;0;0;33;0;0;0;0;0;33;0;0;0;0;0;0;33;33;33;0;0;0;0;0;0;0;0;0;33;0;0;0;37;37;0;0;0;37;0;0;0;0;0;0;37;0;0;37;0;0;0;0;0;37;0;0;0;0;0;0;37;37;37;0;0;0;0;0;0;0;0;0;37;0;0;0
160015405000013;8;473;452;0;0;0;447;0;0;0;0;5;0;452;0;0;452;0;0;4;0;0;448;0;0;0;0;0;0;452;142;142;0;0;0;0;0;310;17;0;17;435;0;0;0;227;219;0;0;0;216;0;0;0;0;3;0;219;0;0;219;0;0;3;0;0;216;0;0;0;0;0;0;219;76;76;0;0;0;0;0;143;9;0;9;210;0;0;0;246;233;0;0;0;231;0;0;0;0;2;0;233;0;0;233;0;0;1;0;0;232;0;0;0;0;0;0;233;66;66;0;0;0;0;0;167;8;0;8;225;0;0;0
160015405000014;8;1054;1054;1053;0;0;652;307;25;30;40;0;34;628;0;392;921;0;505;350;30;16;20;133;505;490;15;0;0;549;0;0;0;924;21;94;0;15;1008;998;10;46;340;18;640;582;582;581;0;0;356;173;13;18;22;0;23;342;0;217;513;0;271;203;15;8;16;69;283;275;8;0;0;299;0;0;0;509;9;56;0;8;556;549;7;26;187;11;351;472;472;472;0;0;296;134;12;12;18;0;11;286;0;175;408;0;234;147;15;8;4;64;222;215;7;0;0;250;0;0;0;415;12;38;0;7;452;449;3;20;153;7;289
160015405000015;1;1395;1277;1247;8;21;994;13;233;0;23;14;266;901;0;110;1257;16;932;77;21;34;177;20;1169;951;176;32;10;108;1261;1206;55;6;0;10;0;0;1275;1275;0;2;767;47;461;724;664;646;4;13;516;8;121;0;13;6;145;468;0;51;653;11;474;40;16;20;92;11;602;489;88;18;7;62;656;628;28;5;0;3;0;0;663;663;0;1;388;30;245;671;613;601;4;8;478;5;112;0;10;8;121;433;0;59;604;5;458;37;5;14;85;9;567;462;88;14;3;46;605;578;27;1;0;7;0;0;612;612;0;1;379;17;216
160015405000016;1;1888;1872;1832;27;1;1442;53;266;9;98;4;626;716;0;530;1731;0;10;1447;1;37;236;141;1466;1329;130;6;1;406;1831;1814;17;23;0;15;3;0;1850;1850;0;22;536;55;1259;985;971;948;15;0;740;24;146;5;53;3;325;373;0;273;891;0;5;737;1;21;127;80;748;679;64;4;1;223;948;939;9;15;0;7;1;0;962;962;0;9;263;33;666;903;901;884;12;1;702;29;120;4;45;1;301;343;0;257;840;0;5;710;0;16;109;61;718;650;66;2;0;183;883;875;8;8;0;8;2;0;888;888;0;13;273;22;593
160020405000001;1;974;965;959;0;0;851;16;53;22;23;0;429;515;0;21;876;22;1;824;10;2;17;89;704;585;107;12;0;261;875;53;822;88;0;0;2;0;965;902;63;0;823;69;10;487;481;479;0;0;425;6;25;12;13;0;205;265;0;11;437;14;1;404;6;1;11;44;343;283;53;7;0;138;434;25;409;46;0;0;1;0;481;449;32;0;404;39;6;487;484;480;0;0;426;10;28;10;10;0;224;250;0;10;439;8;0;420;4;1;6;45;361;302;54;5;0;123;441;28;413;42;0;0;1;0;484;453;31;0;419;30;4
160020405000002;1;1283;1266;1259;5;0;1152;0;70;4;31;9;390;786;0;90;1177;1;4;990;112;6;64;89;611;501;91;12;7;655;1153;1131;22;108;0;5;0;0;1251;1251;0;15;1225;26;0;664;656;652;3;0;596;0;35;2;21;2;205;397;0;54;613;0;2;517;61;3;30;43;322;269;45;6;2;334;597;585;12;56;0;3;0;0;650;650;0;6;634;16;0;619;610;607;2;0;556;0;35;2;10;7;185;389;0;36;564;1;2;473;51;3;34;46;289;232;46;6;5;321;556;546;10;52;0;2;0;0;601;601;0;9;591;10;0
160020405000003;1;861;857;845;0;12;661;14;71;33;74;4;527;322;0;8;818;7;38;758;6;0;9;39;790;650;112;24;4;67;817;805;12;36;0;0;0;4;851;851;0;6;777;74;0;435;433;427;0;6;335;5;30;15;47;1;260;168;0;5;414;5;16;382;3;0;8;19;397;328;55;13;1;36;406;400;6;24;0;0;0;3;429;429;0;4;390;39;0;426;424;418;0;6;326;9;41;18;27;3;267;154;0;3;404;2;22;376;3;0;1;20;393;322;57;11;3;31;411;405;6;12;0;0;0;1;422;422;0;2;387;35;0
160020405000004;1;1417;1402;1402;0;0;1298;17;15;21;17;34;106;1255;1;40;1348;0;21;1208;117;2;0;54;633;523;91;19;0;769;1137;0;1137;248;11;0;0;6;1382;1370;12;20;1225;138;7;773;763;763;0;0;705;10;9;11;9;19;62;679;1;21;729;0;11;654;63;1;0;34;333;271;51;11;0;430;618;0;618;138;3;0;0;4;751;744;7;12;666;74;4;644;639;639;0;0;593;7;6;10;8;15;44;576;0;19;619;0;10;554;54;1;0;20;300;252;40;8;0;339;519;0;519;110;8;0;0;2;631;626;5;8;559;64;3
160020405000005;8;165;165;165;0;0;120;0;0;30;15;0;11;100;0;54;144;0;11;41;48;0;44;21;35;25;9;0;1;130;0;0;0;148;0;2;8;7;83;65;18;82;50;0;15;106;106;106;0;0;78;0;0;20;8;0;6;66;0;34;95;0;9;24;31;0;31;11;24;16;8;0;0;82;0;0;0;94;0;2;6;4;54;41;13;52;33;0;8;59;59;59;0;0;42;0;0;10;7;0;5;34;0;20;49;0;2;17;17;0;13;10;11;9;1;0;1;48;0;0;0;54;0;0;2;3;29;24;5;30;17;0;7
160020405000006;8;392;392;392;0;0;264;19;0;69;40;0;0;291;0;101;318;0;3;276;0;0;39;74;92;83;5;0;4;300;0;0;0;381;6;5;0;0;283;129;154;109;14;0;115;231;231;231;0;0;146;13;0;47;25;0;0;170;0;61;191;0;3;164;0;0;24;40;59;53;4;0;2;172;0;0;0;224;4;3;0;0;166;73;93;65;7;0;66;161;161;161;0;0;118;6;0;22;15;0;0;121;0;40;127;0;0;112;0;0;15;34;33;30;1;0;2;128;0;0;0;157;2;2;0;0;117;56;61;44;7;0;49
