"Cod_bairro","Nome_do_bairro","ipc","compEntorno","compPessoas","compDomRenda","compDomiciliosMulher","comp5maisdomicilio","compbanheiro","compagua","compUBS"
3304557001,"Centro",0.762859530850361,0.905178762562039,0.541783766739509,0.259381443298969,0.259373768581483,0.189685234682483,0.196761025965157,0.195788359302925,0.3
3304557002,"Gamboa",0.599745256539393,0.630013508574802,0.466717253109422,0.146666666666667,0.255211715050551,0.164879895500339,0.196602250421976,0.194356195344975,0.1
3304557003,"Santo Cristo",0.672849194221609,0.813538936806305,0.47493083258033,0.164,0.25583289907361,0.169784059946156,0.198359714357093,0.197934038974943,0.1
3304557004,"Caju",0.488969868789992,0.262138619484893,0.511797301463095,0.127692307692308,0.283360955552495,0.169425698930095,0.197902625108824,0.19795305369076,0.1
3304557005,"Catumbi",0.505241784874713,0.368240724556705,0.426261770916181,0.158260869565217,0.229102410252893,0.167320903087843,0.198293836189398,0.197347250308795,0.1
3304557006,"Rio Comprido",0.626752103314414,0.584666008517228,0.529043169897175,0.2032,0.263104650391773,0.171830096458883,0.196796986584077,0.194720048485878,0.3
3304557007,"Cidade Nova",0.731743696632936,0.880444131567631,0.530296883635434,0.222222222222222,0.265123140465245,0.173045363991698,0.192126801980527,0.197095686501296,0.5
3304557008,"Estácio",0.583025445048755,0.532509108960321,0.469414073675545,0.182857142857143,0.232624703332289,0.171040786579637,0.196756106450794,0.196499116622824,0
3304557009,"Flamengo",0.87009989235515,0.972681427016882,0.650213382181559,0.394954954954955,0.242679422117574,0.193890749132715,0.199346873137761,0.199212290641579,0
3304557010,"Glória",0.847484343796438,0.98914071153677,0.606157375898164,0.356363636363636,0.251224596937488,0.192162660144174,0.199377837650435,0.199250809796134,0
3304557011,"Laranjeiras",0.869478338650988,0.958590837824666,0.670526588974777,0.387469879518072,0.25166585016586,0.192882031506684,0.199561855168002,0.199403822960763,0
3304557012,"Catete",0.807121540419734,0.893559825483845,0.597389366316692,0.342978723404255,0.246303775700884,0.188602693244875,0.199532775741962,0.199301237067573,0.1
3304557013,"Cosme Velho",0.688153110383733,0.591965428137638,0.588153459818244,0.313846153846154,0.257559876608295,0.172501999202764,0.199306618794432,0.198685671351967,0
3304557014,"Botafogo",0.84311037351761,0.912031795801975,0.658329197698461,0.370299401197605,0.262253075029517,0.191026936123426,0.199258094912684,0.198385694818679,0.3
3304557015,"Urca",0.805871326787597,0.769913621828163,0.695746364956472,0.373333333333333,0.289684946123572,0.189590890210974,0.194561877498128,0.194467892535722,0
3304557016,"Humaitá",0.876803831193688,0.958739330215664,0.686687720555344,0.393333333333333,0.255378806064554,0.192064323712155,0.199929385551612,0.199657400212955,0
3304557017,"Leme",0.836744729414082,0.887283708242588,0.658992701218444,0.371764705882353,0.255506788865339,0.192456414837497,0.199915008248874,0.19982164981249,0.1
3304557018,"Copacabana",0.865285738583055,0.963070136635505,0.659147817419273,0.381705426356589,0.248271151045354,0.192729408039563,0.19964326657417,0.199561160724066,0.3
3304557019,"Ipanema",0.884893376780403,0.964909242352542,0.707840789539046,0.390769230769231,0.273820269015647,0.193026593026093,0.199151358562209,0.198982916092088,0
3304557020,"Leblon",0.889640092529199,0.972939030161233,0.716337832296633,0.388,0.280422850646596,0.192199963024418,0.199732309320634,0.19971114278468,0
3304557021,"Lagoa",0.918229470258096,0.989192153575514,0.773381671499011,0.4,0.316473454233634,0.193811014689801,0.199142229337439,0.199161341672523,0
3304557022,"Jardim Botânico",0.858969331994492,0.945458673940937,0.677094313583879,0.374444444444444,0.26433200115156,0.184962659087358,0.199191943274585,0.195755961652271,0
3304557023,"Gávea",0.854027250337921,0.881250491863622,0.716820390964248,0.375172413793103,0.286129975155187,0.189688056428066,0.199635756090403,0.199514641874323,0.1
3304557024,"Vidigal",0.481806978531379,0.259466336573604,0.458076101079101,0.155789473684211,0.243327598994077,0.175659908100668,0.199466897077089,0.196962219079465,0.1
3304557025,"São Conrado",0.798994284224048,0.781210810019737,0.693544957150495,0.351111111111111,0.297440615655914,0.17590599841806,0.2,0.19520997597274,0.3
3304557026,"São Cristóvão",0.690155720899594,0.722654612059455,0.546649949233383,0.226666666666667,0.273691980902497,0.177485704887898,0.199293232666014,0.197716997185366,0.1
3304557027,"Mangueira",0.341188202076885,0.035172809785039,0.312919050433206,0.129230769230769,0.196636248301882,0.153881991317731,0.196376993856015,0.195982991607896,0
3304557028,"Benfica",0.561637836316891,0.486705692965991,0.469095326153132,0.167,0.248156561241617,0.170066974048215,0.196524103107413,0.195521412675922,0
3304557029,"Praça da Bandeira",0.83014232509261,0.986054483972795,0.612470691219196,0.309333333333333,0.258683691512183,0.188754134649063,0.196168498014833,0.19764583408861,0.1
3304557030,"Tijuca",0.791755360798887,0.821332779201492,0.6353876969568,0.340281690140845,0.263295786637577,0.186098296716448,0.198641927403866,0.193523691977209,0.7
3304557031,"Alto da Boa Vista",0.595572848275664,0.440070573830508,0.623635328634848,0.255555555555556,0.312243587896356,0.169011306986526,0.197299022042338,0.101146757777217,0.1
3304557032,"Maracanã",0.859376807454535,0.963016771848904,0.658108731829809,0.367826086956522,0.265870302903723,0.190101615451482,0.199558029025798,0.19951918725109,0
3304557033,"Vila Isabel",0.73613821071171,0.769872908998738,0.577502469335459,0.283235294117647,0.262204986832433,0.179630330138631,0.199304688628781,0.198868940915875,0.5
3304557034,"Andaraí",0.713475744231527,0.70363781776845,0.590674926842595,0.280555555555556,0.269208684656119,0.180911526520651,0.199775605627673,0.184871800379659,0
