Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
260810705000018;8;364;1;2;6;7;14;17;11;11;19;10;14;16;9;13;17;15;11;8;11;9;16;10;7;6;5;6;4;9;5;3;3;6;4;4;4;3;2;2;5;1;2;1;1;1;2;0;2;3;0;3;1;2;1;1;0;2;2;1;2;0;1;1;0;1;1;1;2;0;2;0;0;0;0;0;1;1;61;53;188;1;16;0;13;2;
260810705000019;8;353;0;2;7;7;8;4;12;14;18;10;17;16;11;17;8;12;7;14;11;13;9;6;5;10;7;5;2;4;5;3;7;0;4;7;2;3;4;1;2;4;6;4;3;3;4;6;2;1;2;0;2;0;4;1;0;3;1;1;2;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;5;70;78;161;1;9;1;4;3;
260810705000020;8;179;2;2;2;6;8;5;5;3;5;4;5;4;5;9;6;4;0;7;5;2;2;6;5;7;3;7;3;3;4;3;1;1;2;3;2;4;1;0;2;1;2;2;3;1;2;0;0;0;2;2;1;4;0;0;1;0;2;0;2;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;32;42;74;0;4;2;4;0;
260810705000021;7;5;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
260810705000022;8;382;3;5;8;9;11;16;12;19;9;14;15;18;14;13;10;17;12;13;11;10;8;10;9;2;3;7;5;6;6;1;9;1;3;7;6;6;1;6;2;5;1;1;1;6;0;1;3;2;2;1;1;1;0;0;0;1;0;2;4;0;1;0;0;1;1;0;0;1;2;0;0;0;1;1;0;5;76;60;172;0;20;5;11;2;
260810705000023;8;384;1;2;4;5;10;14;8;13;9;14;14;9;15;11;9;8;14;5;6;11;18;10;9;11;7;8;8;5;5;6;11;9;5;7;2;6;4;1;7;3;2;3;3;2;5;4;4;3;1;1;3;6;6;2;0;0;0;4;0;0;0;0;1;1;1;0;0;0;2;2;0;1;0;0;0;3;82;97;156;3;13;1;9;0;
260810705000024;8;361;3;5;7;12;18;21;16;14;16;14;18;13;15;15;15;11;16;8;6;5;11;5;2;7;1;2;3;3;5;2;4;4;1;8;1;1;5;3;1;2;5;2;0;4;2;3;2;0;2;1;1;2;1;0;0;1;2;1;1;3;1;0;1;0;1;0;3;0;2;0;1;0;0;0;0;0;67;53;161;1;22;1;11;0;
260810705000025;8;330;5;3;6;10;6;8;9;11;12;15;16;15;12;15;10;13;9;8;5;3;5;2;7;5;5;7;6;3;3;3;2;5;1;0;5;3;1;3;3;4;2;5;3;3;4;3;1;2;4;3;1;3;3;0;2;2;5;1;2;1;2;2;1;1;1;0;0;0;3;1;1;1;1;0;0;2;74;63;131;3;16;1;12;0;
260810705000026;5;78;1;2;1;0;1;4;5;7;4;2;5;1;2;4;4;2;7;2;0;0;4;2;2;2;0;0;1;0;0;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;15;10;36;0;10;1;1;0;
260810705000027;8;376;0;2;5;8;10;5;15;14;24;16;18;13;20;14;10;11;5;13;9;10;10;12;10;9;7;9;6;5;6;5;2;4;1;3;3;4;3;4;3;2;2;1;1;1;2;0;0;1;2;2;2;0;2;1;1;3;2;3;2;2;4;1;1;1;0;1;0;0;1;2;1;1;2;0;0;1;64;64;186;2;23;4;7;0;
260810705000028;8;248;2;1;3;8;8;7;6;10;2;8;8;4;5;7;10;7;10;7;2;5;4;6;5;6;7;3;5;6;7;2;2;8;3;5;3;1;3;1;3;1;1;1;1;3;2;2;2;3;1;2;1;3;3;0;1;2;3;3;1;1;3;0;2;0;1;1;2;1;0;0;1;0;0;0;0;0;63;52;99;0;7;2;3;0;
260810705000029;5;176;1;2;1;1;3;4;2;4;10;6;5;4;8;5;5;6;5;6;2;6;4;3;6;3;0;4;0;4;4;4;3;5;4;2;3;1;2;1;1;1;1;2;3;3;1;1;1;1;0;2;0;3;1;3;0;1;0;2;1;1;1;1;1;2;0;1;0;0;1;0;1;0;0;0;0;0;54;37;69;0;3;3;2;0;
260810705000030;8;244;0;0;2;2;3;9;8;7;6;9;11;8;5;8;6;6;6;5;7;4;5;3;9;1;3;4;2;4;6;2;4;5;1;4;1;6;1;4;5;1;0;5;1;2;1;3;0;0;5;2;1;3;2;3;1;2;2;1;2;1;3;2;2;3;0;0;1;1;4;0;2;0;0;0;1;5;59;48;108;1;14;2;3;2;
260810705000031;5;5;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
