Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
140002705000001;1;916;4;5;19;27;20;26;26;31;29;35;27;26;22;30;22;16;21;18;14;14;18;24;12;31;22;21;16;15;17;17;13;20;11;17;10;14;13;9;12;16;9;9;6;7;15;9;8;10;11;4;11;3;3;12;3;3;0;2;3;4;2;3;3;3;2;3;1;1;1;1;2;1;0;0;0;1;264;181;256;12;26;25;49;2;
140002705000002;8;192;3;2;4;2;0;6;5;5;2;7;1;2;1;4;3;5;7;8;4;3;6;4;5;2;9;1;2;6;3;4;1;1;4;4;2;4;4;2;2;2;1;5;2;1;3;1;0;2;5;4;2;5;1;0;1;0;1;2;1;1;0;1;0;2;0;2;0;0;1;2;2;0;0;0;1;1;61;41;31;0;3;2;10;9;
140002705000003;8;9;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;0;0;0;0;0;
140002705000004;8;124;1;2;3;2;3;3;5;1;3;2;1;0;2;5;3;2;1;3;6;5;7;2;4;3;2;3;1;1;3;2;1;3;2;3;1;0;1;1;1;0;1;3;3;1;2;1;1;1;1;3;3;1;1;2;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;39;29;16;1;0;0;5;0;
140002705000005;5;138;2;4;8;5;5;7;4;11;9;1;7;5;1;7;3;2;4;2;3;3;4;2;3;2;4;1;2;1;1;1;2;3;2;2;2;1;0;0;2;1;1;1;1;1;0;1;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;22;51;0;6;4;4;0;
140002705000006;8;5;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
140002705000007;8;190;1;3;2;2;2;4;6;7;7;7;5;7;3;4;4;5;3;3;3;1;4;1;1;3;2;5;6;1;7;4;5;4;3;4;2;3;0;5;0;3;0;2;3;1;4;9;1;3;2;4;3;1;1;0;2;3;1;1;1;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;1;50;32;62;0;7;3;9;2;
140002705000008;5;94;2;1;3;1;1;2;4;3;2;2;3;2;2;2;3;0;4;1;2;2;3;1;1;1;1;3;0;1;1;0;3;2;2;0;1;4;1;4;1;3;1;1;1;3;5;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;21;26;1;1;0;1;3;
140002705000009;8;30;0;0;0;1;0;2;1;2;1;1;0;0;0;0;0;0;2;1;1;0;1;0;0;0;1;0;0;0;1;3;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;6;11;0;0;1;0;0;
140002705000010;8;22;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
140002705000011;8;102;3;3;2;6;2;4;4;7;4;4;1;6;0;3;1;3;4;2;2;2;2;0;0;1;2;0;1;2;0;2;1;0;2;1;4;1;2;1;1;2;2;1;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25;17;39;1;0;1;3;0;
140002705000012;8;12;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
140002705000013;8;83;1;0;0;0;0;1;1;1;1;3;3;1;3;2;2;5;4;2;2;2;1;3;2;2;0;1;5;1;0;0;1;2;0;1;1;3;1;1;3;1;2;0;3;2;2;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0;28;18;12;0;0;0;8;0;
140002705000014;8;74;0;0;1;1;0;2;0;1;3;3;4;0;1;1;0;2;0;3;3;1;2;1;1;0;2;3;0;0;0;1;2;1;1;1;1;1;0;2;1;2;4;1;0;2;1;1;0;0;0;3;2;1;0;0;0;2;1;1;1;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;24;19;12;0;2;1;1;8;
140002705000015;8;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;1;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;5;0;0;0;0;0;
140002705000016;8;38;0;1;1;1;0;2;2;0;2;1;1;1;0;2;2;0;1;2;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;2;0;5;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;15;0;1;0;2;0;
140002705000017;8;26;1;1;1;2;2;1;3;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;8;0;0;0;0;0;
140002705000018;8;215;10;3;6;9;5;4;8;8;7;4;12;9;6;6;2;6;7;7;4;2;6;6;5;4;2;3;3;3;0;5;3;4;1;2;3;1;1;1;1;5;3;3;0;1;0;4;0;2;0;1;1;1;2;2;0;1;3;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;53;44;69;0;10;1;5;0;
140002705000019;5;398;2;5;11;12;11;18;8;18;21;15;15;17;18;11;8;7;3;7;7;9;9;7;11;6;6;6;5;7;8;8;5;8;5;5;7;5;6;4;2;2;9;4;2;2;2;2;1;2;2;2;4;2;1;3;3;3;1;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;0;3;99;74;158;1;9;5;9;2;
140002705000020;8;63;1;1;1;1;0;2;2;4;0;0;1;1;0;0;0;0;1;0;0;0;1;3;0;1;0;2;0;1;0;0;1;1;0;0;0;2;0;0;0;0;1;1;1;1;1;0;3;2;4;2;2;2;2;1;1;1;0;1;2;2;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;33;11;11;0;3;0;0;1;
140002705000021;8;277;6;5;9;8;4;11;8;12;4;10;10;7;4;7;5;4;6;4;6;5;2;4;1;4;6;8;6;1;6;3;2;8;6;2;2;2;5;2;3;2;2;9;6;3;2;1;5;1;4;3;1;5;4;1;1;5;1;2;1;0;0;0;2;0;2;1;1;1;1;0;1;0;0;0;0;1;76;65;77;0;9;3;6;0;
140002705000022;5;529;6;5;16;17;17;23;25;18;20;18;16;17;17;10;7;7;5;14;6;16;9;8;11;11;11;11;4;14;3;10;7;9;7;5;3;7;6;5;6;6;8;6;12;9;4;4;2;6;6;6;2;1;3;0;3;4;2;2;1;1;2;1;1;2;0;2;1;2;0;0;1;0;0;0;0;2;141;107;165;2;13;17;22;0;
140002705000024;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;
140002705000025;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
