Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
140040705000024;7;0;14;12;0;0;0;0;0;0;4;0;6910;9820;0;0;0;0;0;0;30;26;16730;0;13;12;0;0;0;0;0;0;4;0;6400;9820;0;0;0;0;0;0;29;25;16220;0;1;0;0;0;0;0;0;0;0;0;510;0;0;0;0;0;0;0;1;1;510;0;14;12;0;0;0;0;0;0;4;0;6910;9820;0;0;0;0;0;0;30;26;16730;0;13;12;0;0;0;0;0;0;4;0;6400;9820;0;0;0;0;0;0;29;25;16220;0;1;0;0;0;0;0;0;0;0;0;510;0;0;0;0;0;0;0;1;1;510;
140040705000025;7;0;1;0;0;1;0;0;0;0;8;0;380;0;0;2200;0;0;0;0;10;2;2580;0;1;0;0;1;0;0;0;0;8;0;380;0;0;2200;0;0;0;0;10;2;2580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;8;0;380;0;0;2200;0;0;0;0;10;2;2580;0;1;0;0;1;0;0;0;0;8;0;380;0;0;2200;0;0;0;0;10;2;2580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
140040705000026;7;0;8;5;0;0;0;0;0;0;1;0;4010;4471;0;0;0;0;0;0;14;13;8481;0;7;3;0;0;0;0;0;0;1;0;3500;2600;0;0;0;0;0;0;11;10;6100;0;1;2;0;0;0;0;0;0;0;0;510;1871;0;0;0;0;0;0;3;3;2381;0;8;5;0;0;0;0;0;0;1;0;4010;4471;0;0;0;0;0;0;14;13;8481;0;7;3;0;0;0;0;0;0;1;0;3500;2600;0;0;0;0;0;0;11;10;6100;0;1;2;0;0;0;0;0;0;0;0;510;1871;0;0;0;0;0;0;3;3;2381;
140040705000027;7;1;1;1;0;0;0;0;0;0;2;250;510;1020;0;0;0;0;0;0;5;3;1780;1;1;1;0;0;0;0;0;0;2;250;510;1020;0;0;0;0;0;0;5;3;1780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;250;510;1020;0;0;0;0;0;0;5;3;1780;1;1;1;0;0;0;0;0;0;2;250;510;1020;0;0;0;0;0;0;5;3;1780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
140040705000028;7;0;6;3;0;0;0;0;0;0;1;0;2685;2520;0;0;0;0;0;0;10;9;5205;0;5;2;0;0;0;0;0;0;1;0;2175;1520;0;0;0;0;0;0;8;7;3695;0;1;1;0;0;0;0;0;0;0;0;510;1000;0;0;0;0;0;0;2;2;1510;0;6;3;0;0;0;0;0;0;1;0;2685;2520;0;0;0;0;0;0;10;9;5205;0;5;2;0;0;0;0;0;0;1;0;2175;1520;0;0;0;0;0;0;8;7;3695;0;1;1;0;0;0;0;0;0;0;0;510;1000;0;0;0;0;0;0;2;2;1510;
140040705000029;7;1;0;6;0;0;0;0;0;0;13;130;0;3420;0;0;0;0;0;0;20;7;3550;1;0;6;0;0;0;0;0;0;11;130;0;3420;0;0;0;0;0;0;18;7;3550;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;6;0;0;0;0;0;0;13;130;0;3420;0;0;0;0;0;0;20;7;3550;1;0;6;0;0;0;0;0;0;11;130;0;3420;0;0;0;0;0;0;18;7;3550;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;
140040705000030;7;0;0;3;0;1;1;0;0;0;11;0;0;1940;0;2400;3000;0;0;0;16;5;7340;0;0;2;0;0;1;0;0;0;8;0;0;1370;0;0;3000;0;0;0;11;3;4370;0;0;1;0;1;0;0;0;0;3;0;0;570;0;2400;0;0;0;0;5;2;2970;0;0;3;0;1;1;0;0;0;10;0;0;1940;0;2400;3000;0;0;0;15;5;7340;0;0;2;0;0;1;0;0;0;7;0;0;1370;0;0;3000;0;0;0;10;3;4370;0;0;1;0;1;0;0;0;0;3;0;0;570;0;2400;0;0;0;0;5;2;2970;
140045605000001;1;5;56;28;13;9;2;0;1;0;44;574;27340;22531;17700;19800;8300;0;10000;0;158;114;106245;1;26;17;9;7;2;0;1;0;16;150;12710;13770;12300;15250;8300;0;10000;0;79;63;72480;4;30;11;4;2;0;0;0;0;28;424;14630;8761;5400;4550;0;0;0;0;79;51;33765;5;53;28;12;9;2;0;1;0;42;574;26240;22531;16200;19800;8300;0;10000;0;152;110;103645;1;24;17;9;7;2;0;1;0;16;150;11910;13770;12300;15250;8300;0;10000;0;77;61;71680;4;29;11;3;2;0;0;0;0;26;424;14330;8761;3900;4550;0;0;0;0;75;49;31965;
140045605000002;1;0;24;23;11;14;7;0;1;1;12;0;11850;17690;14325;28050;24466;0;9000;20000;93;81;125381;0;12;18;7;12;6;0;1;1;7;0;5730;13730;8995;24700;19466;0;9000;20000;64;57;101621;0;12;5;4;2;1;0;0;0;5;0;6120;3960;5330;3350;5000;0;0;0;29;24;23760;0;21;22;11;14;7;0;1;1;12;0;10330;16670;14325;28050;24466;0;9000;20000;89;77;122841;0;11;17;7;12;6;0;1;1;7;0;5230;12710;8995;24700;19466;0;9000;20000;62;55;100101;0;10;5;4;2;1;0;0;0;5;0;5100;3960;5330;3350;5000;0;0;0;27;22;22740;
140045605000003;1;13;69;37;10;16;9;2;0;2;86;2420;32712;29839;13600;32600;32110;14350;0;29000;244;158;186631;5;26;18;4;10;3;2;0;1;27;1000;12130;14774;5200;20500;11200;14350;0;11000;96;69;90154;8;43;19;6;6;6;0;0;1;59;1420;20582;15065;8400;12100;20910;0;0;18000;148;89;96477;13;69;37;10;16;9;2;0;2;86;2420;32712;29839;13600;32600;32110;14350;0;29000;244;158;186631;5;26;18;4;10;3;2;0;1;27;1000;12130;14774;5200;20500;11200;14350;0;11000;96;69;90154;8;43;19;6;6;6;0;0;1;59;1420;20582;15065;8400;12100;20910;0;0;18000;148;89;96477;
