Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
140002705000001;1;1219;1218;1214;0;0;869;5;159;45;140;0;1218;0;0;0;1193;0;0;1193;0;0;0;25;1147;872;242;26;7;71;1218;1218;0;0;0;0;0;0;1215;1215;0;3;668;134;413;631;630;629;0;0;443;3;85;26;73;0;630;0;0;0;618;0;0;618;0;0;0;12;596;453;128;13;2;34;630;630;0;0;0;0;0;0;628;628;0;2;342;79;207;588;588;585;0;0;426;2;74;19;67;0;588;0;0;0;575;0;0;575;0;0;0;13;551;419;114;13;5;37;588;588;0;0;0;0;0;0;587;587;0;1;326;55;206
140002705000002;8;254;247;247;0;0;96;0;0;146;5;0;0;175;0;72;217;0;152;57;2;1;5;30;211;99;58;36;18;36;0;0;0;247;0;0;0;0;226;177;49;21;0;18;159;162;155;155;0;0;55;0;0;97;3;0;0;108;0;47;134;0;91;37;2;1;3;21;129;61;34;24;10;26;0;0;0;155;0;0;0;0;139;107;32;16;0;11;96;92;92;92;0;0;41;0;0;49;2;0;0;67;0;25;83;0;61;20;0;0;2;9;82;38;24;12;8;10;0;0;0;92;0;0;0;0;87;70;17;5;0;7;63
140002705000003;8;16;16;16;0;0;14;0;0;0;2;0;0;11;0;5;16;0;1;15;0;0;0;0;11;6;5;0;0;5;0;0;0;12;4;0;0;0;1;1;0;15;0;0;1;7;7;7;0;0;6;0;0;0;1;0;0;6;0;1;7;0;1;6;0;0;0;0;6;3;3;0;0;1;0;0;0;5;2;0;0;0;1;1;0;6;0;0;1;9;9;9;0;0;8;0;0;0;1;0;0;5;0;4;9;0;0;9;0;0;0;0;5;3;2;0;0;4;0;0;0;7;2;0;0;0;0;0;0;9;0;0;0
140002705000004;8;169;169;169;0;0;166;0;3;0;0;0;0;140;0;29;169;0;0;157;0;0;12;0;169;56;45;24;44;0;0;0;0;154;15;0;0;0;139;104;35;30;3;23;78;106;106;106;0;0;104;0;2;0;0;0;0;92;0;14;106;0;0;98;0;0;8;0;106;36;27;11;32;0;0;0;0;96;10;0;0;0;87;66;21;19;2;17;47;63;63;63;0;0;62;0;1;0;0;0;0;48;0;15;63;0;0;59;0;0;4;0;63;20;18;13;12;0;0;0;0;58;5;0;0;0;52;38;14;11;1;6;31
140002705000005;5;208;208;208;0;0;208;0;0;0;0;0;63;16;0;129;12;0;0;0;0;0;12;196;12;12;0;0;0;196;0;0;0;81;0;0;0;127;8;5;3;200;0;0;5;110;110;110;0;0;110;0;0;0;0;0;31;9;0;70;5;0;0;0;0;0;5;105;5;5;0;0;0;105;0;0;0;41;0;0;0;69;3;2;1;107;0;0;2;98;98;98;0;0;98;0;0;0;0;0;32;7;0;59;7;0;0;0;0;0;7;91;7;7;0;0;0;91;0;0;0;40;0;0;0;58;5;3;2;93;0;0;3
140002705000006;8;7;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
140002705000007;8;238;224;224;0;0;176;0;2;18;27;1;4;130;0;90;132;0;9;98;0;0;25;92;108;96;12;0;0;116;0;0;0;52;172;0;0;0;134;90;44;90;0;0;90;137;123;123;0;0;94;0;0;11;17;1;1;69;0;53;71;0;5;56;0;0;10;52;62;57;5;0;0;61;0;0;0;28;95;0;0;0;78;55;23;45;0;0;55;101;101;101;0;0;82;0;2;7;10;0;3;61;0;37;61;0;4;42;0;0;15;40;46;39;7;0;0;55;0;0;0;24;77;0;0;0;56;35;21;45;0;0;35
140002705000008;5;116;116;114;0;2;102;0;1;0;13;0;116;0;0;0;108;9;54;45;0;0;0;8;108;71;35;2;0;8;97;29;68;8;11;0;0;0;116;116;0;0;93;12;11;65;65;64;0;1;61;0;1;0;3;0;65;0;0;0;59;4;28;27;0;0;0;6;59;39;19;1;0;6;53;17;36;5;7;0;0;0;65;65;0;0;53;6;6;51;51;50;0;1;41;0;0;0;10;0;51;0;0;0;49;5;26;18;0;0;0;2;49;32;16;1;0;2;44;12;32;3;4;0;0;0;51;51;0;0;40;6;5
140002705000009;8;40;40;40;0;0;40;0;0;0;0;0;0;6;0;34;35;0;0;35;0;0;0;5;19;19;0;0;0;21;0;0;0;0;40;0;0;0;17;0;17;23;0;0;0;24;24;24;0;0;24;0;0;0;0;0;0;4;0;20;19;0;0;19;0;0;0;5;12;12;0;0;0;12;0;0;0;0;24;0;0;0;10;0;10;14;0;0;0;16;16;16;0;0;16;0;0;0;0;0;0;2;0;14;16;0;0;16;0;0;0;0;7;7;0;0;0;9;0;0;0;0;16;0;0;0;7;0;7;9;0;0;0
140002705000010;8;35;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;19;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;16;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
