"Cod_bairro","Nome_do_bairro","ipc","compEntorno","compPessoas","compDomRenda","compDomiciliosMulher","compDomicilios","compNegras","complixo","compLogradouro","compIluminacao","comppavimentacao","compmeiofio","compbueiro","compesgoto","comp5maisdomicilio","compbanheiro","compagua"
4106902001,"Centro",0.866232968025447,0.990532685532508,0.669615746568322,0.851315789473684,0.250075532845145,0.968384829079037,0.419540213723177,0.142373200645905,0.142373200645905,0.142271778024603,0.142373200645905,0.141967325785924,0.136800779138362,0.142373200645905,0.322276802452614,0.32376052110502,0.322347505521403
4106902002,"São Francisco",0.850517496566711,0.990355370518143,0.722929522041604,0.79,0.27990835052331,0.959302590273806,0.443021171518295,0.142731198656054,0.140590353031652,0.142731198656054,0.142731198656054,0.142049302986092,0.136790919876183,0.142731198656054,0.313689602633101,0.32274840530005,0.322864582340656
4106902003,"Centro Cívico",0.914915758048328,0.988036007560453,0.707597423079058,0.9625,0.258389893785577,0.953945359602129,0.449207529293481,0.141791656540399,0.140815856384271,0.141791656540399,0.140084006267175,0.140021732615414,0.141739442672396,0.141791656540399,0.326044077575437,0.331132606604632,0.29676867542206
4106902004,"Alto da Glória",0.945506808951422,0.985445610676084,0.764379934201113,1,0.299513419041672,0.977708499879912,0.464866515159441,0.139427337478924,0.142631937660691,0.142631937660691,0.142631937660691,0.14260471121837,0.132885811336025,0.142631937660691,0.315084563884396,0.331939967205982,0.330683968789534
4106902005,"Alto da Rua XV",0.93441713249361,0.978618999049452,0.763233290430581,0.972727272727273,0.303174805459829,0.984778827533473,0.460058484970752,0.142292660595108,0.142559708525057,0.142594294445129,0.142292660595108,0.142215814364416,0.124069566079506,0.142594294445129,0.323504780833241,0.330931799909484,0.330342246790748
4106902006,"Cristo Rei",0.887403253945933,0.838811630449997,0.729937184715693,0.947826086956522,0.283752540576122,0.972615280650932,0.446184644139571,0.126336316695232,0.097902529598196,0.0819687085188925,0.142118777287301,0.140913518097696,0.106895102026836,0.142676678225843,0.325648342726604,0.332101155899783,0.314865782024545
4106902007,"Jardim Botânico",0.751740548678146,0.747370624091778,0.680296161117148,0.6875,0.275016124416246,0.956035958181804,0.405280036700902,0.11967650111452,0.087754295646885,0.0704906436976447,0.123847668724718,0.121445597161989,0.0999670189235809,0.124188898822441,0.302798675942363,0.327095588626096,0.326141693613345
4106902008,"Rebouças",0.830939881494433,0.870809708662984,0.692180264281335,0.810714285714286,0.264851969005147,0.970280863099274,0.427328295276188,0.141354853260149,0.121877025359905,0.0587269091845417,0.14139628537106,0.142101848257033,0.12289108627239,0.142461700957906,0.314880786245173,0.329316039869831,0.326084036984271
4106902009,"Água Verde",0.91197735224195,0.972411900907674,0.753291215186207,0.925,0.299341905225938,0.984183645115866,0.453949309960269,0.138342852484593,0.139232211746157,0.141174622372617,0.140159077290011,0.140633486064425,0.132749701926086,0.140119949023785,0.321139240706209,0.3322571171654,0.330787287244257
4106902010,"Batel",0.94082665097517,0.981736689184533,0.775853634121403,0.984210526315789,0.308381011177271,0.978121878938335,0.467472622944132,0.142734964705172,0.142734964705172,0.142734964705172,0.142734964705172,0.142656968885748,0.125404896772925,0.142734964705172,0.319088007979562,0.330609589831579,0.328424281127194
4106902011,"Bigorrilho",0.944214569966777,0.961770446048495,0.775450635425414,1,0.312042970632716,0.983851768359974,0.463407664792698,0.139728609037179,0.142120233120561,0.142569705795471,0.142392086075315,0.139257732032917,0.11635369037771,0.139348389609341,0.322804298863846,0.332730239833946,0.328317229662182
4106902012,"Mercês",0.865398876865222,0.973678979473968,0.735916454370178,0.826315789473684,0.280793810077134,0.964767371534597,0.455122644293043,0.141901344622855,0.141879317918965,0.141962990330792,0.142094284806795,0.134320521569427,0.129865616048576,0.141654904176558,0.308581879468574,0.328377837630715,0.327807654435308
4106902013,"Bom Retiro",0.832084295896457,0.958848685610364,0.76530361184508,0.742857142857143,0.313696693885746,0.950554896312556,0.451606917959334,0.136826202912176,0.131510564600263,0.142695765921031,0.142695765921031,0.137866286224468,0.131822524985176,0.135431575046219,0.298679620995263,0.326836302663582,0.325038972653711
4106902014,"Ahu",0.930704209777645,0.97906197571559,0.772094113391159,0.9625,0.312040451436604,0.977364959781478,0.460053661954554,0.142239976495693,0.140369875742027,0.142466209649925,0.142479656293643,0.138879317852832,0.130385378625923,0.142241561055548,0.318959174270435,0.332497523526498,0.325908261984545
4106902015,"Juveve",0.93277892729864,0.986272541588495,0.754510988361752,0.982352941176471,0.290520452692684,0.95840522419001,0.463990535669068,0.141030311179236,0.142663640567329,0.142663640567329,0.142012675956132,0.141146524831633,0.135836482522719,0.140919265964118,0.321453154031581,0.328378957799514,0.308573112358915
4106902016,"Cabral",0.945247399882099,0.988026942425098,0.786733370555039,0.982352941176471,0.327565847691023,0.986770804077417,0.459167522864015,0.141819254367723,0.141114540846116,0.141701322575363,0.141724240833575,0.140374795154413,0.138903239059893,0.142389549588015,0.32362672276467,0.331933009150822,0.331211072161926
4106902017,"Hugo Lange",0.94867660805441,0.977440961433575,0.797571545094701,1,0.332285705544054,0.968370533743775,0.465285839550647,0.14252773059238,0.130435072962648,0.14252773059238,0.14252773059238,0.140173850899366,0.13714544334914,0.14210340244528,0.305204705127771,0.331582914308002,0.331582914308002
4106902018,"Jardim Social",0.953559172596666,0.994128814283632,0.80797014678891,1,0.340905776487252,0.965696901910789,0.467064370301657,0.142582047261423,0.140268390250081,0.142582047261423,0.142582047261423,0.142247064783584,0.141285170204275,0.142582047261423,0.300554445018421,0.33288195720475,0.332260499687618
