Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
411010205000004;1;0;517174;517174;0;1;12;56;91;102;18;4;6;0;8;
411010205000005;1;0;508061;508061;0;0;13;47;91;94;23;15;2;0;2;
411010205000006;1;0;208147;208147;0;2;22;63;82;30;5;1;0;0;3;
411010205000007;1;0;209763;209763;0;1;20;33;78;24;6;1;1;0;2;
411010205000008;1;0;385007;385007;0;0;11;65;68;57;20;7;5;0;5;
411010205000009;1;0;786574;786574;0;1;19;62;174;88;19;19;2;4;3;
411010205000010;1;0;449417;449417;0;1;3;19;74;52;17;15;4;1;25;
411010205000011;1;0;891005;891005;0;0;7;25;103;93;37;35;16;4;2;
411010205000012;2;0;271297;271297;0;1;12;47;84;44;6;6;1;0;1;
411010205000013;1;0;62201;62201;0;2;8;31;24;7;1;0;0;0;8;
411010205000014;1;0;121855;121855;0;1;11;26;50;16;3;0;0;0;7;
411010205000015;2;0;121296;121296;0;3;34;65;46;5;0;0;0;0;14;
411010205000016;2;0;204898;204898;0;9;43;99;71;9;1;0;0;0;6;
411010205000017;1;0;142483;142483;0;6;34;62;47;13;0;0;0;0;3;
411010205000018;1;0;140304;140304;0;0;4;27;41;30;1;3;0;0;0;
411010205000019;1;0;134669;134669;0;0;3;9;35;22;3;2;0;0;1;
411010205000020;1;0;88602;88602;0;2;3;30;40;10;0;0;0;0;0;
411010205000021;1;0;120941;120941;0;3;15;31;39;15;0;0;1;0;7;
411010205000022;1;0;102201;102201;0;1;26;48;33;8;0;0;0;0;3;
411010205000023;1;0;58964;58964;0;2;17;27;17;5;0;0;0;0;11;
411010205000024;1;0;544252;544252;0;0;0;12;46;60;25;19;6;5;3;
411010205000025;2;0;136581;136581;0;0;9;38;44;17;0;2;1;0;4;
411010205000026;1;0;129235;129235;0;0;7;34;31;9;4;1;0;1;1;
411010205000027;2;0;105688;105688;0;1;6;24;37;20;1;0;0;0;2;
411010205000028;8;0;297083;297083;0;3;13;54;95;46;6;3;0;0;6;
411010205000029;8;0;120138;120138;0;0;8;31;40;15;1;1;0;1;3;
411010205000030;8;0;255544;255544;0;2;23;56;72;39;6;3;2;0;4;
411010205000031;8;1;198216;197196;1020;5;18;43;62;26;3;4;0;0;2;
411010205000032;8;1;348387;347377;1010;3;18;96;117;45;5;4;2;0;15;
411010205000033;8;0;129306;129306;0;4;29;41;41;22;1;0;0;0;1;
411010205000034;8;0;88567;88567;0;9;16;25;32;8;0;1;0;0;0;
411010205000035;8;0;162496;162496;0;5;16;39;47;21;5;3;0;0;4;
411010205000036;8;3;119197;117157;2040;1;32;47;54;4;0;0;0;0;0;
411010205000037;8;0;48654;48654;0;2;5;14;22;3;1;0;0;0;0;
411010205000038;8;0;75416;75416;0;3;9;30;27;10;0;0;0;0;0;
411010205000039;8;0;297992;297992;0;6;19;59;91;39;6;5;1;0;0;
