Cod_setor;Situacao_setor;V001;V002;V003
290070205000066;1;159;1;0
290070205000067;1;91;1;0
290070205000068;1;231;1;1
290070205000069;1;163;0;1
290070205000070;1;99;0;0
290070205000071;1;67;0;0
290070205000072;1;188;0;0
290070205000073;1;153;0;0
290070205000074;1;172;1;0
290070205000075;1;247;1;0
290070205000076;1;224;0;0
290070205000077;1;146;0;1
290070205000078;1;119;2;0
290070205000079;1;196;0;0
290070205000080;1;196;0;0
290070205000081;1;152;0;0
290070205000082;1;93;0;0
290070205000083;1;113;0;0
290070205000084;1;175;0;0
290070205000085;1;176;0;0
290070205000086;1;94;1;0
290070205000087;1;261;0;0
290070205000088;1;264;0;0
290070205000089;1;156;0;0
290070205000090;1;144;0;0
290070205000091;1;245;2;0
290070205000092;1;250;1;0
290070205000093;1;117;0;0
290070205000094;1;733;0;1
290070205000095;1;145;1;0
290070205000096;1;152;0;0
290070205000097;1;186;1;0
290070205000098;1;82;2;0
290070205000099;1;50;0;0
290070205000100;1;11;0;0
290070205000101;1;178;0;0
290070205000102;1;108;0;0
290070205000103;1;164;0;0
290070205000104;1;92;0;0
290070205000105;1;202;0;0
290070205000106;1;135;1;0
290070205000107;1;118;1;1
290070205000108;1;139;0;0
290070205000109;1;19;0;0
290070205000110;1;51;0;0
290070205000111;1;33;0;0
290070205000112;1;20;0;0
290070205000113;1;162;0;0
290070205000114;8;79;0;0
290070205000115;8;4;0;0
290070205000116;8;377;1;0
290070205000117;8;184;0;0
290070205000118;8;224;2;0
290070205000119;8;110;0;0
290070205000120;8;72;0;0
290070205000121;1;87;0;0
290070205000122;1;64;0;0
290070205000123;1;93;0;0
290070205000124;1;58;0;0
290070205000125;1;63;0;0
290070205000126;1;231;1;0
290070205000127;1;112;1;0
290070205000128;1;128;0;0
290070205000129;1;91;0;0
290070205000130;1;61;0;0
290070205000131;1;124;0;1
290070205000132;1;115;0;0
290070205000133;1;82;0;2
290070205000134;1;242;1;0
290070205000135;1;186;0;0
290070205000136;1;72;0;0
290070205000137;1;52;0;0
290070205000138;1;85;0;0
290070205000139;1;103;0;0
290070205000140;1;137;0;1
290070205000141;1;122;0;0
290070205000142;1;105;0;0
290070205000143;1;82;0;0
290070205000144;1;145;0;0
290070205000145;1;158;2;5
290070205000146;1;49;0;0
290070205000147;1;161;0;0
290070205000148;1;310;0;0
290070205000149;1;66;0;0
290070205000150;1;46;0;0
290070205000151;1;25;0;0
290070205000152;1;144;0;0
290070205000153;1;98;0;0
290070205000154;1;101;0;0
290070205000155;1;211;0;0
290070205000156;1;22;0;0
290070215000001;1;106;0;0
290070215000002;8;87;0;0
290070215000003;8;92;1;0
290070215000004;8;141;0;0
290070215000005;8;107;0;0
290070215000006;8;454;5;6
290070215000007;8;217;1;0
290070215000008;8;198;0;0
290070215000009;8;49;"X";"X"
290070215000010;8;0;"X";"X"
290070220000001;1;177;0;0
290070220000002;8;68;0;0
290070220000003;5;53;1;0
290070220000004;8;300;0;0
290070220000005;5;37;0;0
290070220000006;5;46;0;0
290070220000007;8;30;0;0
290070220000008;8;107;0;0
290070220000009;8;138;2;0
290070220000010;8;24;1;0
290070220000011;8;165;2;0
290070220000012;8;70;0;0
290070220000013;5;25;0;0
290080105000001;1;47;0;0
290080105000002;1;34;0;0
290080105000003;1;45;1;0
290080105000004;1;27;0;0
290080105000005;1;145;0;0
290080105000006;1;142;0;0
290080105000007;1;92;0;0
290080105000008;1;161;0;0
290080105000009;1;282;2;0
290080105000010;1;40;0;0
290080105000011;1;103;2;0
290080105000012;5;73;0;0
290080105000013;5;4;0;0
290080105000014;4;209;2;0
290080105000015;8;74;1;0
290080105000016;8;117;0;0
290080105000017;8;129;1;0
290080105000018;8;156;0;0
290080105000019;8;153;2;0
290080105000020;8;92;1;0
290080105000021;8;28;1;0
290080105000022;8;6;0;0
290080105000023;8;119;0;0
290080105000024;1;141;0;0
290080105000025;1;38;0;0
290080105000026;1;83;0;0
290080105000027;1;97;0;0
290080105000028;1;112;0;0
290080105000029;1;41;0;0
290080125000001;1;229;1;0
290080125000002;1;196;1;0
290080125000003;1;164;3;0
290080125000004;8;93;2;0
290080125000005;8;198;2;0
290080125000006;8;216;2;0
290080125000007;8;165;0;0
290080125000008;5;70;1;0
290080125000009;5;60;1;0
290080125000010;8;125;0;0
290080125000011;8;164;3;0
290090005000001;1;94;0;0
290090005000002;1;99;1;0
290090005000003;1;157;1;0
290090005000004;1;76;0;0
290090005000005;1;48;1;0
290090005000006;8;29;1;0
290090005000007;8;70;0;1
290090005000008;8;17;0;0
290090005000009;8;61;0;0
290090005000010;8;10;1;0
290090005000011;8;9;0;0
290090005000012;8;34;0;0
290090005000013;1;122;2;0
290090005000014;1;57;0;0
290090005000015;1;189;0;0
290100705000001;1;58;0;0
290100705000002;1;43;1;0
290100705000003;1;79;0;0
290100705000004;1;61;0;0
290100705000005;1;42;0;0
290100705000006;1;99;0;0
290100705000007;1;23;0;0
290100705000008;1;147;0;0
290100705000009;1;115;1;0
290100705000010;1;48;0;0
290100705000011;1;113;1;0
290100705000012;1;84;0;0
290100705000013;1;28;0;0
290100705000014;1;128;0;0
290100705000015;1;114;0;0
290100705000016;1;95;0;0
290100705000017;1;70;0;0
290100705000018;1;161;1;0
290100705000019;1;77;0;0
290100705000020;1;58;0;1
290100705000021;1;107;0;0
290100705000022;1;125;1;0
290100705000023;1;104;0;0
290100705000024;1;154;0;0
290100705000025;1;108;0;0
290100705000026;1;59;0;0
290100705000027;1;118;0;0
290100705000028;8;75;0;0
290100705000029;8;59;0;0
290100705000030;8;35;1;0
290100705000031;8;28;0;0
290100705000032;8;36;0;0
290100705000033;8;71;0;0
290100705000034;8;148;1;0
290100705000035;8;49;2;0
290100705000036;8;26;0;0
290100705000037;1;45;0;0
290100705000038;1;60;0;0
290100705000039;1;71;0;0
290100705000040;1;99;0;1
290100705000041;1;82;0;0
290100705000042;1;92;0;0
290100705000043;1;129;2;0
290100705000044;1;137;0;0
290100705000045;1;118;0;1
290100705000046;1;100;0;0
290100705000047;1;111;0;0
290100705000048;1;69;0;0
290100705000049;1;91;0;0
290100705000050;1;119;1;1
290100705000051;1;137;0;0
290100705000052;1;162;1;0
290100705000053;1;32;0;0
290100705000054;8;29;0;0
290100705000055;8;89;1;0
290100710000001;1;93;0;0
290100710000002;8;76;1;0
290100710000003;8;106;0;0
290100710000004;8;96;0;0
290100710000005;8;71;1;0
290100710000006;8;110;0;0
290100710000007;8;116;0;0
290100710000008;8;57;0;0
290100710000009;8;87;2;0
290100710000010;8;67;0;0
290100715000001;1;14;0;0
290100715000002;8;26;0;0
290100715000003;8;140;1;0
290100715000004;8;67;0;0
290100715000005;1;25;0;0
290100720000001;1;37;0;0
290100720000002;8;16;0;0
290100720000003;8;39;0;0
290100720000004;8;46;0;0
290100720000005;8;52;0;0
290110605000001;1;151;0;0
290110605000002;1;31;0;0
290110605000003;1;116;0;0
290110605000004;1;103;0;0
290110605000005;1;190;5;0
290110605000006;1;129;0;0
290110605000007;1;110;0;0
290110605000008;1;96;0;0
290110605000009;1;191;1;0
290110605000010;1;148;0;0
290110605000011;1;189;0;0
290110605000012;1;134;1;0
290110605000013;1;154;1;0
290110605000014;1;128;1;0
290110605000015;1;184;0;0
290110605000016;1;256;4;0
290110605000017;1;62;0;1
290110605000018;1;135;0;0
290110605000019;8;124;0;0
290110605000020;8;2;"X";"X"
290110605000021;8;207;0;0
290110605000022;8;0;"X";"X"
290110605000023;5;0;0;0
290110605000024;1;115;0;0
290110605000025;1;42;1;0
290110605000026;1;93;1;0
290110605000027;1;64;0;0
290110605000028;8;67;2;0
290110605000029;8;4;0;0
290110605000030;8;109;0;0
290110605000031;8;99;0;0
290110605000032;8;94;0;0
290110605000033;8;106;0;0
290110610000001;1;106;0;0
290110610000002;1;61;0;0
290110610000003;8;84;0;0
290110610000004;8;32;0;0
290110610000005;1;51;0;0
290110610000006;1;118;0;0
290110610000007;1;120;0;0
290110610000008;1;60;0;0
290110615000001;1;43;1;0
290110615000002;1;101;0;0
290110615000003;8;137;3;0
290110615000004;8;22;0;0
290115505000001;1;297;3;1
290115505000002;1;334;0;1
290115505000003;1;146;5;0
290115505000004;8;31;0;0
290115505000005;5;139;0;0
290115505000006;5;115;0;0
290115505000007;8;14;0;0
290115505000008;5;9;0;0
290115505000009;1;85;0;0
290115505000010;5;107;1;0
290115505000011;8;169;0;4
290115510000001;1;126;4;1
290115510000002;8;42;0;0
290115510000003;8;123;1;0
290115515000001;1;147;0;0
290115515000002;1;139;0;0
290115515000003;8;23;0;1
290115515000004;5;68;1;0
290115515000005;1;85;1;0
290115515000006;1;110;0;0
290115520000001;1;210;0;0
290115520000002;1;231;1;0
290115520000003;1;115;0;0
290115520000004;1;120;0;0
290115520000005;8;130;0;0
290115520000006;1;131;0;0
290115520000007;1;90;1;0
290115520000008;8;149;0;0
290120505000001;1;102;0;0
290120505000002;1;130;1;0
290120505000003;1;88;0;0
290120505000004;1;171;1;0
290120505000005;1;84;0;0
290120505000006;8;144;0;0
290120505000007;8;7;0;0
290120505000008;8;115;0;0
290120505000009;8;119;1;0
290120505000010;8;51;0;0
290120505000011;8;59;1;0
290120505000012;8;130;1;0
290120505000013;8;62;0;0
290120505000014;8;100;0;0
290120505000015;8;63;1;0
290120505000016;8;131;0;0
290120505000017;8;69;1;0
290120505000018;8;70;0;1
290120505000019;8;114;1;0
290120505000020;8;122;0;0
290120505000021;8;72;0;0
290120505000022;8;78;3;0
290120505000023;8;87;1;0
290120505000024;8;15;0;0
290120505000025;8;61;0;0
290120505000026;8;86;1;0
290120505000027;5;53;0;0
290120505000028;8;1;0;0
290120505000029;8;82;1;0
290120505000030;8;66;0;0
290120505000031;8;96;0;0
290120505000032;8;104;1;0
290120505000033;5;1;0;0
290120505000034;5;6;0;0
290120505000035;5;2;"X";"X"
290120505000036;5;26;0;0
290120505000037;5;54;0;0
290120505000041;8;7;0;1
290120505000043;8;0;"X";"X"
290120505000045;8;6;0;0
290120505000046;1;48;1;0
290120505000047;1;91;0;3
290120505000048;1;143;2;1
290120510000001;1;1;0;0
290120510000002;8;4;0;0
290120510000003;8;15;0;0
290120510000004;8;109;0;1
290120510000005;8;26;0;0
290120510000006;8;63;0;0
290120510000007;8;91;0;0
290120510000008;5;75;0;0
290120510000009;8;57;0;0
290120510000010;8;84;0;0
290120510000011;8;43;0;0
290120510000012;8;177;0;2
290120510000013;8;88;0;0
290120510000014;8;58;0;0
290120510000015;8;50;1;0
290120510000016;8;28;0;0
290120510000017;5;33;0;0
290120510000018;8;27;0;0
290120510000019;8;10;0;0
290120510000020;8;15;0;0
290120510000021;8;53;0;0
290120510000022;8;49;2;0
290120510000023;5;116;1;0
290120510000024;8;0;0;0
290120510000025;8;0;"X";"X"
290120510000026;8;3;"X";"X"
290130405000001;1;225;1;0
290130405000002;1;112;0;0
290130405000003;1;152;1;0
290130405000004;1;150;0;0
290130405000005;1;247;0;0
290130405000006;8;3;0;0
290130405000007;8;15;0;0
290130405000008;1;98;0;0
290130405000009;1;319;1;0
290130410000001;1;68;0;0
290130410000003;8;31;1;0
290130410000004;8;126;1;0
290130420000001;1;168;0;0
290130420000002;8;81;2;0
290130420000003;8;48;0;0
290130420000004;8;113;0;0
290130420000005;8;61;0;0
290130420000006;8;23;0;0
290130420000007;8;10;0;0
290130420000008;8;42;1;0
290130420000009;8;156;0;0
290130420000010;8;45;0;0
290130420000011;5;184;1;0
290130420000012;8;16;0;0
290130420000013;8;143;0;0
290130420000014;8;114;0;0
290130420000015;8;128;0;0
290130420000016;1;117;1;0
290130420000017;5;45;0;0
290135305000001;1;70;0;0
290135305000002;1;71;1;0
290135305000003;1;129;0;0
290135305000004;1;181;0;0
290135305000005;1;170;0;0
290135305000006;1;120;0;0
290135305000007;8;54;0;0
290135305000008;8;30;0;0
290135305000009;8;115;0;0
290135305000010;8;30;0;0
290135305000011;8;88;0;0
290135305000012;8;93;0;0
290135305000013;8;64;1;0
290135305000014;8;19;0;0
290135305000015;8;127;1;0
290135305000016;8;47;0;0
290135305000017;8;50;0;0
290135305000018;8;95;0;0
290135305000019;5;189;0;0
290135305000020;8;19;0;0
290135305000021;5;39;0;0
290135305000022;1;159;2;0
290135305000023;1;122;0;0
290135305000024;5;25;0;0
290135310000001;1;41;0;0
290135310000002;8;78;0;0
290135310000003;8;27;0;0
290135310000004;8;11;0;0
290135310000005;8;32;1;0
290135315000001;1;18;0;0
290135315000002;8;41;0;0
290135315000003;8;57;0;0
290135315000004;8;19;0;0
290135315000005;8;97;0;0
290140305000001;1;80;0;0
290140305000002;1;51;0;0
290140305000003;1;130;0;0
290140305000004;1;225;0;0
290140305000005;1;98;2;0
290140305000006;1;260;1;0
290140305000007;8;87;0;0
290140305000008;8;84;0;0
290140305000009;8;125;4;0
290140305000010;8;131;0;0
290140305000011;8;86;0;0
290140305000012;8;30;2;0
290140305000013;8;89;3;0
290140305000014;5;82;0;0
290140305000015;8;82;0;1
290140305000016;8;23;"X";"X"
290140305000017;8;63;0;0
290140305000019;8;0;"X";"X"
290140315000001;1;77;0;0
290140315000002;1;98;1;0
290140315000003;8;63;0;1
290140315000004;8;36;0;0
290140315000005;8;25;0;0
290140315000006;8;190;2;0
290140315000007;8;60;0;0
290140315000008;5;38;0;0
290140315000009;5;31;1;0
290140315000010;8;17;1;0
290140315000011;1;86;0;0
290140315000012;1;84;0;0
290150205000001;1;100;0;0
290150205000002;1;143;0;0
290150205000003;1;116;0;0
290150205000004;1;81;1;0
290150205000005;8;132;0;0
290150205000006;8;128;1;0
290150205000007;8;80;0;0
290150205000008;8;89;2;0
290150205000009;8;62;0;0
290150205000010;8;164;0;0
290150205000011;8;136;0;0
290150205000012;5;62;1;0
290150205000013;1;105;0;0
290150205000014;1;86;1;0
290150205000015;1;93;1;0
290150205000016;8;44;0;0
290150205000017;8;3;"X";"X"
290150205000018;8;31;"X";"X"
290160105000001;1;83;0;0
290160105000002;1;82;0;3
290160105000003;1;107;0;0
290160105000004;1;78;0;0
290160105000005;8;56;0;0
290160105000006;5;195;0;0
290160105000007;5;69;0;0
290160105000008;8;51;1;0
290160105000009;5;21;0;0
290160105000010;8;226;0;0
290160105000011;5;149;0;0
290160105000012;8;29;0;0
290160105000013;1;81;0;0
290160105000014;8;81;0;0
290160105000015;5;45;0;0
290160105000016;8;121;0;0
290160105000017;5;80;0;0
290160105000018;8;124;0;0
290160105000019;8;139;0;0
290160105000020;1;162;1;0
290160105000021;1;100;0;0
290160105000022;1;103;0;0
290160105000023;1;165;0;0
290160105000024;5;64;1;0
290160105000025;5;92;0;0
290160105000026;5;59;0;0
290160105000027;8;4;0;0
290170005000001;1;170;0;0
290170005000002;8;49;0;0
290170005000003;8;45;0;0
290170005000004;8;62;0;0
290170005000005;8;110;0;0
290170005000006;1;63;0;0
290170012000001;1;38;3;0
290170012000002;8;235;3;0
290170012000003;8;243;0;0
290170015000001;1;52;2;0
290170015000002;8;145;1;0
290170015000003;8;69;0;0
290170015000004;8;72;1;1
290170015000005;8;146;3;0
290170015000006;8;127;1;0
290170015000007;8;65;2;0
290170015000008;8;34;0;0
290170020000001;1;256;2;0
290170020000002;8;145;4;0
290180905000001;1;115;0;0
290180905000002;1;116;0;0
290180905000003;1;124;1;0
290180905000004;1;189;2;0
290180905000005;1;112;0;0
290180905000006;1;175;0;0
290180905000007;1;95;0;0
290180905000008;8;51;0;0
290180905000009;8;82;0;0
290180905000010;8;168;1;0
290180905000011;5;123;0;0
290180905000012;5;55;0;0
290180905000013;8;30;0;0
290180905000014;8;90;0;2
290180905000015;8;46;0;0
290180905000016;5;64;0;0
290180905000017;8;93;1;0
290180905000018;8;164;0;0
290180905000019;5;64;0;0
290180905000020;1;175;0;3
290190805000001;1;164;0;0
290190805000002;1;219;0;0
290190805000003;1;165;1;0
290190805000004;1;47;0;0
290190805000005;8;77;0;0
290190805000006;8;61;0;0
290190805000007;8;142;0;0
290190805000008;8;27;0;0
290190805000009;8;12;0;0
290190805000010;8;95;0;0
290190805000011;5;25;0;0
290190805000012;5;17;0;0
290190805000013;5;36;0;0
290190805000014;1;220;0;0
290190805000015;1;87;1;0
290190805000016;8;206;0;0
290190805000017;5;24;0;0
290190810000001;1;100;0;0
290190810000002;1;177;0;0
290190810000003;1;223;2;0
290190810000004;8;32;0;0
290190810000005;8;39;0;0
290190810000006;8;28;1;0
