Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;
420005105000001;1;18;2;0;1;0;19;1;0;3;0
420005105000002;8;9;4;0;0;0;12;0;0;0;0
420005105000003;8;7;0;0;4;0;8;1;0;1;0
420005105000004;8;17;0;0;1;0;16;0;0;3;0
420005105000005;8;17;1;0;0;0;19;3;0;0;0
420010105000001;1;38;1;0;27;0;33;1;0;20;0
420010105000002;1;20;0;0;12;0;28;0;0;13;0
420010105000003;1;33;0;0;12;0;36;1;0;7;0
420010105000004;1;18;2;0;1;0;18;2;0;4;0
420010105000005;1;22;0;0;6;0;31;0;0;5;2
420010105000006;1;10;1;0;5;0;6;2;0;6;0
420010105000007;1;26;0;0;4;0;22;0;0;2;0
420010105000008;1;11;0;0;1;0;11;0;0;2;0
420010105000009;1;30;0;0;5;0;31;0;0;14;0
420010105000010;1;19;0;0;4;0;14;1;0;2;0
420010105000011;3;4;0;0;0;0;3;0;0;0;0
420010105000012;3;1;0;0;2;0;1;0;0;0;0
420010105000013;3;1;0;0;0;0;1;0;0;0;0
420010105000014;3;3;3;0;3;0;3;1;0;5;0
420010105000015;3;0;0;0;0;0;2;0;0;1;0
420010105000016;8;13;0;0;2;0;5;0;0;2;0
420010105000017;8;2;0;0;2;0;4;0;0;1;0
420010105000018;8;14;0;0;8;0;13;0;0;8;0
420010105000019;8;3;0;0;6;0;1;0;0;6;0
420010105000020;8;3;0;0;1;0;9;1;0;0;0
420010105000021;8;14;2;1;5;0;12;0;0;4;0
420010105000022;7;3;0;0;8;0;3;0;0;10;0
420010105000023;7;7;0;0;3;0;5;0;0;4;0
420010105000024;7;3;0;0;3;0;2;0;0;4;0
420010105000025;8;12;0;1;12;0;9;0;0;14;0
420010105000026;7;3;0;0;2;0;4;3;0;0;0
420010105000027;8;0;0;0;0;0;0;0;0;0;0
420010105000028;7;12;4;0;2;0;10;2;1;1;0
420010105000029;7;6;1;0;0;0;8;1;0;1;0
420010105000030;7;1;0;0;0;0;3;1;0;0;0
420010105000031;7;5;0;0;1;0;6;0;0;1;0
420010105000032;7;7;0;0;2;0;6;0;0;0;0
