Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;
210005505000001;1;14;0;0;20;0;16;6;0;33;0;7;6;1;30;0;4;4;1;17;0;3;2;0;13;0;20;5;1;24;0;16;5;2;33;0;12;5;0;21;0;11;3;1;18;0;10;4;1;19;2;10;2;1;12;0;8;3;0;7;0;3;1;0;4;0;3;4;0;5;0;2;1;0;3;0;1;0;0;6;0;5;0;1;16;0;13;3;1;30;0;19;4;5;33;0;13;1;3;18;0;6;3;2;15;0;13;6;2;27;0;25;6;1;38;0;17;1;2;20;0;9;6;1;25;0;10;3;0;18;1;7;3;0;12;0;6;0;2;12;0;8;1;0;5;0;3;1;1;7;0;9;0;2;2;0
210005505000002;1;12;4;0;24;0;31;15;3;49;1;24;10;2;44;0;15;9;0;27;0;9;1;2;17;0;20;14;0;46;0;20;9;1;50;1;22;6;0;47;0;17;6;1;26;0;16;1;0;21;0;13;1;1;16;0;11;2;0;11;0;7;1;0;8;0;11;5;0;9;0;3;0;0;7;1;3;0;0;4;0;10;5;1;27;0;24;7;2;50;0;30;9;1;56;0;21;7;0;37;0;9;2;1;19;0;31;8;0;51;0;29;17;2;70;0;30;11;3;47;1;14;2;1;29;1;19;7;1;23;0;13;3;0;21;0;6;4;1;8;0;8;3;0;9;1;7;3;0;6;0;0;0;1;3;0
210005505000003;1;5;1;1;11;0;17;2;3;31;0;21;6;1;26;0;15;1;1;19;0;6;5;0;7;0;16;14;3;25;0;18;14;0;26;1;10;4;0;20;0;9;5;0;10;0;7;3;0;9;0;7;3;0;4;0;2;3;0;7;0;5;1;0;0;0;9;4;1;3;0;6;0;0;1;1;2;0;0;11;0;10;2;1;12;0;15;4;0;23;1;16;9;1;27;0;6;6;1;15;0;10;3;0;12;0;20;7;1;41;1;14;11;2;38;1;14;2;1;19;0;10;3;0;12;0;12;4;1;13;0;7;1;1;9;2;7;0;0;7;0;4;3;1;4;1;5;2;0;4;0;1;0;0;3;0
210005505000004;1;3;2;0;20;0;15;2;2;39;0;17;4;2;40;0;13;2;1;26;0;4;2;1;14;0;30;4;1;40;0;13;6;0;38;0;16;6;0;31;0;6;3;0;21;0;8;4;1;15;0;13;2;0;16;0;2;2;1;10;0;2;0;0;4;0;1;3;0;8;0;0;1;0;4;1;1;1;0;7;0;8;4;0;19;0;19;6;0;40;0;24;5;1;40;0;16;4;1;23;0;8;1;0;17;0;21;12;0;45;1;17;6;0;38;1;11;7;0;40;0;11;2;2;31;0;10;5;0;16;0;5;1;1;20;0;5;0;0;11;0;6;1;1;7;0;2;2;0;9;0;3;3;0;3;0
210005505000005;1;14;0;0;32;0;16;4;0;55;0;13;5;0;65;0;7;3;0;45;0;6;2;0;20;0;16;6;0;47;0;13;8;0;46;0;16;1;0;43;0;10;3;0;35;0;9;4;0;24;0;7;4;0;16;0;0;0;0;26;0;5;0;0;2;0;7;1;1;8;0;2;0;0;4;0;3;0;0;8;0;7;0;0;21;0;17;2;1;52;0;23;2;1;66;0;16;0;1;42;0;7;2;0;24;0;19;5;0;60;0;11;2;0;39;0;13;3;1;50;0;15;2;1;36;0;10;3;0;30;0;7;1;0;10;0;8;3;0;12;0;3;4;0;12;0;2;2;0;8;0;2;0;0;4;0
210005505000006;1;2;1;0;15;1;10;5;5;39;1;11;3;2;46;0;6;0;0;32;0;5;3;2;14;0;19;0;0;34;2;13;6;0;29;0;10;7;0;20;0;5;4;2;12;1;3;3;0;15;0;3;4;0;8;0;1;1;0;8;0;2;2;0;4;0;3;3;0;0;0;1;1;0;2;0;1;0;0;4;0;7;2;0;10;0;16;3;1;43;2;15;5;2;48;1;6;2;1;33;1;9;3;1;15;0;12;4;0;47;0;10;6;0;20;1;4;1;0;23;3;4;6;0;20;0;8;4;0;14;0;4;1;0;8;1;5;1;1;6;0;3;0;0;6;0;2;0;0;4;0;1;0;0;2;0
210005505000007;1;2;1;0;25;0;8;1;2;56;0;13;1;0;55;0;10;1;0;28;0;3;0;0;27;0;17;1;1;59;0;7;1;1;34;0;6;1;0;42;0;5;1;0;24;0;6;1;0;30;0;5;0;0;26;0;1;1;0;13;0;3;0;1;11;0;5;0;0;11;0;6;0;0;11;0;1;0;0;12;0;4;1;0;22;0;7;0;0;52;0;12;0;1;58;0;8;0;0;35;0;4;0;1;23;0;8;0;0;50;0;16;0;1;52;0;5;0;1;35;0;9;1;1;26;0;13;1;0;34;0;4;0;0;24;0;5;0;0;22;0;6;0;0;9;0;11;0;0;13;0;3;0;0;4;0
210005505000008;1;7;1;0;17;0;13;3;2;30;0;15;3;0;38;0;10;2;0;20;0;5;1;0;18;0;10;11;1;48;0;9;6;0;38;0;8;4;2;34;0;4;4;0;22;0;5;3;0;17;0;3;4;0;14;0;3;1;0;8;0;0;1;0;6;0;1;0;0;9;0;2;0;0;7;0;2;0;0;2;0;6;0;1;18;0;17;3;3;39;0;18;10;1;41;0;13;7;0;25;0;5;3;1;16;0;16;5;0;40;0;11;8;2;35;0;15;2;1;31;0;15;1;0;15;0;3;4;0;19;0;5;5;1;9;0;4;3;1;7;0;2;0;0;6;0;6;0;0;8;0;0;1;1;3;0
210005505000009;1;8;1;0;23;0;16;5;0;46;0;15;5;0;52;0;9;2;0;33;0;6;3;0;19;0;10;3;0;63;0;16;3;0;52;0;8;1;0;48;0;17;1;0;23;0;6;2;0;11;0;7;0;0;7;0;5;3;0;9;0;2;2;0;6;0;1;3;0;9;0;0;0;0;4;0;4;0;0;7;0;10;0;0;25;0;21;1;0;60;0;19;5;0;42;0;12;4;0;25;0;7;1;0;17;0;26;5;0;68;0;21;1;0;55;0;18;1;0;26;0;15;2;0;22;0;7;0;1;25;0;6;2;0;18;0;8;0;0;11;0;2;0;0;7;0;6;1;0;8;0;0;1;0;2;0
210005505000010;1;6;0;0;16;0;19;1;0;37;0;11;0;0;31;0;9;0;0;22;0;2;0;0;9;0;18;1;0;34;0;13;3;0;32;0;13;1;0;28;0;16;2;0;19;0;10;4;0;23;0;7;0;0;6;0;1;1;0;6;0;2;0;0;6;0;6;0;0;14;0;7;0;0;5;0;2;0;0;7;0;7;0;0;23;0;24;0;0;33;0;28;3;0;36;0;14;1;0;23;0;14;2;0;13;0;16;4;0;39;0;16;1;1;28;0;19;0;0;24;0;19;1;0;24;0;12;3;0;19;0;9;0;0;19;0;6;2;0;14;0;4;0;0;12;0;12;0;0;13;0;4;0;0;10;0
