Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
172100005000020;1;1090;3;9;20;21;20;26;21;19;25;21;21;22;23;32;29;37;35;35;36;40;44;28;31;42;29;27;19;23;24;18;31;24;17;29;12;20;11;13;13;12;13;7;8;8;8;7;6;8;4;10;6;5;2;1;4;5;2;4;2;4;4;0;1;1;0;1;2;1;1;0;0;0;0;1;1;1;373;236;287;4;27;28;44;11;
172100005000021;1;1239;5;14;21;27;35;37;19;21;32;34;35;29;28;42;41;38;27;35;47;45;39;42;19;25;27;22;23;22;28;25;33;33;16;23;20;20;22;13;13;17;8;16;9;12;12;10;6;8;3;6;4;4;4;5;9;2;4;2;2;1;0;0;2;0;2;3;0;2;1;1;0;1;1;1;0;4;423;270;326;10;17;29;39;22;
172100005000022;1;1092;1;5;17;21;29;31;24;31;43;23;33;31;29;15;35;26;29;25;33;31;28;22;27;29;30;26;29;24;27;31;22;23;18;16;15;23;19;14;13;17;8;18;7;11;5;4;4;4;2;6;4;4;3;6;6;3;0;7;3;1;3;2;0;1;3;3;4;1;1;1;2;0;0;0;0;0;343;248;306;9;11;23;66;10;
172100005000023;1;1275;10;16;17;20;24;35;24;18;19;27;33;21;29;32;29;32;42;34;38;32;35;28;40;43;38;34;33;36;30;24;25;33;25;31;19;20;16;17;25;19;15;13;11;10;19;11;6;13;7;7;7;11;4;5;2;3;2;3;5;2;0;0;4;1;1;1;1;2;2;0;0;2;1;0;0;1;439;277;305;23;13;34;56;1;
172100005000024;1;80;0;2;0;0;1;1;1;0;4;1;0;0;2;0;2;3;2;3;2;1;2;3;1;6;3;2;3;4;1;2;3;0;1;2;1;1;0;1;0;1;1;3;4;1;1;0;0;0;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;30;25;14;4;0;0;2;1;
172100005000025;1;1311;10;11;19;22;21;17;23;20;25;24;26;35;26;31;23;41;38;44;41;30;38;42;31;39;33;52;26;33;23;24;39;11;22;21;24;26;21;20;22;14;17;16;20;18;19;11;15;7;7;6;13;8;3;5;3;6;5;5;2;5;3;5;3;3;2;2;2;1;0;2;0;1;3;0;0;5;444;270;308;14;20;55;59;15;
172100005000026;1;1210;2;12;17;14;17;15;13;20;23;23;11;30;18;24;19;33;26;27;29;24;42;29;55;35;40;43;34;34;33;26;38;21;27;27;27;30;25;23;31;10;17;17;11;12;12;13;6;7;9;11;6;8;8;6;4;9;2;6;2;0;4;2;0;2;0;1;1;1;1;1;0;1;0;1;0;2;476;290;240;21;9;25;58;21;
172100005000027;1;1023;9;12;14;18;19;18;12;13;19;20;22;16;19;25;23;23;30;25;26;29;22;23;18;24;25;27;21;25;19;17;19;22;23;24;19;17;21;20;17;14;16;12;14;16;10;12;9;11;13;9;7;4;4;11;7;6;3;4;6;3;3;6;4;1;2;2;5;1;0;3;1;0;4;1;0;4;380;203;242;12;6;31;30;36;
172100005000028;1;937;6;14;14;9;13;17;12;17;21;15;20;24;20;26;20;18;21;18;21;17;21;26;13;27;23;27;20;26;18;27;19;19;18;12;18;11;17;25;14;12;17;14;9;8;16;6;10;7;4;5;8;8;11;10;8;8;7;3;3;6;2;5;3;2;1;1;3;1;2;1;0;1;0;1;3;7;335;208;217;12;11;29;22;20;
172100005000029;1;451;3;2;4;9;10;6;8;8;4;11;7;5;10;9;11;14;11;9;20;15;10;13;16;16;8;14;11;9;9;13;7;3;5;7;9;9;12;6;6;7;7;6;7;6;5;5;6;6;5;4;2;0;1;0;4;4;1;1;4;3;1;0;1;0;1;2;0;0;0;1;0;0;0;0;0;2;164;105;89;7;5;11;27;7;
172100005000030;1;1319;6;22;21;15;17;22;23;23;23;32;33;25;32;38;24;30;25;40;27;21;33;31;40;28;25;21;29;23;23;21;19;26;28;31;20;25;18;28;19;13;25;29;24;15;19;24;16;16;12;13;7;14;10;6;9;4;4;7;9;5;6;5;3;6;0;3;3;2;1;4;0;3;2;1;2;10;448;272;333;10;23;24;44;31;
