Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
172120805000008;1;10;122;75;32;39;30;4;5;3;26;1742;60300;60575;42975;81420;109596;26980;44200;49000;346;320;476788;1;68;57;16;26;22;3;5;3;11;250;33170;45765;21335;53520;84209;19980;44200;49000;212;201;351429;9;54;18;16;13;8;1;0;0;15;1492;27130;14810;21640;27900;25387;7000;0;0;134;119;125359;10;122;75;32;39;30;4;5;3;26;1742;60300;60575;42975;81420;109596;26980;44200;49000;346;320;476788;1;68;57;16;26;22;3;5;3;11;250;33170;45765;21335;53520;84209;19980;44200;49000;212;201;351429;9;54;18;16;13;8;1;0;0;15;1492;27130;14810;21640;27900;25387;7000;0;0;134;119;125359;
172120805000009;1;9;120;51;20;6;14;4;0;1;12;1629;58892;41623;27940;13100;47400;22700;0;15000;237;225;228284;4;82;37;16;5;11;4;0;1;7;900;40350;30970;22230;10600;36900;22700;0;15000;167;160;179650;5;38;14;4;1;3;0;0;0;5;729;18542;10653;5710;2500;10500;0;0;0;70;65;48634;9;120;51;20;6;14;4;0;1;12;1629;58892;41623;27940;13100;47400;22700;0;15000;237;225;228284;4;82;37;16;5;11;4;0;1;7;900;40350;30970;22230;10600;36900;22700;0;15000;167;160;179650;5;38;14;4;1;3;0;0;0;5;729;18542;10653;5710;2500;10500;0;0;0;70;65;48634;
172120805000010;1;9;93;39;5;4;4;0;1;0;16;1624;44117;29536;6690;7747;13800;0;10000;0;171;155;113514;4;59;31;4;2;4;0;0;0;4;850;29175;23257;5600;3600;13800;0;0;0;108;104;76282;5;34;8;1;2;0;0;1;0;12;774;14942;6279;1090;4147;0;0;10000;0;63;51;37232;9;93;39;5;4;4;0;1;0;16;1624;44117;29536;6690;7747;13800;0;10000;0;171;155;113514;4;59;31;4;2;4;0;0;0;4;850;29175;23257;5600;3600;13800;0;0;0;108;104;76282;5;34;8;1;2;0;0;1;0;12;774;14942;6279;1090;4147;0;0;10000;0;63;51;37232;
172120805000011;1;18;83;63;20;12;16;0;1;0;7;3261;39761;47159;26680;23130;56005;0;9000;0;220;213;204996;6;41;46;15;8;14;0;1;0;2;1100;19895;33965;20127;15215;50225;0;9000;0;133;131;149527;12;42;17;5;4;2;0;0;0;5;2161;19866;13194;6553;7915;5780;0;0;0;87;82;55469;18;83;63;20;12;16;0;1;0;7;3261;39761;47159;26680;23130;56005;0;9000;0;220;213;204996;6;41;46;15;8;14;0;1;0;2;1100;19895;33965;20127;15215;50225;0;9000;0;133;131;149527;12;42;17;5;4;2;0;0;0;5;2161;19866;13194;6553;7915;5780;0;0;0;87;82;55469;
172120805000012;1;10;91;42;25;26;12;3;1;1;37;1550;45130;33869;32470;53980;43796;17420;8000;10500;248;211;246715;5;51;27;21;21;8;3;1;1;13;953;25470;21769;27061;44780;30400;17420;8000;10500;151;138;186353;5;40;15;4;5;4;0;0;0;24;597;19660;12100;5409;9200;13396;0;0;0;97;73;60362;10;91;41;25;26;12;3;1;1;37;1550;45130;32869;32470;53980;43796;17420;8000;10500;247;210;245715;5;51;26;21;21;8;3;1;1;13;953;25470;20769;27061;44780;30400;17420;8000;10500;150;137;185353;5;40;15;4;5;4;0;0;0;24;597;19660;12100;5409;9200;13396;0;0;0;97;73;60362;
172120805000013;1;24;81;36;4;3;2;1;0;0;8;3381;38884;29336;5064;6140;6551;6000;0;0;159;151;95356;5;46;18;2;2;2;1;0;0;3;850;21900;15156;2684;4100;6551;6000;0;0;79;76;57241;19;35;18;2;1;0;0;0;0;5;2531;16984;14180;2380;2040;0;0;0;0;80;75;38115;24;81;36;4;3;2;1;0;0;8;3381;38884;29336;5064;6140;6551;6000;0;0;159;151;95356;5;46;18;2;2;2;1;0;0;3;850;21900;15156;2684;4100;6551;6000;0;0;79;76;57241;19;35;18;2;1;0;0;0;0;5;2531;16984;14180;2380;2040;0;0;0;0;80;75;38115;
172120805000014;1;57;155;80;16;8;9;0;0;0;21;8102;74618;58668;21955;16190;31445;0;0;0;346;325;210978;5;67;45;14;4;9;0;0;0;5;538;33380;35163;19350;7450;31445;0;0;0;149;144;127326;52;88;35;2;4;0;0;0;0;16;7564;41238;23505;2605;8740;0;0;0;0;197;181;83652;57;155;80;16;8;9;0;0;0;21;8102;74618;58668;21955;16190;31445;0;0;0;346;325;210978;5;67;45;14;4;9;0;0;0;5;538;33380;35163;19350;7450;31445;0;0;0;149;144;127326;52;88;35;2;4;0;0;0;0;16;7564;41238;23505;2605;8740;0;0;0;0;197;181;83652;
172120805000015;1;37;129;48;11;10;6;0;0;0;25;5880;63035;38415;14530;20104;20988;0;0;0;266;241;162952;13;75;35;11;9;6;0;0;0;11;2472;36945;27411;14530;18104;20988;0;0;0;160;149;120450;24;54;13;0;1;0;0;0;0;14;3408;26090;11004;0;2000;0;0;0;0;106;92;42502;37;129;48;11;10;6;0;0;0;25;5880;63035;38415;14530;20104;20988;0;0;0;266;241;162952;13;75;35;11;9;6;0;0;0;11;2472;36945;27411;14530;18104;20988;0;0;0;160;149;120450;24;54;13;0;1;0;0;0;0;14;3408;26090;11004;0;2000;0;0;0;0;106;92;42502;
172120805000016;1;57;177;86;11;9;7;0;0;1;46;7063;87107;64051;14245;19600;27283;0;0;10300;394;348;229649;8;115;56;7;6;4;0;0;1;9;1260;57384;43512;9295;13500;17408;0;0;10300;206;197;152659;49;62;30;4;3;3;0;0;0;37;5803;29723;20539;4950;6100;9875;0;0;0;188;151;76990;57;177;86;11;9;7;0;0;1;46;7063;87107;64051;14245;19600;27283;0;0;10300;394;348;229649;8;115;56;7;6;4;0;0;1;9;1260;57384;43512;9295;13500;17408;0;0;10300;206;197;152659;49;62;30;4;3;3;0;0;0;37;5803;29723;20539;4950;6100;9875;0;0;0;188;151;76990;
172120805000017;1;19;101;25;4;5;6;0;0;0;12;2974;48589;19697;5202;10210;19973;0;0;0;172;160;106645;4;63;16;3;3;5;0;0;0;6;610;30175;12523;4002;6200;16973;0;0;0;100;94;70483;15;38;9;1;2;1;0;0;0;6;2364;18414;7174;1200;4010;3000;0;0;0;72;66;36162;18;100;25;4;5;6;0;0;0;12;2840;48289;19697;5202;10210;19973;0;0;0;170;158;106211;4;62;16;3;3;5;0;0;0;6;610;29875;12523;4002;6200;16973;0;0;0;99;93;70183;14;38;9;1;2;1;0;0;0;6;2230;18414;7174;1200;4010;3000;0;0;0;71;65;36028;
